SampleID	Actinomycetes	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus_Nanosyncoccalia	Candidatus_Saccharimonadia	CFGB1011	CFGB1126	CFGB11739	CFGB12107	CFGB1217	CFGB1260	CFGB1262	CFGB1292	CFGB1296	CFGB1306	CFGB1347	CFGB1354	CFGB1359	CFGB1374	CFGB1380	CFGB14224	CFGB1474	CFGB14936	CFGB1539	CFGB1765	CFGB1785	CFGB2106	CFGB2404	CFGB2412	CFGB27697	CFGB2834	CFGB28369	CFGB2838	CFGB2839	CFGB2875	CFGB2880	CFGB2881	CFGB2889	CFGB2890	CFGB2893	CFGB28941	CFGB2898	CFGB2906	CFGB2915	CFGB2917	CFGB2918	CFGB2919	CFGB2920	CFGB2928	CFGB2930	CFGB2937	CFGB2952	CFGB2957	CFGB2959	CFGB2960	CFGB2982	CFGB2992	CFGB2997	CFGB3002	CFGB3004	CFGB3009	CFGB3011	CFGB3012	CFGB3023	CFGB30287	CFGB3034	CFGB3038	CFGB3041	CFGB3043	CFGB3047	CFGB3048	CFGB3054	CFGB3057	CFGB3062	CFGB3070	CFGB32310	CFGB3625	CFGB36777	CFGB38642	CFGB39998	CFGB40326	CFGB41334	CFGB41726	CFGB4355	CFGB4405	CFGB45503	CFGB45631	CFGB4605	CFGB4616	CFGB48199	CFGB49339	CFGB49665	CFGB49681	CFGB67123	CFGB72728	CFGB72899	CFGB72924	CFGB72939	CFGB73144	CFGB73178	CFGB73497	CFGB74971	CFGB7709	CFGB77202	CFGB77220	CFGB77385	CFGB77988	CFGB78183	CFGB78291	CFGB78699	CFGB79170	CFGB79291	CFGB79315	CFGB79330	CFGB82250	CFGB82363	CFGB84092	CFGB84486	CFGB84669	CFGB88346	CFGB88349	CFGB88381	CFGB88510	CFGB89158	CFGB92029	CFGB92040	CFGB9272	CFGB9345	CFGB93743	CFGB93792	CFGB93799	CFGB93803	CFGB93863	CFGB9429	CFGB94449	CFGB94585	CFGB94588	CFGB94683	CFGB94730	CFGB94733	CFGB94741	CFGB94768	CFGB94810	CFGB94833	CFGB9491	CFGB95106	CFGB95121	CFGB95145	CFGB9644	CFGB9660	CFGB9718	CFGB9989	Clostridia	Coriobacteriia	Desulfovibrionia	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Negativicutes	Opitutia	Synergistia	Tissierellia	Unclassified	UNCLASSIFIED	Verrucomicrobiia
D13004D15	248732	0	45806209	110332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159016	7675	0	0	0	0	0	42547	14334	0	0	0	0	279534	0
D13004D384	175408	0	379167	108710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45395	0	0	0	0	0	0	0	0	0	16165	0	0	0	0	0	0	0	260744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9417	0	0	0	248416	0	0	0	34062318	20472	244707	0	2433853	0	0	2894532	1837606	0	0	0	3906079	266076	16768
D13004D46	843210	0	541528	24682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1847106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45084079	21358	0	257224	2308528	0	0	340944	576502	0	0	0	4721540	2883189	10586
D13004D7	4693852	0	2100390	338267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483942	51107	0	0	27417	0	0	0	92580	0	0	14641	0	33355659	0
D17010D15	144771	0	141469	726244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25120167	20272	0	0	2443848	0	0	46716	314117	0	0	0	6922830	10895273	0
D17010D2	80639	0	623366	2734348	0	0	0	0	0	0	0	0	0	0	9096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24424917	1605624	0	0	1135355	0	0	17350	1579661	0	0	17206	1403570	12330020	10255
D17010D22	259061	0	824537	2687371	7319	0	0	0	0	0	0	0	0	0	18529	0	0	0	0	0	17857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13142	0	0	0	0	0	0	0	0	0	0	0	0	0	37233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10965	0	0	0	8573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6139	0	0	0	0	0	0	0	71455044	1098905	0	0	6496065	0	0	1253592	813539	0	0	18178	2202022	24732573	440627
D17010D31	133347	0	140659	15089177	0	0	0	0	0	0	0	0	0	0	12806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25059466	16921	0	0	2425375	0	0	556975	161769	0	0	0	1775493	11799586	0
D17010D398	136319	0	293384	2772648	0	0	0	0	0	0	0	0	0	0	10927	0	0	0	0	0	0	0	0	0	0	0	638939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28626	0	0	0	0	0	0	0	26292894	6092447	0	21184	811544	0	0	871222	3235571	0	0	45281	1202045	11506259	11052
D17010D64	53217	0	105552	5722363	0	0	0	0	0	0	0	0	0	0	26719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23079580	384769	0	0	4143953	0	0	605957	1168762	0	0	0	1152632	12509565	0
D17010D8	149854	0	308632	735665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22184464	11508	0	0	428503	0	0	36711	461716	0	0	0	5216233	12723454	11825
D17010PRE	24308	0	1061425	6594162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208787	16779	0	0	32273	0	0	16938	5394814	0	0	0	0	14589178	14277
D18423D109	87674	0	5756075	6467744	12547	0	0	6510	0	0	0	0	0	0	42161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12024	8053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9742	0	0	0	0	0	0	0	0	68186175	504177	0	0	1745157	0	0	22282	413505	0	0	0	386773	6727024	11350
D18423D13	24944	0	2829978	4061283	251079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114898	0	0	0	17160	0	0	0	18998	0	0	0	0	11539869	8351608
D18423D180	26231	0	46201	10992270	91167	0	0	8424	0	0	0	0	22144	0	23529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258983	14650	0	4297	0	0	0	0	0	0	0	0	0	0	0	4811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4171	0	0	0	0	0	0	0	20675255	246348	0	0	679066	0	0	17641	175368	0	0	0	192609	3685954	13925
D18423D19	103088	0	622194	28295780	157512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137995	4686	0	0	56662	0	0	18145	35342	0	0	0	0	12032989	1060974
D18423D28	444402	0	7428361	2118796	342878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3365764	19152	0	0	74552	0	11379	10674565	345244	0	0	0	14779	9091044	22084238
D18423D354	37680	0	127650	22254373	116201	0	0	7024	9335	0	0	26453	0	0	18905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4392	0	0	202203	7660	0	4584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10200	0	0	0	0	0	0	0	72806	0	0	9630	1314453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3730	0	0	0	0	0	8192	0	19182375	90023	180760	0	322314	0	0	0	4754	0	0	0	183063	5709212	0
D18423D5	14184	0	217893	21535808	627192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427511	19523	0	0	55955	0	0	57764	23964	0	0	0	0	11298964	18152174
D18423D54	1449032	0	4324837	23121476	52434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10481	0	0	0	561342	0	0	0	0	0	0	0	0	48159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14051991	23001	0	16132	1345083	0	191968	412930	1249761	0	0	0	0	11332186	11992619
D18423D92	105280	0	1234907	4099937	30501	2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30130049	948737	0	0	2156774	0	0	0	468075	0	0	0	3001	2363346	7813887
D18423PRE	155911	0	170289	14194011	35128	0	0	0	0	0	0	0	0	0	15136	0	0	0	0	8444	0	0	0	0	0	0	57425	0	0	0	0	0	25825	0	0	0	0	0	0	0	0	0	7526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4965	4651	0	0	440287	0	0	0	0	0	0	6034	0	76485	652765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6059	0	0	15942	0	0	0	0	0	9060	10061	0	0	7905	0	0	0	9059	0	350866	0	0	0	0	0	0	0	0	0	0	0	0	9476	0	0	8880	0	0	0	0	0	0	0	11203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16264686	658062	0	0	1766961	0	0	0	146717	0	0	0	2164051	10660920	7878913
D18594D5	1260310	0	36239072	178017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2855694	53896	0	0	34061	0	0	15817	24916	0	0	8488	0	7446610	17093
D18594PRE	157973	0	284095	1571798	0	0	0	0	0	0	0	0	0	0	9546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34195183	2765732	0	0	1794883	0	0	435416	178208	0	0	33928	706294	3543406	0
D19688D14	72007	0	14163745	23430449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700962	15942	0	0	53412	0	0	0	24050	0	0	0	4028	10380329	12529
D19688D180	348671	0	277216	11597708	0	0	0	0	0	0	0	0	0	0	38658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14394	0	0	0	0	0	0	0	0	0	0	0	0	156503	0	0	0	0	0	308099	0	0	0	10281	0	0	10316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3539	0	0	0	0	0	0	0	21164586	932198	0	0	1165508	0	0	17538	83966	0	0	0	290698	3677350	4989608
D19688D20	63666	0	11238760	31152498	12693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149594	37793	0	0	28783	0	0	40538	414619	0	0	0	0	5717832	13901
D19688D29	185619	0	9666015	9660884	13186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19456887	63392	0	0	68713	0	0	0	238357	0	0	5604	0	5896833	15128
