SampleID	Actinomycetes	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus_Nanosyncoccalia	Candidatus_Saccharimonadia	CFGB1011	CFGB1126	CFGB11739	CFGB12107	CFGB1217	CFGB1260	CFGB1262	CFGB1292	CFGB1296	CFGB1306	CFGB1347	CFGB1354	CFGB1359	CFGB1374	CFGB1380	CFGB14224	CFGB1474	CFGB14936	CFGB1539	CFGB1765	CFGB1785	CFGB2106	CFGB2404	CFGB2412	CFGB27697	CFGB2834	CFGB28369	CFGB2838	CFGB2839	CFGB2875	CFGB2880	CFGB2881	CFGB2889	CFGB2890	CFGB2893	CFGB28941	CFGB2898	CFGB2906	CFGB2915	CFGB2917	CFGB2918	CFGB2919	CFGB2920	CFGB2928	CFGB2930	CFGB2937	CFGB2952	CFGB2957	CFGB2959	CFGB2960	CFGB2982	CFGB2992	CFGB2997	CFGB3002	CFGB3004	CFGB3009	CFGB3011	CFGB3012	CFGB3023	CFGB30287	CFGB3034	CFGB3038	CFGB3041	CFGB3043	CFGB3047	CFGB3048	CFGB3054	CFGB3057	CFGB3062	CFGB3070	CFGB32310	CFGB3625	CFGB36777	CFGB38642	CFGB39998	CFGB40326	CFGB41334	CFGB41726	CFGB4355	CFGB4405	CFGB45503	CFGB45631	CFGB4605	CFGB4616	CFGB48199	CFGB49339	CFGB49665	CFGB49681	CFGB67123	CFGB72728	CFGB72899	CFGB72924	CFGB72939	CFGB73144	CFGB73178	CFGB73497	CFGB74971	CFGB7709	CFGB77202	CFGB77220	CFGB77385	CFGB77988	CFGB78183	CFGB78291	CFGB78699	CFGB79170	CFGB79291	CFGB79315	CFGB79330	CFGB82250	CFGB82363	CFGB84092	CFGB84486	CFGB84669	CFGB88346	CFGB88349	CFGB88381	CFGB88510	CFGB89158	CFGB92029	CFGB92040	CFGB9272	CFGB9345	CFGB93743	CFGB93792	CFGB93799	CFGB93803	CFGB93863	CFGB9429	CFGB94449	CFGB94585	CFGB94588	CFGB94683	CFGB94730	CFGB94733	CFGB94741	CFGB94768	CFGB94810	CFGB94833	CFGB9491	CFGB95106	CFGB95121	CFGB95145	CFGB9644	CFGB9660	CFGB9718	CFGB9989	Clostridia	Coriobacteriia	Desulfovibrionia	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Negativicutes	Opitutia	Synergistia	Tissierellia	Unclassified	UNCLASSIFIED	Verrucomicrobiia
D13004D15	0.643691188773666	0	98.6311198851304	0.0143236870612111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0495911691522433	0.0057553190898273	0	0	0	0	0	0.0348201774985585	0.0217191229901085	0	0	0	0	0.59898	0
D13004D384	0.428200299399591	0	0.813465226032894	0.0264791333202004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0906733821805887	0	0	0	0	0	0	0	0	0	0.0297007777797366	0	0	0	0	0	0	0	0.59223569646431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0982999294042438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242219935291056	0	0	0	0.507150475352423	0	0	0	70.4950197855146	0.005419124168047	0.457095666064444	0	4.51050111029265	0	0	4.54306557203642	7.09663642679695	0	0	0	9.68528741011688	0.56653	0.0300388515810459
D13004D46	2.61507528048682	0	1.43825619836696	0.003358833237561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97925618474699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.7857842771874	0.0055853685848394	0	1.09047898920873	4.77084676717674	0	0	0.421129179210237	2.33684399805192	0	0	0	11.6969131447607	4.84892	0.0075359657907884
D13004D7	11.6424214724339	0	5.78984393245275	0.0493425519099574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08503568354182	0.144587003698808	0	0	0.0079978572556805	0	0	0	0.201593773879615	0	0	0.0359382265591829	0	81.04324	0
D17010D15	0.275011411322548	0	0.224438214991812	1.05377573473855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.1812444866755	0.0241858468118931	0	0	4.976278252938	0	0	0.0507726356003555	0.770081044446426	0	0	0	15.1516160937198	23.29259	0
D17010D22	0.215246058801773	0	0.883930711454322	1.50692520168122	0.0014273300996747	0	0	0	0	0	0	0	0	0	0.0213007568426873	0	0	0	0	0	0.0146710815163291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036112231483574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328909892367676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035800246762334	0	0	0	0.0004367786097365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002417881589612	0	0	0	0	0	0	0	63.691259661851	1.05125591707357	0	0	6.50533381570783	0	0	0.72493549789219	1.14709762343862	0	0	0.0053739368233656	1.81855894011021	22.00382	0.368110772591531
D17010D2	0.151941427044206	0	1.75308193440914	4.97059148594386	0	0	0	0	0	0	0	0	0	0	0.0156090672776232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.4759596714612	4.025434288393	0	0	2.69326296423905	0	0	0.0016318902967229	4.50478559779452	0	0	0.0253930911642534	3.55630607650055	26.82106	0.0049395782524124
D17010D31	0.267526825158113	0	0.204567665765093	21.7929007298903	0	0	0	0	0	0	0	0	0	0	0.0281899576659532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006666544042624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.4472621783174	0.0069760621588887	0	0	4.74642063110924	0	0	0.737772143745688	0.357477551561805	0	0	0	3.77385121890994	20.63638	0
D17010D398	0.208913601094918	0	0.584531423539062	3.42983879013754	0	0	0	0	0	0	0	0	0	0	0.0112175244568468	0	0	0	0	0	0	0	0	0	0	0	1.6624371245047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199490880551167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066203074162864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528758679134318	0	0	0	0	0	0	0	45.4329656528175	15.1299372131445	0	0.0432720925889734	1.18257110810826	0	0	1.01031716413302	7.61466027192931	0	0	0.0403830880446486	2.10641493458622	21.28053	0.0030385715370827
D17010D64	0.0582199520465605	0	0.125284571999939	8.92674166018865	0	0	0	0	0	0	0	0	0	0	0.0862131770715053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006983416242925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.8733194560044	0.852416037029534	0	0	8.93545231797567	0	0	0.964039021816501	2.95729065371237	0	0	0	2.66411373662266	25.54993	0
