Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D13004D15_deduped_R1	77.73137153858715	39.0	150.0	150	27.27272727272727	24637405.0
D13004D15_deduped_R2	74.39671824444598	38.0	150.0	150	27.27272727272727	24637405.0
D13004D384_deduped_R1	31.6862015234602	49.0	150.0	150	18.181818181818183	26552465.0
D13004D384_deduped_R2	30.09985128381257	48.0	150.0	150	9.090909090909092	26552465.0
D13004D46_deduped_R1	39.51078475130634	47.0	150.0	150	18.181818181818183	30960678.0
D13004D46_deduped_R2	38.18979434691501	47.0	150.0	150	18.181818181818183	30960678.0
D13004D7_deduped_R1	55.59955422574057	42.0	150.0	150	36.36363636363637	21729045.0
D13004D7_deduped_R2	53.79475249936234	42.0	150.0	150	36.36363636363637	21729045.0
D13004PRE_deduped_R1	30.023374215595183	47.0	150.0	150	18.181818181818183	33559072.0
D13004PRE_deduped_R2	28.96189435654196	47.0	150.0	150	18.181818181818183	33559072.0
D17010D15_deduped_R1	44.561013960802384	45.0	150.0	150	18.181818181818183	26302632.0
D17010D15_deduped_R2	42.94124880878405	44.0	150.0	150	18.181818181818183	26302632.0
D17010D22_deduped_R1	44.63469351290086	46.0	150.0	150	18.181818181818183	41267845.0
D17010D22_deduped_R2	42.37137480802847	46.0	150.0	150	18.181818181818183	41267845.0
D17010D2_deduped_R1	38.95209498244825	45.0	150.0	150	18.181818181818183	24437570.0
D17010D2_deduped_R2	36.87781103462775	45.0	150.0	150	18.181818181818183	24437570.0
D17010D31_deduped_R1	36.07235721449166	45.0	150.0	150	18.181818181818183	31992868.0
D17010D31_deduped_R2	34.52928657045304	45.0	150.0	150	18.181818181818183	31992868.0
D17010D398_deduped_R1	37.23664930429626	52.0	150.0	150	18.181818181818183	31881462.0
D17010D398_deduped_R2	36.10460225814459	50.0	150.0	150	18.181818181818183	31881462.0
D17010D64_deduped_R1	36.346368449871015	45.0	150.0	150	18.181818181818183	26225492.0
D17010D64_deduped_R2	35.09758144658977	44.0	150.0	150	18.181818181818183	26225492.0
D17010D8_deduped_R1	40.940607962689846	48.0	150.0	150	18.181818181818183	24217341.0
D17010D8_deduped_R2	39.46253553569353	47.0	150.0	150	18.181818181818183	24217341.0
D17010PRE_deduped_R1	71.09451913147164	40.0	150.0	150	36.36363636363637	15004590.0
