Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D13004D15_trimmed_1	74.78384972460101	37.0	138.12667350634896	150	18.181818181818183	24629799.0
D13004D15_trimmed_2	71.46084291881526	37.0	138.07793766404671	150	18.181818181818183	24629799.0
D13004D384_trimmed_1	27.786311215032725	47.0	126.04401163925746	147	9.090909090909092	26543274.0
D13004D384_trimmed_2	26.204081887362946	47.0	126.06114803320796	147	9.090909090909092	26543274.0
D13004D46_trimmed_1	37.888768662063235	46.0	139.94259622476682	150	9.090909090909092	30952790.0
D13004D46_trimmed_2	36.58491467174622	46.0	139.8854168234915	150	9.090909090909092	30952790.0
D13004D7_trimmed_1	53.57997138142058	41.0	139.9375934655782	150	27.27272727272727	21723238.0
D13004D7_trimmed_2	51.77845965921845	41.0	139.8703643996351	150	27.27272727272727	21723238.0
D13004PRE_trimmed_1	28.03993249375904	46.0	135.54602970115036	147	9.090909090909092	33550283.0
D13004PRE_trimmed_2	26.974221826515446	46.0	135.52264766291242	147	9.090909090909092	33550283.0
D17010D15_trimmed_1	39.90999126154732	43.0	127.29778366976657	147	9.090909090909092	26293329.0
D17010D15_trimmed_2	38.259824879678916	43.0	127.27086178399091	147	9.090909090909092	26293329.0
D17010D22_trimmed_1	42.07202076427404	45.0	135.30492299358716	147	9.090909090909092	41256564.0
D17010D22_trimmed_2	39.79038390519022	45.0	135.2830932309341	147	9.090909090909092	41256564.0
D17010D2_trimmed_1	37.5291818584383	44.0	137.72675268575827	150	9.090909090909092	24429693.0
D17010D2_trimmed_2	35.47398514311631	44.0	137.6705039641718	150	9.090909090909092	24429693.0
D17010D31_trimmed_1	32.302967685856814	43.0	128.6228860600487	147	9.090909090909092	31983347.0
D17010D31_trimmed_2	30.742909129748554	43.0	128.61687011681423	147	9.090909090909092	31983347.0
D17010D398_trimmed_1	31.879990559207585	49.0	120.71813111742654	147	9.090909090909092	31871858.0
D17010D398_trimmed_2	30.71127155483967	49.0	120.73120547286575	147	9.090909090909092	31871858.0
D17010D64_trimmed_1	34.34084401374868	44.0	135.95017723359203	147	9.090909090909092	26215967.0
D17010D64_trimmed_2	33.125229839740996	44.0	135.89845020784472	147	9.090909090909092	26215967.0
D17010D8_trimmed_1	36.2743906985054	45.0	125.30754877486702	147	9.090909090909092	24208882.0
D17010D8_trimmed_2	34.771843396583506	45.0	125.3073815222033	147	9.090909090909092	24208882.0
D17010PRE_trimmed_1	67.94146205141882	38.0	134.93114336390798	150	27.27272727272727	14999905.0
