SampleID	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Azonexaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Beduinellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	Campylobacteraceae	Candidatus_Nanogingivalaceae	Candidatus_Nanosynbacteraceae	Candidatus_Nanosyncoccaceae	Carnobacteriaceae	Cellulosilyticaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coprobacillaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Dethiosulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_incertae_sedis	FGB1011	FGB1126	FGB11739	FGB12107	FGB1217	FGB1260	FGB1262	FGB1292	FGB1296	FGB1306	FGB1347	FGB1354	FGB1359	FGB1374	FGB1380	FGB14224	FGB1474	FGB14936	FGB1539	FGB1765	FGB1785	FGB2106	FGB2404	FGB2412	FGB27697	FGB2834	FGB28369	FGB2838	FGB2839	FGB2875	FGB2880	FGB2881	FGB2889	FGB2890	FGB2893	FGB28941	FGB2898	FGB2906	FGB2915	FGB2917	FGB2918	FGB2919	FGB2920	FGB2928	FGB2930	FGB2937	FGB2952	FGB2957	FGB2959	FGB2960	FGB2982	FGB2992	FGB2997	FGB3002	FGB3004	FGB3009	FGB3011	FGB3012	FGB3023	FGB30287	FGB3034	FGB3038	FGB3041	FGB3043	FGB3047	FGB3048	FGB3054	FGB3057	FGB3062	FGB3070	FGB32310	FGB3625	FGB36777	FGB38642	FGB39998	FGB40326	FGB41334	FGB41726	FGB4355	FGB4405	FGB45503	FGB45631	FGB4605	FGB4616	FGB48199	FGB49339	FGB49665	FGB49681	FGB67123	FGB72728	FGB72899	FGB72924	FGB72939	FGB73144	FGB73178	FGB73497	FGB74971	FGB7709	FGB77202	FGB77220	FGB77385	FGB77988	FGB78183	FGB78291	FGB78699	FGB79170	FGB79291	FGB79315	FGB79330	FGB82250	FGB82363	FGB84092	FGB84486	FGB84669	FGB88346	FGB88349	FGB88381	FGB88510	FGB89158	FGB92029	FGB92040	FGB9272	FGB9345	FGB93743	FGB93792	FGB93799	FGB93803	FGB93863	FGB9429	FGB94449	FGB94585	FGB94588	FGB94683	FGB94730	FGB94733	FGB94741	FGB94768	FGB94810	FGB94833	FGB9491	FGB95106	FGB95121	FGB95145	FGB9644	FGB9660	FGB9718	FGB9989	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Hafniaceae	Hyphomicrobiaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Listeriaceae	Lysobacteraceae	Maliibacteriaceae	Metamycoplasmataceae	Microbacteriaceae	Micrococcaceae	Monoglobaceae	Morganellaceae	Mycobacteriaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Paracoccaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Syntrophomonadaceae	Tannerellaceae	Tissierellaceae	Turicibacteraceae	Unclassified	UNCLASSIFIED	Veillonellaceae	Weeksellaceae	Yeguiaceae	Yersiniaceae
D13004D15	0	0	0	0	0	0	0	0	0	0	0	97363	0	0	0	28926	0	0	0	0	0	0	5810	0	0	0	0	0	7675	0	0	0	0	0	42547	45315340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7064	0	0	151277	47186	0	0	0	0	0	0	0	219806	0	0	0	0	7739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86686	344123	0	0	0	12969	0	0	0	279534	14334	0	0	0
D13004D384	0	157684	108920	0	0	16768	618328	0	0	0	0	85608	0	0	0	10987	0	102896	0	0	0	0	0	0	0	0	0	386309	7487	0	244707	0	0	12985	2737036	275633	0	2047544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45395	0	0	0	0	0	0	0	0	0	16165	0	0	0	0	0	0	0	260744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9417	0	0	0	248416	0	0	0	0	0	0	0	0	32100152	13537	0	0	0	0	0	0	0	6737	0	157496	0	0	688183	0	0	0	0	0	0	0	0	0	0	0	0	0	12664	0	0	0	89997	0	0	0	10438	0	0	4349918	266076	1837606	0	0	0
D13004D46	0	48726	42557	0	0	10586	0	0	4436	0	0	12391	0	0	0	788551	0	269567	257224	0	0	0	0	0	0	29299	0	384869	6848	0	0	0	0	10074	340944	501797	0	1923659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1847106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44292111	0	0	0	0	0	0	0	0	5933	0	0	0	0	357755	0	0	0	0	0	0	42222	0	0	0	0	0	0	0	179871	0	0	39731	0	0	0	12291	0	0	4772108	2883189	396631	0	0	0
D13004D7	0	4227161	0	0	0	0	0	141334	51107	0	0	293753	0	0	0	265347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10498	0	27417	0	14788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131422	0	0	257885	32644	0	0	0	0	0	0	0	147884	0	0	28662	0	11676	0	0	0	0	0	14641	58259	0	27870	0	24798	0	0	0	0	0	0	1925826	0	0	0	16644	0	0	0	33355659	92580	0	0	0
D17010D15	0	131919	11538	0	0	0	0	6067	7782	0	0	713487	0	0	0	12852	0	0	0	0	0	0	11718	0	0	0	0	2412850	0	0	0	0	0	12490	46716	10156	0	30998	72656	4972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9222	0	0	23940535	18359	0	0	0	0	0	0	0	0	0	0	0	0	1084399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13560	78454	0	0	0	12757	0	0	6922830	10895273	314117	0	0	0
D17010D2	0	73128	10851	0	0	10255	0	11044	19937	0	0	2308477	0	0	0	7511	0	317323	0	0	0	0	4368	0	0	13868	0	786672	6534	0	0	0	0	1579153	17350	294182	0	348683	165358	4232	0	0	0	0	0	0	0	0	9096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19730557	62550	0	0	0	0	0	0	0	0	0	0	0	0	3793083	0	0	0	0	0	17206	378601	0	15215	0	0	0	0	396373	0	0	0	262266	0	0	0	14283	0	0	1403570	12330020	1579661	0	0	0
D17010D22	0	173295	32885	0	0	440627	0	5949	8404	0	0	2607961	0	0	0	25284	0	41451	0	0	0	0	9411	0	17909	350029	0	3421511	8116	0	0	0	0	1082385	1253592	243555	0	3063097	1130522	62665	0	0	0	0	0	0	0	0	18529	0	0	0	0	0	17857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13142	0	0	0	0	0	0	0	0	0	0	0	0	0	37233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10965	0	0	0	8573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6139	0	0	0	0	0	0	0	0	0	9149	0	0	47427290	275229	0	0	0	0	0	0	0	9311	0	0	0	0	22078749	0	0	0	0	0	18178	211211	0	9943	0	51171	0	0	0	34928	0	13647	273546	7319	0	0	69467	0	11457	2298406	24732573	778611	0	0	0
D17010D31	7384	126460	75930	0	0	0	0	0	6366	0	0	15089177	0	0	0	6887	0	49060	0	0	0	0	6243	0	8791	11160	0	2390562	0	0	0	0	0	10555	533926	39225	0	34813	649170	5122	0	0	0	0	0	0	0	0	12806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7219	0	0	21305980	0	0	0	13055	0	0	0	0	0	0	0	0	0	2954253	0	0	0	0	0	0	0	0	0	0	0	23049	0	0	0	0	9009	65908	0	0	0	0	0	0	1775493	11799586	154385	0	0	0
D17010D398	0	117533	36927	0	0	11052	0	6125	6490	0	0	2758685	0	0	0	9485	0	151094	21184	0	0	0	5390	0	0	778460	0	531135	5512033	0	0	0	0	573924	871222	30565	0	265762	417574	18686	10264	0	0	0	0	0	0	0	10927	0	0	0	0	0	0	0	0	0	0	0	638939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28626	0	0	0	0	0	0	0	0	0	5327	0	0	14239613	11677	9301	0	0	0	0	0	0	0	99570	0	0	0	2412557	0	0	0	0	0	39091	11694	0	0	0	0	0	0	0	0	0	0	240425	0	0	0	13963	0	14647	9318565	11506259	3235571	0	0	0
D17010D64	0	37178	86018	0	0	0	0	0	0	0	0	5722363	0	0	0	16039	0	129996	0	0	0	0	0	0	0	23288	0	4143953	0	0	0	0	0	384769	605957	22024	0	0	161694	5144	0	0	0	0	0	0	0	0	26719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5146	0	0	17591104	19635	0	0	0	0	0	0	0	0	0	0	0	0	5082336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58747	0	0	0	0	0	0	1152632	12509565	1168762	0	0	0
