SampleID	Acidaminococcales	Actinomycetales	Aeromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Candidatus_Gastranaerophilales	Candidatus_Nanogingivales	Candidatus_Nanosynbacterales	Candidatus_Nanosyncoccales	Christensenellales	Coriobacteriales	Desulfovibrionales	Eggerthellales	Enterobacterales	Erysipelotrichales	Eubacteriales	Flavobacteriales	Fusobacteriales	Hyphomicrobiales	Lachnospirales	Lactobacillales	Lysobacterales	Micrococcales	Monoglobales	Mycobacteriales	Mycoplasmoidales	OFGB1011	OFGB1126	OFGB11739	OFGB12107	OFGB1217	OFGB1260	OFGB1262	OFGB1292	OFGB1296	OFGB1306	OFGB1347	OFGB1354	OFGB1359	OFGB1374	OFGB1380	OFGB14224	OFGB1474	OFGB14936	OFGB1539	OFGB1765	OFGB1785	OFGB2106	OFGB2404	OFGB2412	OFGB27697	OFGB2834	OFGB28369	OFGB2838	OFGB2839	OFGB2875	OFGB2880	OFGB2881	OFGB2889	OFGB2890	OFGB2893	OFGB28941	OFGB2898	OFGB2906	OFGB2915	OFGB2917	OFGB2918	OFGB2919	OFGB2920	OFGB2928	OFGB2930	OFGB2937	OFGB2952	OFGB2957	OFGB2959	OFGB2960	OFGB2982	OFGB2992	OFGB2997	OFGB3002	OFGB3004	OFGB3009	OFGB3011	OFGB3012	OFGB3023	OFGB30287	OFGB3034	OFGB3038	OFGB3041	OFGB3043	OFGB3047	OFGB3048	OFGB3054	OFGB3057	OFGB3062	OFGB3070	OFGB32310	OFGB3625	OFGB36777	OFGB38642	OFGB39998	OFGB40326	OFGB41334	OFGB41726	OFGB4355	OFGB4405	OFGB45503	OFGB45631	OFGB4605	OFGB4616	OFGB48199	OFGB49339	OFGB49665	OFGB49681	OFGB67123	OFGB72728	OFGB72899	OFGB72924	OFGB72939	OFGB73144	OFGB73178	OFGB73497	OFGB74971	OFGB7709	OFGB77202	OFGB77220	OFGB77385	OFGB77988	OFGB78183	OFGB78291	OFGB78699	OFGB79170	OFGB79291	OFGB79315	OFGB79330	OFGB82250	OFGB82363	OFGB84092	OFGB84486	OFGB84669	OFGB88346	OFGB88349	OFGB88381	OFGB88510	OFGB89158	OFGB92029	OFGB92040	OFGB9272	OFGB9345	OFGB93743	OFGB93792	OFGB93799	OFGB93803	OFGB93863	OFGB9429	OFGB94449	OFGB94585	OFGB94588	OFGB94683	OFGB94730	OFGB94733	OFGB94741	OFGB94768	OFGB94810	OFGB94833	OFGB9491	OFGB95106	OFGB95121	OFGB95145	OFGB9644	OFGB9660	OFGB9718	OFGB9989	Pasteurellales	Peptostreptococcales	Propionibacteriales	Pseudomonadales	Puniceicoccales	Rhodobacterales	Rhodocyclales	Selenomonadales	Sphingomonadales	Synergistales	Tissierellales	Unclassified	UNCLASSIFIED	Veillonellales	Verrucomicrobiales
D13004D15	0	0	0	0.216336381124358	0.0143236870612111	0.0444819566959889	0	0	0	0	0	0	0	0.0057553190898273	0	0	0.0348201774985585	0	0.0027931686774464	0	0	0	0.0467980004747968	98.414783504006	0	0.599209232077677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59898	0.0217191229901085	0
D13004D384	0	0.416238452841498	0	0	0.0264791333202004	0.0117033195335621	0	0	0	0	0	0	0	0.0035696616079429	0.457095666064444	0.0018395192130067	4.54306557203642	4.51050111029265	3.51826444679678	0	0	0	66.9767553387178	0.813465226032894	0	0.0002585270245306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0906733821805887	0	0	0	0	0	0	0	0	0	0.0297007777797366	0	0	0	0	0	0	0	0.59223569646431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0982999294042438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242219935291056	0	0	0	0.507150475352423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.68528741011688	0.56653	7.09663642679695	0.0300388515810459
D13004D46	0	0.0603353018679164	0	0	0.003358833237561	2.55336028791226	0	1.09047898920873	0	0	0	0	0	0.0030638648795882	0	0.0025215037052511	0.421129179210237	4.77084676717674	1.72131164072097	0	0	0	64.0450237550569	1.43825619836696	0	0.0013892058149685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97925618474699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194488814095601	0	0	0	0	0	0.540229790072989	0	0	0	11.6969131447607	4.84892	1.79661420797893	0.0075359657907884
D13004D7	0	10.391517925854	0	0.35545442481587	0.0493425519099574	0.880641996136096	0	0	0	0	0	0	0	0.144587003698808	0	0	0	0.0079978572556805	0.024018215555694	0	0	0	0.413075394036934	5.43438950763688	0	0.344042454993828	0	0.0092755429134973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.647943969625239	0.0169454482124979	0	0	0	0	0	0	0	0.0359382265591829	0	81.04324	0.201593773879615	0
D17010D15	0	0.268644696177013	0	0.0416444536447092	1.05377573473855	0.0063667151455348	0	0	0	0	0	0	0	0.0181336320530654	0	0.0060522147588276	0.0507726356003555	4.976278252938	2.12403589218523	0	0	0	52.0500364515251	0.182801432088242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0071798137062898	0	0	0	0	0	0	0	0	0	15.1516160937198	23.29259	0.770081044446426	0
D17010D22	0	0.153129900802812	0	0.0163090013028411	1.50692520168122	0.0133295472149954	0.0014273300996747	0	0	0	0	0	0.0156460337702053	0.0104982858697389	0	1.04075763120383	0.72493549789219	6.50533381570783	24.9506972949507	0	0	0	38.5527943624218	0.86762171015148	0	0.0053193394971485	0	0	0	0	0	0	0	0	0	0	0.0213007568426873	0	0	0	0	0	0.0146710815163291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036112231483574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328909892367676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035800246762334	0	0	0	0.0004367786097365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002417881589612	0	0	0	0	0	0	0	0	0.17212197070832	0.0434672712868166	0	0	0	0	0.0330781800695118	0	0	0.0053739368233656	1.81855894011021	22.00382	1.11401944336911	0.368110772591531
D17010D2	0	0.143474624024886	0	0	4.97059148594386	0.0084668030193202	0	0	0	0	0	0	0	0.0983598093195189	0	3.92708179696719	0.0016318902967229	2.69326296423905	9.62540854052498	0	0	0	41.1080556817147	1.75308193440914	0	0	0	0	0	0	0	0	0	0	0	0	0.0156090672776232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742488131327806	0	0	0	0	0	0	0	0	0.0253930911642534	3.55630607650055	26.82106	4.50478559779452	0.0049395782524124
D17010D31	0.0003253908401756	0.266233198159366	0	0.0268010943237399	21.7929007298903	0.0012936269987472	0	0	0	0	0	0	0.0028174084942042	0.0066903531284906	0	0.0002777726684426	0.73561345329379	4.74642063110924	7.14416224146832	0	0	0	40.3002825283549	0.177766571441353	0	0	0	0	0	0	0	0	0	0	0	0	0.0281899576659532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006666544042624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021586904518973	0	0	0	0	0	0	0	3.77385121890994	20.63638	0.35715216072163	0
D17010D398	0	0.182707889574327	0	0.0018262917010445	3.42983879013754	0.0103594822352354	0	0.0432720925889734	0	0	0	0	0	14.1879485488609	0	0.941988664283594	1.01031716413302	1.18257110810826	22.3136398753092	0	0	0	22.9010839192335	0.582713003785005	0	0	0.208685314632288	0.015838357338369	0	0	0	0	0	0	0	0	0.0112175244568468	0	0	0	0	0	0	0	0	0	0	0	1.6624371245047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199490880551167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066203074162864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528758679134318	0	0	0	0	0	0	0	0	0.0095565436425347	0	0	0	0	0	0	0	0	0.0351876030330564	2.11160254765083	21.28053	7.61466027192931	0.0030385715370827
D17010D64	0	0.0401807009201134	0	0.0056805400782002	8.92674166018865	0.0180392511264471	0	0	0	0	0	0	0	0	0	0.852416037029534	0.964039021816501	8.93545231797567	11.0213421676868	0	0	0	37.8519772883176	0.119604031921739	0	0	0	0	0	0	0	0	0	0	0	0	0.0862131770715053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006983416242925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66411373662266	25.54993	2.95729065371237	0
