SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D13004D15	256407	110332	0	0	0	0	45979559	0	0	42547	0	0	0	279534	0
D13004D384	195880	108710	0	0	0	0	43239323	0	0	2894532	0	244707	0	266076	16768
D13004D46	864568	24682	257224	0	0	0	55079283	0	0	340944	0	0	0	2883189	10586
D13004D7	4744959	338267	0	0	0	0	2718970	0	0	0	0	0	0	33355659	0
D17010D15	165043	726244	0	0	8278	0	34924037	0	0	46716	0	0	10116	10895273	0
D17010D2	1686263	2734348	0	0	0	0	29168089	0	0	17350	0	0	25082	12330020	10255
D17010D22	1357966	2687371	0	0	8400	0	81887968	0	0	1260911	0	0	25455	24732573	440627
D17010D31	150268	15089177	0	0	3644	0	29565270	0	0	556975	0	0	13644	11799586	0
D17010D398	6228766	2772648	21184	0	0	0	32648807	0	0	871222	0	0	9481	11506259	11052
D17010D64	437986	5722363	0	0	0	0	29655627	0	0	605957	0	0	29745	12509565	0
D17010D8	161362	735665	0	0	0	0	28553096	0	0	36711	0	0	46452	12723454	11825
D17010PRE	41087	6594162	0	0	0	0	6697299	0	0	16938	0	0	0	14589178	14277
D18423D109	591851	6467744	0	0	2948	0	76842747	0	0	34829	0	0	0	6727024	11350
D18423D13	24944	4061283	0	0	0	0	2990798	0	0	251079	0	0	0	11539869	8351608
D18423D180	272579	10992270	0	0	0	0	22597161	0	0	108808	0	0	0	3685954	13925
D18423D19	107774	28295780	0	0	0	0	852193	0	0	175657	0	0	0	12032989	1060974
D18423D28	463554	2118796	0	0	0	0	11228700	11379	0	11017443	0	0	0	9091044	22084238
D18423D354	127703	22254373	0	0	0	0	21519723	0	0	116201	0	180760	0	5709212	0
D18423D5	33707	21535808	0	0	0	0	725323	0	0	684956	0	0	0	11298964	18152174
D18423D54	1472033	23121476	16132	0	0	0	21591654	191968	0	465364	0	0	0	11332186	11992619
D18423D92	1054017	4099937	0	0	5502	0	34153616	0	0	30501	0	0	0	2363346	7813887
D18423PRE	813973	14194011	0	0	1482	0	22229256	0	11203	35128	0	0	8817	10660920	7878913
D18594D5	1314206	178017	0	0	0	0	39162231	0	0	15817	0	0	0	7446610	17093
D18594PRE	2923705	1571798	0	0	6472	0	37203913	0	0	435416	0	0	0	3543406	0
D19688D14	87949	23430449	0	0	4028	0	14948340	0	0	0	0	0	0	10380329	12529
D19688D180	1437372	11597708	0	0	0	0	23608084	0	0	17538	0	0	30368	3677350	4989608
D19688D20	101459	31152498	0	0	0	0	11831756	0	0	53231	0	0	0	5717832	13901
D19688D29	249011	9660884	0	0	0	0	29435576	0	0	13186	0	0	0	5896833	15128
D19688D364	2333060	3856102	20905	0	0	0	53618670	0	9026	104670	0	94058	3840	12829306	3346911
D19688D5	413974	1582315	0	0	4533	0	46841980	0	0	20868	0	0	0	10035008	12085
D19688D63	6016797	4329290	0	0	0	0	34087416	0	0	20196	0	0	0	7217022	3366908
D19688D96	4829186	8333486	0	0	0	0	40100512	0	0	125426	0	0	74637	11381691	4919375
D19688PRE	277429	17367994	0	0	0	0	34340906	0	0	134919	0	0	38243	3160837	0
D19754D-1	94557	118049	0	0	9732	0	48689751	0	0	16915	0	0	0	7784198	0
D19754D-9	178003	49204	0	0	13613	0	40897457	0	0	14738	0	0	0	7041501	15894
D19754D110	376857	196469	0	0	3779	0	24644923	0	4424	14854	0	0	0	3532650	17615
D19754D12	85768	20598	0	0	0	0	40425285	0	0	0	0	0	0	-1629964	13799
D19754D171	89946	11003	0	0	0	0	37476643	0	0	29014	0	0	0	2982381	10390
D19754D19	17951773	498077	63544	0	11740	0	69960349	0	4232	219711	0	0	0	22574368	0
D19754D26	8582877	395740	0	0	0	0	19562260	0	0	174079	0	0	0	14309290	12681
D19754D384	2589307	11988	0	0	0	0	6766554	0	0	24796	0	0	0	1019667	0
D19754D55	350258	67442	0	0	0	0	40448325	9052	0	52732	0	0	0	3475747	10273
D19754D8	81664	6049	0	0	0	0	39771305	0	0	21477	0	0	0	-1835027	10101
D19836D0	53868	64558	0	0	0	0	43471068	0	0	43365	0	0	0	5318430	0
D19836D13	2824485	129311	0	0	0	0	17403119	0	0	101340	0	0	0	11004161	15992
D19836D189	1660749	116857	0	0	0	0	43794027	0	0	28304	0	0	0	3429179	0
D19836D21	1571289	54811	0	0	0	0	30114912	0	0	24419	0	0	0	8522842	11314
D19836D29	5905703	169057	0	0	0	0	40263228	0	0	3325937	0	0	0	5610972	11373
