SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D13004D15	0.649446507863494	0.0143236870612111	0	0	0	0	98.7024301772727	0	0	0.0348201774985585	0	0	0	0.59898	0
D13004D384	0.433619423567638	0.0264791333202004	0	0	0	0	93.9431822701173	0	0	4.54306557203642	0	0.457095666064444	0	0.56653	0.0300388515810459
D13004D46	2.62066064907166	0.003358833237561	1.09047898920873	0	0	0	91.0079196005074	0	0	0.421129179210237	0	0	0	4.84892	0.0075359657907884
D13004D7	11.7870103718087	0.0493425519099574	0	0	0	0	7.12040757801299	0	0	0	0	0	0	81.04324	0
D17010D15	0.299197258134441	1.05377573473855	0	0	0.0177194120315487	0	75.2746933742299	0	0	0.0507726356003555	0	0	0.0112529772512043	23.29259	0
D17010D22	1.26650197587534	1.50692520168122	0	0	0.0090319576799091	0	74.1027279832868	0	0	0.726362827991865	0	0	0.0165273906077094	22.00382	0.368110772591531
D17010D2	4.17737571543721	4.97059148594386	0	0	0	0	63.9368178509577	0	0	0.0016318902967229	0	0	0.0875805518886989	26.82106	0.0049395782524124
D17010D31	0.274502887317002	21.7929007298903	0	0	0.0007856998335949	0	56.5296030547493	0	0	0.737772143745688	0	0	0.0280471031507541	20.63638	0
D17010D398	15.3388508142394	3.42983879013754	0.0432720925889734	0	0	0	58.8893899120462	0	0	1.01031716413302	0	0	0.0047625279272928	21.28053	0.0030385715370827
D17010D64	0.910628544069439	8.92674166018865	0	0	0	0	63.552393393573	0	0	0.964039021816501	0	0	0.0962639360565253	25.54993	0
D17010D8	0.42206138117109	1.24569688061684	0	0	0	0	68.0146582498396	0	0	0.009988501766975	0	0	0.195114792388623	30.10146	0.0110230002005036
D17010PRE	0.0895349628734951	14.917826150526	0	0	0	0	32.7704370399043	0	0	0.0014246806352147	0	0	0	52.19192	0.028847392459348
D18423D109	0.631100010376551	4.55207279771698	0	0	0.0010091378692188	0	87.3810629327519	0	0	0.011341228346726	0	0	0	7.41854	0.0048605264343111
D18423D13	0.0055761186096141	7.23794596660691	0	0	0	0	11.8709286304797	0	0	1.14355363031341	0	0	0	42.39547	37.3465267450458
D18423D180	0.815519503918656	22.170480099081	0	0	0	0	66.8637401760833	0	0	0.344676683592555	0	0	0	9.78467	0.0209209346503463
D18423D19	0.482833048186509	62.5057593346785	0	0	0	0	3.15600021277982	0	0	0.732162105785472	0	0	0	28.29603	4.82721907027163
D18423D28	0.78264157320178	2.33147221604889	0	0	0	0	23.8144627674968	0.007732006508453	0	11.5115000863927	0	0	0	16.22962	45.3225760573183
D18423D354	0.254026998299991	35.5637000575299	0	0	0	0	52.0647214118899	0	0	0.330472439986141	0	0.347591188686248	0	11.43948	0
D18423D54	2.49163890117713	24.8960461589459	0.0116640182523419	0	0	0	34.6075278806796	0.313905480428771	0	0.785505804318033	0	0	0	16.14653	20.7471858923733
D18423D5	0.0260139579223958	28.5343307479821	0	0	0	0	1.09479067248013	0	0	1.71967481130719	0	0	0	21.55019	47.0750026040231
D18423D92	2.0810842605187	6.13698833663975	0	0	0.0087228453753357	0	67.2475479855033	0	0	0.0663355249831757	0	0	0	4.77243	19.6868906467152
D18423PRE	1.70611212870979	20.5009506517044	0	0	0.0037540356784145	0	40.6175899914253	0	0.0281148146174363	0.068195617959819	0	0	0.003794488649087	19.09406	17.9774296163964
D18594D5	2.86618095324936	0.0699988040222899	0	0	0	0	81.5659774796239	0	0	0.0026795822817372	0	0	0	15.47059	0.0245642464060831
D18594PRE	9.74411649599527	1.81255340589532	0	0	0.0034314686659935	0	80.1019630150656	0	0	0.581716958289108	0	0	0	7.75622	0
D19688D14	0.178871832355291	32.6189860715714	0	0	0.013223221491922	0	45.9367469028556	0	0	0	0	0	0	21.24347	0.0086947209809898
D19688D180	4.66615995685527	17.9976832284173	0	0	0	0	54.8617381417636	0	0	0.0029956992460077	0	0	0.0572490990878174	8.10739	14.3067887828444
D19688D20	0.0937746808582168	49.5846428548862	0	0	0	0	38.5878131827527	0	0	0.0188255762325535	0	0	0	11.69992	0.0150110129434057
D19688D29	1.01106707499884	15.8269148292475	0	0	0	0	70.0961916528575	0	0	0.0152031006468698	0	0	0	13.02574	0.0248833357841503
D19688D364	3.59170442438957	2.84974402747603	0.0295992406108447	0	0	0	71.9979945945513	0	0.0115768875892936	0.0455008275869434	0	0.133891029669567	0.0006403881784307	16.8327	4.50664448004572
