Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D13004D15_1	73.67476640208308	37.0	138.1323280541905	150	18.181818181818183	24602984.0
D13004D15_2	69.54521196264291	37.0	138.11252773240838	150	18.181818181818183	24602984.0
D13004D384_1	27.19186337625736	47.0	126.04107430896842	147	9.090909090909092	26532181.0
D13004D384_2	25.40118597645109	47.0	126.08011471050948	147	9.090909090909092	26532181.0
D13004D46_1	37.288510841178294	46.0	139.9421269420615	150	9.090909090909092	30944952.0
D13004D46_2	35.80804796689135	46.0	139.9012673860344	150	9.090909090909092	30944952.0
D13004D7_1	53.184884340447006	41.0	140.01836699122617	150	27.27272727272727	21486045.0
D13004D7_2	51.03941497436101	41.0	139.974293500735	150	27.27272727272727	21486045.0
D13004PRE_1	27.580401564364948	46.0	135.55088343319338	147	9.090909090909092	33526757.0
D13004PRE_2	26.389553160196073	46.0	135.54828673110256	147	9.090909090909092	33526757.0
D17010D15_1	39.13455891125361	43.0	127.296751707112	147	9.090909090909092	26280789.0
D17010D15_2	37.226762260467375	43.0	127.29135103211703	147	9.090909090909092	26280789.0
D17010D22_1	44.3794176286898	44.0	135.64948409686573	151	18.181818181818183	60463773.0
D17010D22_2	41.559053879020084	44.0	135.66154846142334	151	9.090909090909092	60463773.0
D17010D2_1	36.93207819069417	44.0	137.7593915918567	150	9.090909090909092	24387905.0
D17010D2_2	34.495722178370826	44.0	137.72108518546386	150	9.090909090909092	24387905.0
D17010D31_1	31.69708361347105	43.0	128.62567560900425	147	9.090909090909092	31963939.0
D17010D31_2	29.888957413657522	43.0	128.6380014052711	147	9.090909090909092	31963939.0
D17010D398_1	31.244329778221598	49.0	120.74055127976939	147	9.090909090909092	31833782.0
