Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D13004D15_1	78.65295344088227	38.0	150.0	150	27.27272727272727	35429107.0
D13004D15_2	74.57918780436361	38.0	150.0	150	27.27272727272727	35429107.0
D13004D384_1	34.05552372744518	49.0	150.0	150	18.181818181818183	28898604.0
D13004D384_2	32.17675072828618	48.0	150.0	150	18.181818181818183	28898604.0
D13004D46_1	43.649753660525	47.0	150.0	150	18.181818181818183	35702101.0
D13004D46_2	42.01773385434719	47.0	150.0	150	18.181818181818183	35702101.0
D13004D7_1	60.87952556536376	41.0	150.0	150	36.36363636363637	29332840.0
D13004D7_2	58.547717349012416	41.0	150.0	150	36.36363636363637	29332840.0
D13004PRE_1	34.75696073310334	47.0	150.0	150	18.181818181818183	38361477.0
D13004PRE_2	33.59613264671029	47.0	150.0	150	18.181818181818183	38361477.0
D17010D15_1	46.52435934237932	45.0	150.0	150	18.181818181818183	29595151.0
D17010D15_2	44.651929041781614	44.0	150.0	150	18.181818181818183	29595151.0
D17010D22_1	47.44217165482695	46.0	150.0	150	18.181818181818183	48010015.0
D17010D22_2	44.86075914231079	46.0	150.0	150	18.181818181818183	48010015.0
D17010D2_1	45.795942895859476	44.0	150.0	150	18.181818181818183	31820649.0
D17010D2_2	43.05467629103473	43.0	150.0	150	18.181818181818183	31820649.0
D17010D31_1	38.96166689022314	45.0	150.0	150	18.181818181818183	36056594.0
D17010D31_2	37.07131022674892	45.0	150.0	150	18.181818181818183	36056594.0
D17010D398_1	39.33631670960642	52.0	150.0	150	18.181818181818183	35389044.0
D17010D398_2	38.059116360972325	51.0	150.0	150	18.181818181818183	35389044.0
D17010D64_1	39.88188470269301	45.0	150.0	150	18.181818181818183	30036680.0
D17010D64_2	38.245229103439506	44.0	150.0	150	18.181818181818183	30036680.0
D17010D8_1	43.24060253279948	48.0	150.0	150	18.181818181818183	27006914.0
D17010D8_2	41.60142761202575	47.0	150.0	150	18.181818181818183	27006914.0
D17010PRE_1	80.2100349721031	35.0	150.0	150	36.36363636363637	34659336.0
D17010PRE_2	77.92092464046144	35.0	150.0	150	36.36363636363637	34659336.0
D18423D109_1	56.553853000958945	42.0	150.0	150	27.27272727272727	58863304.0
D18423D109_2	52.22967237618267	42.0	150.0	150	27.27272727272727	58863304.0
D18423D13_1	63.48755469376079	43.0	150.0	150	45.45454545454545	22564985.0
D18423D13_2	61.594582501346096	42.0	150.0	150	45.45454545454545	22564985.0
D18423D180_1	28.597689896899283	46.0	150.0	150	18.181818181818183	23222972.0
D18423D180_2	27.04604721106604	45.0	150.0	150	18.181818181818183	23222972.0
D18423D19_1	48.23353973840171	45.0	150.0	150	18.181818181818183	26375175.0
D18423D19_2	46.58489851946052	44.0	150.0	150	18.181818181818183	26375175.0
D18423D28_1	54.37329278985929	50.0	150.0	150	36.36363636363637	37215168.0
D18423D28_2	53.62907055307448	49.0	150.0	150	36.36363636363637	37215168.0
D18423D354_1	29.170484314293418	46.0	150.0	150	18.181818181818183	30346670.0
D18423D354_2	28.092872947253525	45.0	150.0	150	18.181818181818183	30346670.0
D18423D54_1	24.313714907092915	46.0	150.0	150	27.27272727272727	16728861.0
D18423D54_2	20.684194269375695	44.0	150.0	150	27.27272727272727	16728861.0
D18423D5_1	56.192828515620754	49.0	150.0	150	27.27272727272727	33022956.0
D18423D5_2	53.564854208974076	48.0	150.0	150	27.27272727272727	33022956.0
D18423D92_1	43.91489343970571	46.0	150.0	150	18.181818181818183	30057371.0
D18423D92_2	42.69259951283071	45.0	150.0	150	18.181818181818183	30057371.0
D18423PRE_1	38.3534477910416	47.0	150.0	150	18.181818181818183	33664680.0
D18423PRE_2	34.816244843818694	46.0	150.0	150	18.181818181818183	33664680.0
D18594D5_1	74.95504134124766	40.0	150.0	150	27.27272727272727	37205729.0
D18594D5_2	70.60570022147799	39.0	150.0	150	27.27272727272727	37205729.0
D18594PRE_1	32.69173659308309	45.0	150.0	150	18.181818181818183	26773878.0
D18594PRE_2	31.9540891786952	45.0	150.0	150	18.181818181818183	26773878.0
D19688D14_1	68.2130351338705	40.0	150.0	150	27.27272727272727	35348202.0
D19688D14_2	66.44811705833544	40.0	150.0	150	27.27272727272727	35348202.0
D19688D180_1	33.65546061433568	47.0	150.0	150	18.181818181818183	26684406.0
D19688D180_2	31.109924131824854	47.0	150.0	150	18.181818181818183	26684406.0
D19688D20_1	55.493662220521344	43.0	150.0	150	27.27272727272727	31604340.0
D19688D20_2	53.018776714489725	42.0	150.0	150	27.27272727272727	31604340.0
D19688D29_1	45.15119621834489	45.0	150.0	150	18.181818181818183	29595431.0
D19688D29_2	42.67516278351935	44.0	150.0	150	18.181818181818183	29595431.0
D19688D364_1	34.730156223939304	44.0	150.0	150	18.181818181818183	46788701.0
D19688D364_2	32.520102137119025	44.0	150.0	150	18.181818181818183	46788701.0
D19688D5_1	50.107344889351964	44.0	150.0	150	27.27272727272727	35823605.0
D19688D5_2	47.57774861599627	43.0	150.0	150	18.181818181818183	35823605.0
D19688D63_1	37.07280077741025	50.0	150.0	150	18.181818181818183	32499251.0
D19688D63_2	34.95544912960598	50.0	150.0	150	18.181818181818183	32499251.0
D19688D96_1	34.50715167523117	51.0	150.0	150	18.181818181818183	52785746.0
D19688D96_2	34.248678732200915	49.0	150.0	150	18.181818181818183	52785746.0
D19688PRE_1	35.82180453453884	44.0	150.0	150	18.181818181818183	32956554.0
D19688PRE_2	34.610106807080385	44.0	150.0	150	18.181818181818183	32956554.0
D19754D-1_1	56.94478357466512	46.0	150.0	150	27.27272727272727	35793875.0
D19754D-1_2	54.90346312018299	45.0	150.0	150	27.27272727272727	35793875.0
D19754D-9_1	54.45875285538072	45.0	150.0	150	27.27272727272727	30280256.0
D19754D-9_2	52.164018535338656	45.0	150.0	150	27.27272727272727	30280256.0
D19754D110_1	69.0537057466408	37.0	150.0	150	27.27272727272727	19565260.0
D19754D110_2	66.96051690651339	36.0	150.0	150	27.27272727272727	19565260.0
D19754D12_1	71.25963912583423	46.0	150.0	150	27.27272727272727	26527328.0
D19754D12_2	68.66824042487949	45.0	150.0	150	27.27272727272727	26527328.0
D19754D171_1	71.46162820945914	41.0	150.0	150	27.27272727272727	27976343.0
D19754D171_2	67.76625817167562	41.0	150.0	150	27.27272727272727	27976343.0
D19754D19_1	67.05946850950004	44.0	150.0	150	27.27272727272727	113874172.0
D19754D19_2	65.41907480681698	44.0	150.0	150	27.27272727272727	113874172.0
D19754D26_1	61.26035995703259	43.0	150.0	150	27.27272727272727	36377533.0
D19754D26_2	60.81627645662527	43.0	150.0	150	27.27272727272727	36377533.0
D19754D384_1	31.925023536060138	48.0	150.0	150	18.181818181818183	6054921.0
D19754D384_2	31.371687595881767	48.0	150.0	150	18.181818181818183	6054921.0
D19754D55_1	68.21981577265313	49.0	150.0	150	27.27272727272727	30735514.0
D19754D55_2	65.77863408442559	48.0	150.0	150	27.27272727272727	30735514.0
D19754D8_1	70.87716402129837	46.0	150.0	150	27.27272727272727	25621510.0
D19754D8_2	67.3329008273702	45.0	150.0	150	27.27272727272727	25621510.0
D19836D0_1	50.05637059111874	45.0	150.0	150	27.27272727272727	29849868.0
D19836D0_2	48.39476684313506	44.0	150.0	150	18.181818181818183	29849868.0
D19836D13_1	43.5307814761519	50.0	150.0	150	18.181818181818183	32803639.0
D19836D13_2	43.7078115336612	49.0	150.0	150	27.27272727272727	32803639.0
D19836D189_1	44.524834206071574	46.0	150.0	150	18.181818181818183	29616747.0
D19836D189_2	43.827449914540864	45.0	150.0	150	18.181818181818183	29616747.0
D19836D21_1	69.49088101110198	39.0	150.0	150	18.181818181818183	30235810.0
D19836D21_2	66.25995760347632	39.0	150.0	150	27.27272727272727	30235810.0
D19836D29_1	47.16711914066174	46.0	150.0	150	27.27272727272727	32953549.0
D19836D29_2	44.86771208594285	45.0	150.0	150	27.27272727272727	32953549.0
D19836D365_1	40.76177677770888	48.0	150.0	150	18.181818181818183	56650209.0
D19836D365_2	39.37409092546167	47.0	150.0	150	18.181818181818183	56650209.0
D19836D56_1	53.85742131552519	45.0	150.0	150	27.27272727272727	35995517.0
D19836D56_2	50.950779889639975	45.0	150.0	150	27.27272727272727	35995517.0
D19836D8_1	35.26670832811037	42.0	151.0	151	27.27272727272727	17066603.0
D19836D8_2	35.75659521932451	41.0	151.0	151	27.27272727272727	17066603.0
D19836D92_1	42.142317242309616	45.0	150.0	150	18.181818181818183	26334270.0
D19836D92_2	39.25173094544605	44.0	150.0	150	18.181818181818183	26334270.0
D19836PRE_1	36.157850871808925	50.0	150.0	150	18.181818181818183	32480965.0
D19836PRE_2	36.317927703465195	49.0	150.0	150	18.181818181818183	32480965.0
D19840D106_1	34.70479237867123	47.0	150.0	150	18.181818181818183	38567798.0
D19840D106_2	33.056291971535416	46.0	150.0	150	18.181818181818183	38567798.0
D19840D12_1	58.48913263428307	42.0	150.0	150	27.27272727272727	34069334.0
D19840D12_2	55.74316286671536	41.0	150.0	150	27.27272727272727	34069334.0
D19840D15_1	55.15256362487361	45.0	150.0	150	36.36363636363637	29411922.0
D19840D15_2	52.802317941938355	45.0	150.0	150	36.36363636363637	29411922.0
D19840D196_1	27.406642244354316	48.0	150.0	150	18.181818181818183	28709554.0
D19840D196_2	26.829533036922697	47.0	150.0	150	18.181818181818183	28709554.0
D19840D19_1	41.43797170681896	44.0	150.0	150	18.181818181818183	21357213.0
D19840D19_2	38.84081334897972	43.0	150.0	150	18.181818181818183	21357213.0
D19840D368_1	32.55098345228309	45.0	150.0	150	18.181818181818183	36254711.0
D19840D368_2	29.598716571234107	44.0	150.0	150	18.181818181818183	36254711.0
D19840D63_1	43.06434319951307	45.0	150.0	150	18.181818181818183	38213389.0
D19840D63_2	39.77725362837494	44.0	150.0	150	18.181818181818183	38213389.0
D19840D6_1	52.563978020998505	46.0	150.0	150	36.36363636363637	31832682.0
D19840D6_2	50.711484595084386	45.0	150.0	150	36.36363636363637	31832682.0
D19840D767_1	32.3601547974294	47.0	150.0	150	18.181818181818183	37167926.0
D19840D767_2	29.708821274657964	46.0	150.0	150	18.181818181818183	37167926.0
D19840PRE_1	27.560773871979606	48.0	150.0	150	18.181818181818183	29458739.0
D19840PRE_2	26.11020663963184	47.0	150.0	150	18.181818181818183	29458739.0
D20117D108_1	32.22338672255299	47.0	150.0	150	18.181818181818183	39999689.0
D20117D108_2	31.737492193015868	46.0	150.0	150	18.181818181818183	39999689.0
D20117D12_1	31.779946860275913	45.0	150.0	150	18.181818181818183	28196119.0
D20117D12_2	29.97867930479191	45.0	150.0	150	18.181818181818183	28196119.0
D20117D196_1	32.30941148837577	45.0	150.0	150	18.181818181818183	35206954.0
D20117D196_2	30.806014827425244	45.0	150.0	150	18.181818181818183	35206954.0
D20117D20_1	70.71986663871542	43.0	150.0	150	27.27272727272727	36275366.0
