SampleID	R1	R2	Total
D13004D15	24602984	24602984	49205968
D13004D384	26532181	26532181	53064362
D13004D46	30944952	30944952	61889904
D13004D7	21486045	21486045	42972090
D13004PRE	33526757	33526757	67053514
D17010D15	26280789	26280789	52561578
D17010D2	24387905	24387905	48775810
D17010D22	60463773	60463773	120927546
D17010D31	31963939	31963939	63927878
D17010D398	31833782	31833782	63667564
D17010D64	26180189	26180189	52360378
D17010D8	24188400	24188400	48376800
D17010PRE	14992805	14992805	29985610
D18423D109	46975311	46975311	93950622
D18423D180	21465855	21465855	42931710
D18423D19	23085517	23085517	46171034
D18423D28	29624037	29624037	59248074
D18423D354	27607131	27607131	55214262
D18423D5	28836338	28836338	57672676
D18423D92	25924487	25924487	51848974
D18423PRE	29802554	29802554	59605108
D18594D5	26218845	26218845	52437690
D18594PRE	23822660	23822660	47645320
D19688D14	26026880	26026880	52053760
D19688D180	23989552	23989552	47979104
D19688D20	27182827	27182827	54365654
D19688D29	26268293	26268293	52536586
D19688D364	40426116	40426116	80852232
D19688D5	30883732	30883732	61767464
D19688D63	29038740	29038740	58077480
D19688D96	45969290	45969290	91938580
D19688PRE	29040771	29040771	58081542
D19754D-1	30725555	30725555	61451110
D19754D-9	26356008	26356008	52712016
D19754D110	15375516	15375516	30751032
D19754D12	21415246	21415246	42830492
D19754D171	21745333	21745333	43490666
D19754D19	57646417	57646417	115292834
D19754D26	22853450	22853450	45706900
D19754D384	5399383	5399383	10798766
D19754D55	25329256	25329256	50658512
D19754D8	20830527	20830527	41661054
D19836D0	25816227	25816227	51632454
D19836D13	24788402	24788402	49576804
D19836D189	25718289	25718289	51436578
D19836D21	20750535	20750535	41501070
D19836D365	51019954	51019954	102039908
D19836D56	30705423	30705423	61410846
D19836D92	23653581	23653581	47307162
D19836PRE	27750156	27750156	55500312
D19840D106	34751700	34751700	69503400
D19840D12	27710544	27710544	55421088
D19840D19	18309415	18309415	36618830
D19840D196	25554992	25554992	51109984
D19840D368	31658826	31658826	63317652
D19840D63	33303141	33303141	66606282
D19840D767	33158913	33158913	66317826
D19840PRE	25755439	25755439	51510878
D20117D108	34767968	34767968	69535936
D20117D12	25287002	25287002	50574004
D20117D196	31574452	31574452	63148904
D20117D20	29317500	29317500	58635000
D20117D267	34186532	34186532	68373064
D20117D29	41175506	41175506	82351012
D20117D357	32300547	32300547	64601094
D20117D4	23337616	23337616	46675232
D20117D44	28127676	28127676	56255352
D20117D537	23386418	23386418	46772836
D20117D743	34965807	34965807	69931614
D20117D76	25875669	25875669	51751338
D20117PRE	40435051	40435051	80870102
D20215D0	20934526	20934526	41869052
D20215D16	31391043	31391043	62782086
D20215D177	44622534	44622534	89245068
D20215D22	23439533	23439533	46879066
D20215D28	23608121	23608121	47216242
D20215D37	24062180	24062180	48124360
D20215D70	23257500	23257500	46515000
D20215D91	27286583	27286583	54573166
D20215PRE	32099353	32099353	64198706
D20231D1	25366732	25366732	50733464
D20231D14	22029270	22029270	44058540
D20231D188	26270565	26270565	52541130
D20231D21	23517813	23517813	47035626
D20231D29	27039329	27039329	54078658
D20231D69	27400976	27400976	54801952
D20231PRE	26327685	26327685	52655370
D20236D0	12872769	12872769	25745538
D20236D14	23051065	23051065	46102130
D20236D169	6681906	6681906	13363812
D20236D27	25285921	25285921	50571842
D20236D34	31668576	31668576	63337152
D20236D43	28420035	28420035	56840070
D20236D56	31656484	31656484	63312968
D20236D68	27288687	27288687	54577374
D20236D8	34737094	34737094	69474188
D20236D99	20184364	20184364	40368728
D20236PRE	30284201	30284201	60568402
D20248D1	27642074	27642074	55284148
D20248D14	30144281	30144281	60288562
D20248D194	32409644	32409644	64819288
D20248D21	36087299	36087299	72174598
D20248D28	28176567	28176567	56353134
D20248D54	29435277	29435277	58870554
D20248D8	26152975	26152975	52305950
D20248PRE	24556133	24556133	49112266
D20622D-1	25676673	25676673	51353346
D20622D11	21453857	21453857	42907714
D20622D14	19684621	19684621	39369242
D20622D167	23134986	23134986	46269972
D20622D20	24750643	24750643	49501286
D20622D25	20701456	20701456	41402912
D20622D276	24517321	24517321	49034642
D20622D28	26061990	26061990	52123980
D20622D32	26985194	26985194	53970388
D20622D64	99973412	99973412	199946824
D20622D7	24494881	24494881	48989762
D20622D90	29681872	29681872	59363744
D20622PRE	24919975	24919975	49839950
D20653D103	26345494	26345494	52690988
D20653D7	24482153	24482153	48964306
D20653PRE	29923730	29923730	59847460
D20726D0	25235699	25235699	50471398
D20726D174	27532234	27532234	55064468
D20726D28	23422329	23422329	46844658
D20726D366	28264566	28264566	56529132
D20726D62	43623961	43623961	87247922
D20726D97	22369062	22369062	44738124
D20726PRE	31883583	31883583	63767166
D20784D113	30175770	30175770	60351540
D20784D171	40104303	40104303	80208606
D20784D24	27588909	27588909	55177818
D20784D61	27035643	27035643	54071286
D20784D7	30301863	30301863	60603726
D20784D89	26515781	26515781	53031562
D20784PRE	27320029	27320029	54640058
D20923D15	29872522	29872522	59745044
D20923D22	22840838	22840838	45681676
D20923D8	29863714	29863714	59727428
D20923D98	27694662	27694662	55389324
D20923PRE	31279813	31279813	62559626
D21044D102	26825947	26825947	53651894
D21044D10	18074057	18074057	36148114
D21044D20	30002580	30002580	60005160
D21044D27	31853761	31853761	63707522
