	SampleID	Num_AMR_Hits
0	D13004D15	96
1	D13004D384	160
2	D13004D46	127
3	D13004D7	50
4	D13004PRE	133
5	D17010D15	128
6	D17010D22	241
7	D17010D2	99
8	D17010D31	179
9	D17010D398	179
10	D17010D64	144
11	D17010D8	108
12	D17010PRE	81
13	D18423D109	91
14	D18423D13	38
15	D18423D180	80
16	D18423D19	76
17	D18423D28	166
18	D18423D354	87
19	D18423D54	154
20	D18423D5	102
21	D18423D92	87
22	D18423PRE	104
23	D18594D5	94
24	D18594PRE	136
25	D19688D14	59
26	D19688D180	93
27	D19688D20	95
28	D19688D29	86
29	D19688D364	162
30	D19688D5	88
31	D19688D63	110
32	D19688D96	175
33	D19688PRE	132
34	D19754D110	70
35	D19754D12	43
36	D19754D171	80
37	D19754D19	133
38	D19754D-1	83
39	D19754D26	93
40	D19754D384	54
41	D19754D55	84
42	D19754D8	51
43	D19754D-9	69
44	D19836D0	82
45	D19836D13	173
46	D19836D189	97
47	D19836D21	72
48	D19836D29	168
49	D19836D365	176
50	D19836D56	90
51	D19836D8	49
52	D19836D92	73
53	D19836PRE	173
54	D19840D106	121
55	D19840D12	81
56	D19840D15	94
57	D19840D196	165
58	D19840D19	96
59	D19840D368	12
60	D19840D63	160
61	D19840D6	54
62	D19840D767	98
63	D19840PRE	124
64	D20117D108	158
65	D20117D12	103
66	D20117D196	173
67	D20117D20	74
68	D20117D267	188
69	D20117D29	61
70	D20117D357	152
71	D20117D44	109
72	D20117D4	77
73	D20117D537	143
74	D20117D743	162
75	D20117D76	117
76	D20117PRE	109
77	D20215D0	54
78	D20215D16	95
79	D20215D177	140
80	D20215D22	154
81	D20215D28	63
82	D20215D37	133
83	D20215D70	110
84	D20215D91	129
85	D20215PRE	129
86	D20231D14	116
87	D20231D188	114
88	D20231D1	71
89	D20231D21	66
90	D20231D29	142
91	D20231D69	83
92	D20231D90	111
93	D20231PRE	82
94	D20236D0	69
95	D20236D14	29
96	D20236D169	44
97	D20236D27	65
98	D20236D34	99
99	D20236D43	89
100	D20236D56	128
101	D20236D68	64
102	D20236D8	92
103	D20236D99	59
104	D20236PRE	147
105	D20248D14	67
106	D20248D194	159
107	D20248D1	68
108	D20248D21	156
109	D20248D28	90
110	D20248D54	125
111	D20248D8	84
112	D20248PRE	119
113	D20622D11	117
114	D20622D14	70
115	D20622D167	47
116	D20622D-1	116
117	D20622D20	69
118	D20622D25	174
119	D20622D276	55
120	D20622D28	168
121	D20622D32	132
122	D20622D64	235
123	D20622D7	53
124	D20622D90	180
125	D20622PRE	121
126	D20653D103	170
127	D20653D12	100
128	D20653D22	22
129	D20653D29	48
130	D20653D7	97
131	D20653PRE	75
132	D20726D0	114
133	D20726D174	99
134	D20726D28	124
135	D20726D366	129
136	D20726D62	166
137	D20726D97	161
138	D20726PRE	149
139	D20784D113	76
140	D20784D12	65
141	D20784D171	179
142	D20784D24	149
143	D20784D61	162
144	D20784D7	96
145	D20784D89	85
146	D20784PRE	86
147	D20923D22	164
148	D20923D8	144
149	D20923PRE	114
150	D21044D102	154
151	D21044D10	74
152	D21044D20	68
153	D21044D27	101
154	D21044D60	181
155	D21044PRE	91
156	D21276D13	145
157	D21276D183	120
158	D21276D30	190
159	D21276D57	127
160	D21276D5	222
161	D21276D89	93
162	D21276PRE	159
163	D21281D2	77
164	D21281D49	138
165	D21281PRE	156
166	D21309D0	150
167	D21309D10	102
168	D21309D15	54
169	D21309D181	138
170	D21309D22	109
171	D21309D365	120
172	D21309D58	127
173	D21309PRE	142
174	D21376D20	91
175	D21376D358	117
176	D21376D6	127
177	D21376D95	108
178	D21376PRE	117
179	D21590D19	76
180	D21590D6	109
181	D21590D97	139
182	D21590PRE	110
183	D21593D-3	139
184	D21593D7	108
185	D21593PRE	130
186	D21630D15	76
187	D21630D28	79
188	D21630D35	53
189	D21630D57	26
190	D21630D8	124
191	D21630D96	82
192	D21685D0	51
193	D21685D15	60
194	D21685D22	42
195	D21685D30	109
196	D21685D58	82
197	D21685D7	62
198	D21685NPE	168
199	D21685PRE	95
200	D21752D14	126
201	D21752PRE	90
202	D21754D12	74
203	D21754D20	68
204	D21754D26	134
205	D21754D54	106
206	D21754D8	65
207	D21754PRE	114
208	D20923D15	134
209	D21276D-2	157
210	D21376D50	80
211	D21630PRE	93
212	D21309D29	78
213	D20923D98	129
