	ARO_Acc	D20622PRE	D19688D364	D20117D44	D13004D15	D13004D7	D13004D384	D20117D4	D19836D365	D19688D5	D20117D12	D13004D46	D13004PRE	D19754D19	D19840D767	D20248D54	D19836D21	D19836D0	D19688D96	D19836D56	D20726D0	D19754D55	D20653D29	D20784D12	D19836PRE	D19836D92	D17010D2	D17010D15	D17010D8	D19836D13	D18423D109	D20117D20	D20236D43	D17010PRE	D17010D64	D17010D31	D17010D398	D18594D5	D17010D22	D18423D180	D20248D1	D18423PRE	D20117D537	D18423D19	D19688D180	D19688D29	D19754D384	D19688D20	D19754D110	D18423D92	D18594PRE	D18423D354	D19688D14	D18423D5	D19840D19	D18423D28	D19688PRE	D19754D171	D19754D12	D19754D-9	D19688D63	D19754D26	D19754D-1	D19754D8	D19836D189	D19840D368	D20117D76	D20117D743	D20117PRE	D20236D0	D20248D21	D20215D70	D20236D27	D20622D14	D21044D27	D19840D196	D19840D106	D21685NPE	D20215D0	D20117D357	D20117D267	D19840D12	D19840PRE	D20215D22	D20248D28	D20215D28	D20117D29	D19840D63	D20215D16	D20117D196	D20117D108	D20236D169	D20231D21	D20231D188	D20231D29	D20231D14	D20215D37	D20236D14	D20231D1	D20231PRE	D20215D91	D20215D177	D20231D69	D20236D99	D20215PRE	D21630D8	D20236D34	D20236D68	D20236PRE	D20236D56	D20248D8	D20622D25	D20622D-1	D20622D20	D20236D8	D20248D14	D20248PRE	D20622D11	D20622D167	D21309D0	D20622D276	D20248D194	D20622D90	D20622D32	D20622D7	D20726D97	D20653PRE	D20622D28	D20653D7	D20653D103	D21276D5	D21309D29	D21276PRE	D21685D58	D20726D366	D20726D28	D20784D113	D20726D174	D20726PRE	D20726D62	D19840D15	D20784D171	D20784D24	D20923D22	D20784D61	D20784D89	D20923D98	D20923D15	D20923D8	D20784D7	D21044D10	D21276D183	D21376D6	D20784PRE	D21309D22	D21309D15	D21044D102	D21044PRE	D20923PRE	D21281D2	D21276D13	D21281D49	D21685D0	D21044D60	D21281PRE	D21276D30	D21309D10	D21044D20	D21276D89	D21685PRE	D21309D181	D21376D20	D21309PRE	D21630D15	D21309D365	D21376PRE	D21630D96	D21630D35	D21593D7	D21376D50	D21309D58	D21593PRE	D21590PRE	D21376D95	D21376D358	D21590D19	D21590D6	D21590D97	D21630D28	D20653D22	D21630PRE	D21685D7	D21685D22	D21685D30	D21752D14	D21593D-3	D18423D13	D19836D8	D20653D12	D21752PRE	D21685D15	D21754D20	D21754D12	D21754D8	D20622D64	D21754PRE	D21754D26	D21630D57	D21276D57	D21276D-2	D19840D6	D19836D29	D20231D90	D21754D54	D18423D54
0	ARO_3000005	1.6860693769832864	0.0	32.84711625227272	0.0	0.0	0.0	0.0	0.0	0.0	6.680069029888119	0.0	0.8984012956490499	0.0	0.0	2.046556716806902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4981574988334065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.306580402781673	0.0	0.0	1.8783174786959203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.983917336343564	13.073376504527749	0.0	0.0	0.0	0.0	0.0	0.0	2.17127177632517	14.288874474431084	9.193261085555982	0.0	0.0	0.0	0.0	0.7729617779611413	0.0	0.0	0.0	15.129542275806612	41.78278991463357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.141261246022842	0.0	0.0	0.0	14.734657517021388	0.0	0.0	0.0	0.0	0.0	1.1517038473715078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.6438419550469	0.0	4.751928040107582	0.0	0.0	0.0	0.0	14.304678099647269	0.0	0.0	0.0	0.0	13.62843045678767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98067133436793	1.165706440427343	0.0	0.0	1.9314684958779158	0.0	0.0	0.0	0.0	1.2242177114832993	0.0	1.4665526515155094	0.0	0.0	1.4301765214021045	0.0	0.0	0.0	2.271414016512573	121.84278792173139	0.0	0.0	6.108408880317117	27.374790321943966	0.0	0.0	0.0	22.097239650667266	5.31653838654489	0.0	0.0	9.030747261283338	41.63653866555751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.837496047770195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1613975958563396	0.0
1	ARO_3000010	0.10461014382743018	0.33664241565210695	0.09536527061376827	0.0	0.12856860996179237	0.0	0.0	0.050386052629596625	14.685592542476591	0.0	0.0	0.0	0.7705555541504744	0.0	0.0	0.1344629703006969	0.10543093958441171	0.25921893902442683	0.0	0.2189304080086325	0.10149110133371461	0.0	0.5604902683420109	0.0	0.0	0.0	0.0	0.0	0.0	0.05909988386801782	0.09238710826595774	0.0	1.0786845249134152	0.0	0.24582442810381475	0.0	447.67468909254785	0.17918557921201614	0.0	122.4743390794522	0.4544172701754379	0.0	0.0	0.0	115.34509928366352	15.860212012376618	160.41474699410307	0.0	0.1055075751084209	0.0	0.0	243.20635019926797	0.0	1.331393243273198	4.480125152516302	0.1883717039950338	0.12395385206367786	0.0	0.0	0.18838487891002026	0.23819852749886417	0.1737650726520635	0.1275410910283884	0.10583243189834511	0.0	0.0	0.0	0.4643699851976139	0.0	0.0	4.821860480760659	0.0	369.58721609038224	0.0	0.0	0.0	0.0	0.0	0.0	0.3153777387840817	0.09633568176882368	0.0	0.3981611388157702	136.83285534365677	0.32516611130197437	0.0	0.7319739426165521	0.0	0.2586105756452519	0.1573419395289239	16.866338036124016	0.0	0.0	0.0	0.12729711329372384	0.1136733978093332	0.0	0.0	0.0	0.3951272007575903	0.0	0.0	0.0	0.08521136732256818	0.0	0.40587459433029116	0.0	0.09121690016608064	0.0	25.580802356406576	0.26296015788787597	0.10921440168545322	535.2000845964948	0.0	10.962086097977933	0.0	0.0	576.4853415664799	0.0	533.5456719051894	0.0	4.927660509947272	0.45324557478320676	515.2074872968032	0.0	214.83188855705583	3.2935669866823156	358.7224524703909	4.994362503448258	0.0	0.6498009383097575	0.6453375324190311	0.0	0.0	0.1139730446286954	0.09109172878188425	0.0	0.08453936277354437	0.06032416330485031	0.0	0.0	118.98097465743507	0.0	227.61207543745758	0.0	0.5323052775301877	0.0	0.0	103.46444545294985	0.0	0.25280930599711565	0.08524588391233694	0.0	1.8737486513932986	0.0	0.0	0.0	0.0	0.20870024924152486	0.08530843978353855	0.10462829651762547	0.0	0.31685201943615526	0.5362637487141697	0.0	0.1891142507639146	0.0	0.0	0.0	0.20425499823460833	0.2273023237400457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.170883978737884	0.7671937846036438	0.0	0.0	0.0	0.0	0.0	0.0	0.3680659715935328	0.344117120812656	0.0	0.0	0.0	0.0	66.44570141222817	0.0	0.0	0.0	0.0	0.0	0.053404482152214355	0.0	0.4796591546651678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20431059779986066
2	ARO_3000013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.09094391123548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	ARO_3000024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.420303565212478	0.0	0.0	0.0	1.0007960718930318	0.0	0.8088771785474894	9.816792853953102	0.0	0.0	0.0	0.0	0.0	4.345628615929671	0.0	0.0	1.0569224169481992	0.0	0.0	0.0	65.64032018150249	0.40938034940884654	0.0	0.0	0.0	0.9094481254327006	0.0	0.0	3.365338714106096	0.7875632838699566	0.0	0.0	0.0	1.0180919459116744	0.0	0.0	0.0	0.0	0.0	0.0	0.8385558578182323	0.0	0.0	0.0	0.0	0.0	3.2148925292692287	0.0	3.4490159336718365	1.4592407670684708	4.463766243489128	0.0	0.0	1.8081221170961943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8694296837392335	0.0	0.0	0.0	0.0	0.0	0.8003351662817397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.202632529689019	51.068419425609655	0.0	0.0	100.34617567034435	0.8257137091537904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9103944698270009	0.0	0.0	0.0	15.593321268228904	0.0	0.0	0.0	0.0	1.2055794486935336	0.0	0.0	2.4064712437467364	0.0	0.0	0.0	0.0	3.02921489959334	2.5528800510314595	0.0	0.0	0.0	0.8930332617739827	0.0	2.8303990232859046	0.0	0.6903993943926976	0.0	0.0	0.764106068528104	0.0	0.0	0.0	2.5258402380993066	0.0	0.0	0.0	0.0	0.0	0.0	3.4579950699502606	0.0	5.475627276635775	0.0	0.0	0.0	0.0	0.0	0.6393900116985993	1.0237296436479009	0.0	0.8736462759221728	1.7395847840745604	0.0	0.0	0.6240260497827365	8.321027033612243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8299680921422875	0.0	0.0	0.0	0.0	0.61860000303114	0.0	0.0	2.6881963379464735	0.0	0.0	1.2843643827857751	0.0	0.0	1.5958431477686923	0.0	0.0	0.0	2.0280463724646856	0.0	0.0	0.0	0.77994883086419	0.0	0.0	3.8899231416537923	0.0	9.723650383372279	0.0	0.0	0.0	0.0	2.5339418127225093	0.0	0.0	0.0
4	ARO_3000025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019698667811972954	0.16693909293865603	0.0	0.0	0.0	0.16158578680947316	0.030867762565946113	0.0	1.4491438491469548	0.0	0.0	0.0	0.0	0.0	0.5949897192195797	0.0	0.0	0.0	0.04220248257726024	0.0	0.0	4.614846151940713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5435332613716416	0.016959422642810792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5739866117515665	0.0	0.06656956770939355	0.0	0.0	0.0	0.11819672748550407	0.0	0.0	0.27691855256215675	0.0	0.18827790835465505	0.28467204559758824	0.19310877987407163	0.03544334691720019	0.0	0.2987107719453227	0.0	0.0	0.0	0.0	0.0	0.0	0.15229046070693905	0.0	0.0885073748991403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032486458185959716	0.0	0.0	0.0	0.0	0.03853555027366006	0.531913219290823	5.423153250636112	0.08554753857367685	0.044816057359591384	9.355265504503546	0.0	0.0	0.0	0.03770149834223677	0.0	0.0	0.0	0.0	0.0	0.034112105227397924	0.0	0.0	0.0	0.040459023105165824	0.0	0.6968973984342149	0.0	0.0	0.0	0.0	0.1266979210429744	0.0	0.0	0.10364211673232458	0.0	0.0	0.0	0.0	0.1568044764807886	0.0	0.0	0.0	0.06131520051751718	0.0	0.0	0.10964872249299737	0.13061687492731786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18125121421536458	0.0	0.0	0.0	0.03420063342825179	0.17042677770190506	0.0	0.054136909118595075	0.0	0.2319712987882818	0.0	0.0	0.0	0.03801482966596346	0.1441303932493679	0.0	0.03974430574031491	0.0	0.0	0.07122148553017649	0.0	0.13657243882543205	0.11282985901146664	0.25804232041407277	0.0	0.0	0.04595718118567199	0.0	0.04250177747618623	0.0872439392513905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033892739641839344	0.0	0.03802946674242728	0.0693032552518792	0.06390495899082026	0.0	0.0	0.07062763216108359	0.0	0.0	0.0	0.0	0.0	0.03266823229823321	0.0	0.0	0.0	0.6548856015410699	0.0	0.0	0.0	0.04367195859256145	0.0	0.0	0.16320880288981848	0.0	0.7175066693751683	0.0	0.0	0.0	0.0	0.13832503924790227	0.10986851038488624	0.0	0.0
5	ARO_3000026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6191845605586803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.56477117514962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.813523968090927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	ARO_3000027	2.695194481715074	0.0	0.0	0.0	0.0	9.857405297305242	0.0	0.306252726139267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2087662628929232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3103911765750307	2.7604637250010726	2.617764151722008	0.0	0.8820708779343515	0.0	0.0	0.0	1.995460213986882	0.0	0.27424219378590536	0.0	0.0	0.0	0.0	0.0	1.6354613196443624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2260152646370243	0.0	0.5116162563085789	0.0	0.0	1.63424962972704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.155389293084014	0.0	0.0	0.23967129840702153	0.0	0.0	0.0	0.0	17.816137322702787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4738534658208873	0.0	0.0	0.0	19.382022078442706	0.0	0.0	0.0	0.0	0.0	151.27336682832458	0.0	0.0	0.0	0.0	3.214975599824803	0.323692119530975	0.0	0.23391840049277515	0.0	0.0	22.685002257719237	10.837529283231362	0.0	0.0	0.0	37.58162959906441	0.0	0.0	3.693380486377287	0.0	1.7105989239614319	0.0	0.22392397336122669	0.0	0.0	131.27469838755962	0.0	0.0	0.632298283174217	1.889013649173151	0.0	20.248819242096108	0.49984065529765703	0.0	0.0	28.660599314702786	102.10705120762566	0.0	0.0	11.46568230260499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.930975619201575	0.5057952123759947	0.0	0.4041749271736195	0.23250509290315743	16.257520770655503	0.0	0.0	0.26897316709052965	0.0	0.0	0.0	2.816436509625833	0.0	0.0	0.6706330516338305	0.0	0.0	0.0	0.0	0.0	2.660549436804253	0.0	0.0	0.0	0.0	0.28753519946967193	2.8687468382563113	0.0	0.0	0.5288559223235544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.791814065301466	0.0	0.0	0.0	12.488523497879909	90.85026503831538	0.0	0.0	0.0	0.0	0.0
7	ARO_3000074	0.0	0.0	0.0	0.0	0.0	24.58048635517292	0.0	0.4454585107480248	0.0	0.0	0.0	0.0	0.228251735694902	0.0	3.0884401362722325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.787397161844459	6.016395298079261	9.598468556314032	0.0	4.5105897167097515	0.0	0.0	0.0	5.18301354282307	0.0	0.0	0.0	0.0	0.0	0.0	0.5510509922805525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4919536552107386	0.0	0.0	0.0	0.0	1.353718639381727	0.0	2.5535150464485	0.0	0.0	0.7697383441686168	0.6142411818000337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41836794632343266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.40566922665179	0.0	0.0	5.752421309177457	0.0	0.0	0.0	1.0877401841548047	0.0	0.0	0.0	0.0	0.0	0.0	7.043206337984173	0.0	0.0	0.0	34.672441249164486	0.0	0.0	0.0	0.0	0.0	246.5015589468967	0.0	0.0	0.0	0.0	5.389812035000404	0.0	0.0	1.2538026266412745	0.0	0.0	25.52317985791993	35.372932821807936	0.0	0.0	0.0	55.69846750865173	0.0	0.0	11.955609426273146	0.0	2.0940090276079593	0.4168824742170946	0.0	0.0	0.0	256.8418011930514	3.4304488300452305	0.0	0.0	1.038957507045233	0.0	25.34702835425971	0.0	0.0	0.0	59.93208677342882	187.05667006293066	0.0	3.9519943656574408	12.197076670876227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.336736211836813	0.0	0.0	0.0	0.0	24.630675259071534	0.0	0.0	0.0	0.0	0.0	0.0	4.723932145690602	0.0	0.0	0.0	0.0	0.0	0.6669176998242221	0.0	0.0	3.7341044727077235	0.0	0.0	0.0	0.0	0.0	0.6989310478660831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45227797004400727	0.0	0.0	1.2814326852082596	0.0	0.0	0.53996457521367	0.0	0.0	93.8582883750465	0.0	0.0	0.0	19.253140392564855	186.44276434885762	0.0	0.0	0.0	0.0	0.0
8	ARO_3000090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	ARO_3000118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
