SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	10508548	00:06:50	27.77 GB	1	32	00:10:10	COMPLETED	Duke_short/0.1_pre_qc/logs/D13004D15.10508548.log
D13004D384	10555152	00:04:19	23.75 GB	1	32	00:06:09	COMPLETED	Duke_short/0.1_pre_qc/logs/D13004D384.10555152.log
D13004D46	10556293	00:05:14	28.01 GB	1	32	00:07:34	COMPLETED	Duke_short/0.1_pre_qc/logs/D13004D46.10556293.log
D13004D7	10591548	00:05:50	20.94 GB	1	32	00:08:35	COMPLETED	Duke_short/0.1_pre_qc/logs/D13004D7.10591548.log
D13004PRE	10591555	00:05:48	31.74 GB	1	32	00:08:04	COMPLETED	Duke_short/0.1_pre_qc/logs/D13004PRE.10591555.log
D17010D15	10591634	00:05:47	24.10 GB	1	32	00:08:14	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D15.10591634.log
D17010D2	10591641	00:06:07	26.71 GB	1	32	00:08:50	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D2.10591641.log
D17010D22	10591648	00:08:48	38.77 GB	1	32	00:13:02	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D22.10591648.log
D17010D31	10591655	00:06:40	29.00 GB	1	32	00:09:47	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D31.10591655.log
D17010D398	10591662	00:06:30	27.27 GB	1	32	00:09:29	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D398.10591662.log
D17010D64	10642761	00:06:09	17.63 GB	1	32	00:08:34	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D64.10642761.log
D17010D8	10642768	00:05:39	20.90 GB	1	32	00:07:37	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010D8.10642768.log
D17010PRE	10642775	00:06:49	25.02 GB	1	32	00:09:44	COMPLETED	Duke_short/0.1_pre_qc/logs/D17010PRE.10642775.log
D18423D109	10657524	00:08:21	43.81 GB	1	32	00:12:07	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D109.10657524.log
D18423D13	11080855	00:04:34	20.88 GB	1	32	00:06:11	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D13.11080855.log
D18423D180	10642789	00:05:03	21.28 GB	1	32	00:06:23	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D180.10642789.log
D18423D19	10642796	00:05:26	21.78 GB	1	32	00:07:23	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D19.10642796.log
D18423D28	10642803	00:07:25	13.65 GB	1	32	00:10:09	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D28.10642803.log
D18423D354	10642810	00:05:27	26.55 GB	1	32	00:06:27	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D354.10642810.log
D18423D5	10642817	00:06:06	27.62 GB	1	32	00:07:10	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D5.10642817.log
D18423D54	11136575	00:03:15	15.45 GB	1	32	00:04:31	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D54.11136575.log
D18423D92	10642824	00:06:13	24.98 GB	1	32	00:08:19	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423D92.10642824.log
D18423PRE	10642831	00:06:59	26.44 GB	1	32	00:09:06	COMPLETED	Duke_short/0.1_pre_qc/logs/D18423PRE.10642831.log
D18594D5	10642838	00:06:24	30.76 GB	1	32	00:07:57	COMPLETED	Duke_short/0.1_pre_qc/logs/D18594D5.10642838.log
D18594PRE	10642845	00:04:47	22.06 GB	1	32	00:05:44	COMPLETED	Duke_short/0.1_pre_qc/logs/D18594PRE.10642845.log
D19688D14	10642852	00:06:24	29.21 GB	1	32	00:07:51	COMPLETED	Duke_short/0.1_pre_qc/logs/D19688D14.10642852.log
D19688D180	10642859	00:04:48	22.04 GB	1	32	00:05:45	COMPLETED	Duke_short/0.1_pre_qc/logs/D19688D180.10642859.log
D19688D20	10642866	00:05:17	24.56 GB	1	32	00:06:42	COMPLETED	Duke_short/0.1_pre_qc/logs/D19688D20.10642866.log
