SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	10509395	00:19:56	8.13 GB	1	32	00:41:22	COMPLETED	Duke_short/0.2_deduplication/logs/D13004D15.10509395.log
D13004D384	10555153	00:19:49	28.15 GB	1	32	00:41:07	COMPLETED	Duke_short/0.2_deduplication/logs/D13004D384.10555153.log
D13004D46	10556294	00:19:37	9.37 GB	1	32	00:40:23	COMPLETED	Duke_short/0.2_deduplication/logs/D13004D46.10556294.log
D13004D7	10591549	00:17:57	10.47 GB	1	32	00:37:14	COMPLETED	Duke_short/0.2_deduplication/logs/D13004D7.10591549.log
D13004PRE	10591556	00:25:47	35.63 GB	1	32	00:53:32	COMPLETED	Duke_short/0.2_deduplication/logs/D13004PRE.10591556.log
D17010D15	10591635	00:15:54	28.30 GB	1	32	00:33:01	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D15.10591635.log
D17010D2	10591642	00:19:34	8.62 GB	1	32	00:40:16	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D2.10591642.log
D17010D22	10591649	00:32:11	11.25 GB	1	32	01:06:17	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D22.10591649.log
D17010D31	10591656	00:24:13	9.32 GB	1	32	00:50:05	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D31.10591656.log
D17010D398	10591663	00:23:40	9.18 GB	1	32	00:48:52	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D398.10591663.log
D17010D64	10642762	00:21:02	13.45 GB	1	32	00:43:04	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D64.10642762.log
D17010D8	10642769	00:17:12	15.30 GB	1	32	00:36:06	COMPLETED	Duke_short/0.2_deduplication/logs/D17010D8.10642769.log
D17010PRE	10642776	00:11:04	19.18 GB	1	32	00:24:11	COMPLETED	Duke_short/0.2_deduplication/logs/D17010PRE.10642776.log
D18423D109	10657525	00:38:20	12.85 GB	1	32	01:18:23	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D109.10657525.log
D18423D13	11080856	00:12:21	20.97 GB	1	32	00:25:58	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D13.11080856.log
D18423D180	10642790	00:16:34	8.09 GB	1	32	00:33:24	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D180.10642790.log
D18423D19	10642797	00:17:55	7.88 GB	1	32	00:37:07	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D19.10642797.log
D18423D28	10642804	00:21:46	22.42 GB	1	32	00:45:45	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D28.10642804.log
D18423D354	10642811	00:16:58	8.16 GB	1	32	00:35:06	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D354.10642811.log
D18423D5	10642818	00:22:36	31.87 GB	1	32	00:46:20	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D5.10642818.log
D18423D54	11136576	00:12:31	7.75 GB	1	32	00:25:22	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D54.11136576.log
D18423D92	10642825	00:16:25	28.67 GB	1	32	00:33:56	COMPLETED	Duke_short/0.2_deduplication/logs/D18423D92.10642825.log
D18423PRE	10642832	00:23:52	8.94 GB	1	32	00:48:27	COMPLETED	Duke_short/0.2_deduplication/logs/D18423PRE.10642832.log
D18594D5	10642839	00:17:18	8.36 GB	1	32	00:34:31	COMPLETED	Duke_short/0.2_deduplication/logs/D18594D5.10642839.log
D18594PRE	10642846	00:18:57	17.03 GB	1	32	00:39:15	COMPLETED	Duke_short/0.2_deduplication/logs/D18594PRE.10642846.log
D19688D14	10642853	00:16:42	8.41 GB	1	32	00:34:26	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D14.10642853.log
D19688D180	10642860	00:15:23	26.15 GB	1	32	00:31:31	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D180.10642860.log
D19688D20	10642867	00:17:13	30.20 GB	1	32	00:35:04	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D20.10642867.log
D19688D29	10642874	00:16:08	28.72 GB	1	32	00:33:13	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D29.10642874.log
D19688D364	10642881	00:26:39	43.03 GB	1	32	00:53:23	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D364.10642881.log
D19688D5	10642888	00:20:14	9.16 GB	1	32	00:41:04	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D5.10642888.log
D19688D63	10642895	00:18:29	8.43 GB	1	32	00:38:00	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D63.10642895.log
D19688D96	10657532	00:26:35	47.95 GB	1	32	00:53:10	COMPLETED	Duke_short/0.2_deduplication/logs/D19688D96.10657532.log
D19688PRE	10657539	00:23:03	32.04 GB	1	32	00:47:19	COMPLETED	Duke_short/0.2_deduplication/logs/D19688PRE.10657539.log
D19754D110	10657560	00:09:54	20.05 GB	1	32	00:20:19	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D110.10657560.log
D19754D-1	10657546	00:19:13	9.04 GB	1	32	00:39:20	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D-1.10657546.log
D19754D12	10657567	00:14:40	7.79 GB	1	32	00:27:22	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D12.10657567.log
D19754D171	10657574	00:14:40	8.07 GB	1	32	00:29:33	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D171.10657574.log
D19754D19	10657581	00:56:45	64.00 GB	1	32	01:59:26	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D19.10657581.log
D19754D26	10657588	00:16:35	8.55 GB	1	32	00:34:20	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D26.10657588.log
D19754D384	10657595	00:03:32	6.04 GB	1	32	00:07:07	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D384.10657595.log
D19754D55	10657602	00:15:18	29.08 GB	1	32	00:31:47	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D55.10657602.log
D19754D8	10657609	00:13:07	25.35 GB	1	32	00:26:44	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D8.10657609.log
D19754D-9	10657553	00:16:09	8.43 GB	1	32	00:33:25	COMPLETED	Duke_short/0.2_deduplication/logs/D19754D-9.10657553.log
D19836D0	10657616	00:16:09	28.89 GB	1	32	00:33:16	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D0.10657616.log
D19836D13	10657623	00:13:22	7.55 GB	1	32	00:27:37	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D13.10657623.log
D19836D189	10657630	00:16:07	28.84 GB	1	32	00:33:21	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D189.10657630.log
D19836D21	10657637	00:14:04	28.83 GB	1	32	00:29:01	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D21.10657637.log
D19836D29	11080863	00:24:17	9.85 GB	1	32	00:49:50	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D29.11080863.log
D19836D365	10657644	00:30:40	52.68 GB	1	32	01:03:26	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D365.10657644.log
D19836D56	10657651	00:20:15	33.76 GB	1	32	00:40:54	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D56.10657651.log
D19836D8	11092672	00:08:54	6.64 GB	1	32	00:18:01	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D8.11092672.log
D19836D92	10657658	00:15:03	26.47 GB	1	32	00:30:50	COMPLETED	Duke_short/0.2_deduplication/logs/D19836D92.10657658.log
D19836PRE	10673213	00:18:23	27.84 GB	1	32	00:36:59	COMPLETED	Duke_short/0.2_deduplication/logs/D19836PRE.10673213.log
D19840D106	10673220	00:21:30	35.83 GB	1	32	00:44:30	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D106.10673220.log
D19840D12	10673227	00:21:52	20.11 GB	1	32	00:45:11	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D12.10673227.log
D19840D15	11080870	00:18:16	8.17 GB	1	32	00:37:45	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D15.11080870.log
D19840D19	10673234	00:14:46	19.75 GB	1	32	00:30:00	COMPLETED	Duke_short/0.2_deduplication/logs/D19840D19.10673234.log
