SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	10554989	00:47:17	9.67 GB	1	8	01:14:50	FAILED	Duke_short/0.3_sequence_trim/logs/D13004D15.10554989.log
D13004D15	10560601	00:47:13	9.70 GB	1	8	01:14:46	FAILED	Duke_short/0.3_sequence_trim/logs/D13004D15.10560601.log
D13004D15	10564427	00:03:03	4.99 GB	1	8	00:05:52	COMPLETED	Duke_short/0.3_sequence_trim/logs/D13004D15.10564427.log
D13004D384	10591538	00:48:58	4.09 GB	1	8	01:20:05	COMPLETED	Duke_short/0.3_sequence_trim/logs/D13004D384.10591538.log
D13004D46	10591543	01:02:29	11.98 GB	1	8	01:41:27	COMPLETED	Duke_short/0.3_sequence_trim/logs/D13004D46.10591543.log
D13004D7	10591550	00:45:12	8.46 GB	1	8	01:12:39	COMPLETED	Duke_short/0.3_sequence_trim/logs/D13004D7.10591550.log
D13004PRE	10591557	01:05:49	12.72 GB	1	8	01:47:19	COMPLETED	Duke_short/0.3_sequence_trim/logs/D13004PRE.10591557.log
D17010D15	10591636	00:48:40	5.98 GB	1	8	01:19:48	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D15.10591636.log
D17010D2	10591643	00:49:44	8.61 GB	1	8	01:20:07	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D2.10591643.log
D17010D22	10591650	01:21:44	14.99 GB	1	8	02:12:53	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D22.10591650.log
D17010D31	10591657	00:56:58	5.21 GB	1	8	01:34:27	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D31.10591657.log
D17010D398	10591664	00:56:08	11.15 GB	1	8	01:32:37	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D398.10591664.log
D17010D64	10642763	00:51:50	9.97 GB	1	8	01:23:56	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D64.10642763.log
D17010D8	10642770	00:43:39	8.06 GB	1	8	01:11:45	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010D8.10642770.log
D17010PRE	10642777	00:29:42	5.32 GB	1	8	00:48:06	COMPLETED	Duke_short/0.3_sequence_trim/logs/D17010PRE.10642777.log
D18423D109	10657526	01:30:36	10.28 GB	1	8	02:28:36	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D109.10657526.log
D18423D13	11080857	00:30:25	5.67 GB	1	8	00:48:55	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D13.11080857.log
D18423D180	10642791	00:32:29	7.73 GB	1	8	00:51:20	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D180.10642791.log
D18423D19	10642798	00:45:00	8.61 GB	1	8	01:13:09	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D19.10642798.log
D18423D28	10642805	00:53:39	6.74 GB	1	8	01:29:36	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D28.10642805.log
D18423D354	10642812	00:52:35	10.14 GB	1	8	01:25:58	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D354.10642812.log
D18423D5	10642819	00:53:08	8.62 GB	1	8	01:28:28	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D5.10642819.log
D18423D54	11136577	00:29:58	5.86 GB	1	8	00:48:36	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D54.11136577.log
D18423D92	10642826	00:42:11	9.85 GB	1	8	01:06:56	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423D92.10642826.log
D18423PRE	10642833	01:00:04	5.57 GB	1	8	01:37:04	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18423PRE.10642833.log
D18594D5	10642840	00:51:19	7.93 GB	1	8	01:22:51	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18594D5.10642840.log
D18594PRE	10642847	00:47:17	4.36 GB	1	8	01:16:49	COMPLETED	Duke_short/0.3_sequence_trim/logs/D18594PRE.10642847.log
D19688D14	10642854	00:51:44	9.31 GB	1	8	01:23:47	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D14.10642854.log
D19688D180	10642861	00:39:53	6.08 GB	1	8	01:02:52	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D180.10642861.log
D19688D20	10642868	00:52:21	9.57 GB	1	8	01:24:42	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D20.10642868.log
D19688D29	10642875	00:47:23	8.91 GB	1	8	01:17:24	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D29.10642875.log
D19688D364	10642882	01:21:06	15.53 GB	1	8	02:10:53	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D364.10642882.log
D19688D5	10642889	01:03:03	5.90 GB	1	8	01:41:54	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D5.10642889.log
D19688D63	10642896	00:58:17	8.41 GB	1	8	01:34:38	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D63.10642896.log
D19688D96	10657533	01:12:13	14.54 GB	1	8	02:00:35	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688D96.10657533.log
D19688PRE	10657540	01:00:09	6.85 GB	1	8	01:35:36	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19688PRE.10657540.log
D19754D110	10657561	00:24:40	5.84 GB	1	8	00:39:13	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D110.10657561.log
D19754D-1	10657547	01:00:00	7.71 GB	1	8	01:37:41	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D-1.10657547.log
D19754D12	10657568	00:40:42	7.00 GB	1	8	01:06:37	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D12.10657568.log
D19754D171	10657575	00:44:41	7.80 GB	1	8	01:11:33	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D171.10657575.log
D19754D19	10673203	02:25:14	16.08 GB	1	8	03:54:11	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D19.10673203.log
D19754D26	10657589	00:47:20	5.31 GB	1	8	01:19:04	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D26.10657589.log
D19754D384	10657596	00:10:41	2.97 GB	1	8	00:17:02	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D384.10657596.log
D19754D55	10657603	00:46:21	4.35 GB	1	8	01:16:16	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D55.10657603.log
D19754D8	10657610	00:40:34	4.61 GB	1	8	01:05:19	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D8.10657610.log
D19754D-9	10657554	00:46:45	9.66 GB	1	8	01:17:26	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19754D-9.10657554.log
D19836D0	10657617	00:47:15	9.49 GB	1	8	01:18:00	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D0.10657617.log
D19836D13	10657624	00:35:18	4.13 GB	1	8	01:00:25	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D13.10657624.log
D19836D189	10657631	00:46:09	8.17 GB	1	8	01:17:20	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D189.10657631.log
D19836D21	10657638	00:44:37	5.34 GB	1	8	01:11:42	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D21.10657638.log
D19836D29	11080864	01:01:12	10.63 GB	1	8	01:38:45	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D29.11080864.log
D19836D365	10657645	01:25:59	11.30 GB	1	8	02:24:31	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D365.10657645.log
D19836D56	10657652	01:02:37	11.97 GB	1	8	01:40:37	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D56.10657652.log
D19836D8	11092673	00:22:04	5.15 GB	1	8	00:34:48	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D8.11092673.log
D19836D92	10657659	00:47:14	5.64 GB	1	8	01:16:29	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836D92.10657659.log
D19836PRE	10673214	00:37:17	7.89 GB	1	8	01:04:03	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19836PRE.10673214.log
D19840D106	10673221	00:54:45	9.42 GB	1	8	01:26:44	COMPLETED	Duke_short/0.3_sequence_trim/logs/D19840D106.10673221.log
