SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	10577353	00:29:50	61.15 GB	1	32	02:21:08	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D15.10577353.log
D13004D15	10580959	00:04:01	27.71 GB	1	32	00:05:53	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D15.10580959.log
D13004D15	11143077	00:03:11	8.88 GB	1	32	00:06:12	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D15.11143077.log
D13004D384	10591539	00:29:16	21.48 GB	1	32	01:48:40	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D384.10591539.log
D13004D384	11143078	00:03:13	8.78 GB	1	32	00:06:12	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D384.11143078.log
D13004D46	10591544	00:29:29	76.96 GB	1	32	02:17:51	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D46.10591544.log
D13004D46	11143079	00:02:59	9.22 GB	1	32	00:05:47	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D46.11143079.log
D13004D7	10591551	00:25:59	26.32 GB	1	32	01:55:01	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D7.10591551.log
D13004D7	11143080	00:02:49	8.28 GB	1	32	00:05:26	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004D7.11143080.log
D13004PRE	10591558	00:39:30	39.44 GB	1	32	03:29:19	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004PRE.10591558.log
D13004PRE	11143081	00:04:03	10.44 GB	1	32	00:07:53	COMPLETED	Duke_short/0.4_host_decontamination/logs/D13004PRE.11143081.log
D17010D15	10591637	00:23:48	61.18 GB	1	32	01:54:08	COMPLETED	Duke_short/0.4_host_decontamination/logs/D17010D15.10591637.log
D17010D15	11143094	00:03:23	8.56 GB	1	32	00:06:33	COMPLETED	Duke_short/0.4_host_decontamination/logs/D17010D15.11143094.log
D17010D2	10591644	00:29:19	40.18 GB	1	32	01:53:34	COMPLETED	Duke_short/0.4_host_decontamination/logs/D17010D2.10591644.log
D17010D2	11143095	00:03:07	9.01 GB	1	32	00:06:00	COMPLETED	Duke_short/0.4_host_decontamination/logs/D17010D2.11143095.log
D17010D22	10591651	00:47:19	58.35 GB	1	32	04:05:30	COMPLETED	Duke_short/0.4_host_decontamination/logs/D17010D22.10591651.log
