SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	11542341	01:52:43	58.93 GB	1	48	2-03:13:22	COMPLETED	Duke_short/1.1_assembly/logs/D13004D15.11542341.log
D13004D15	11546603	00:02:26	15.09 GB	1	48	00:01:44	COMPLETED	Duke_short/1.1_assembly/logs/D13004D15.11546603.log
D13004D15	11547898	00:00:02	4.71 MB	1	48	00:00:01	COMPLETED	Duke_short/1.1_assembly/logs/D13004D15.11547898.log
D13004D384	11546604	00:04:16	18.33 GB	1	48	00:12:52	CANCELLED	Duke_short/1.1_assembly/logs/D13004D384.11546604.log
D13004D384	11547899	01:42:01	56.25 GB	1	48	1-22:25:03	COMPLETED	Duke_short/1.1_assembly/logs/D13004D384.11547899.log
D13004D46	11546605	00:04:16	23.31 GB	1	48	00:12:49	CANCELLED	Duke_short/1.1_assembly/logs/D13004D46.11546605.log
D13004D46	11547900	01:50:30	59.08 GB	1	48	1-20:26:06	COMPLETED	Duke_short/1.1_assembly/logs/D13004D46.11547900.log
D13004D7	11546606	00:03:46	16.48 GB	1	48	00:11:45	CANCELLED	Duke_short/1.1_assembly/logs/D13004D7.11546606.log
D13004D7	11547901	01:57:12	43.77 GB	1	48	2-06:43:10	COMPLETED	Duke_short/1.1_assembly/logs/D13004D7.11547901.log
D17010D15	11547903	01:56:40	61.14 GB	1	48	2-08:11:24	COMPLETED	Duke_short/1.1_assembly/logs/D17010D15.11547903.log
D17010D2	11547904	02:03:52	63.64 GB	1	48	2-04:15:29	COMPLETED	Duke_short/1.1_assembly/logs/D17010D2.11547904.log
D17010D22	11547905	07:03:01	119.74 GB	1	48	6-07:48:05	COMPLETED	Duke_short/1.1_assembly/logs/D17010D22.11547905.log
D17010D31	11547906	02:49:02	64.42 GB	1	48	2-18:19:45	COMPLETED	Duke_short/1.1_assembly/logs/D17010D31.11547906.log
D17010D398	11547907	02:38:25	61.71 GB	1	48	2-18:40:37	COMPLETED	Duke_short/1.1_assembly/logs/D17010D398.11547907.log
D17010D64	11547908	02:22:36	62.25 GB	1	48	2-10:16:09	COMPLETED	Duke_short/1.1_assembly/logs/D17010D64.11547908.log
D17010D8	11547909	01:58:14	46.83 GB	1	48	2-02:01:57	COMPLETED	Duke_short/1.1_assembly/logs/D17010D8.11547909.log
D17010PRE	11547910	02:37:30	53.85 GB	1	48	3-02:27:16	COMPLETED	Duke_short/1.1_assembly/logs/D17010PRE.11547910.log
D18423D109	11547911	04:10:27	93.67 GB	1	48	3-19:52:48	COMPLETED	Duke_short/1.1_assembly/logs/D18423D109.11547911.log
D18423D13	11656531	01:37:19	48.84 GB	1	48	1-15:09:11	COMPLETED	Duke_short/1.1_assembly/logs/D18423D13.11656531.log
D18423D180	11547912	01:45:15	55.62 GB	1	48	1-18:06:06	COMPLETED	Duke_short/1.1_assembly/logs/D18423D180.11547912.log
D18423D19	11547913	01:36:21	46.89 GB	1	48	1-13:30:51	COMPLETED	Duke_short/1.1_assembly/logs/D18423D19.11547913.log
