SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	11146286	00:06:09	131.89 GB	1	16	00:14:01	COMPLETED	Duke_short/2.1_kraken2/logs/D13004D15.11146286.log
D13004D384	11146289	00:05:35	86.03 GB	1	16	00:11:19	COMPLETED	Duke_short/2.1_kraken2/logs/D13004D384.11146289.log
D13004D46	11146292	00:05:57	86.77 GB	1	16	00:14:50	COMPLETED	Duke_short/2.1_kraken2/logs/D13004D46.11146292.log
D13004D7	11146295	00:07:38	108.92 GB	1	16	00:14:59	COMPLETED	Duke_short/2.1_kraken2/logs/D13004D7.11146295.log
D13004PRE	11146298	00:08:59	115.14 GB	1	16	00:27:26	COMPLETED	Duke_short/2.1_kraken2/logs/D13004PRE.11146298.log
D17010D15	11146423	00:07:06	125.11 GB	1	16	00:14:13	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D15.11146423.log
D17010D2	11146426	00:07:15	103.07 GB	1	16	00:14:02	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D2.11146426.log
D17010D22	11146429	00:11:52	186.49 GB	1	16	00:30:33	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D22.11146429.log
D17010D31	11146432	00:07:53	131.45 GB	1	16	00:16:08	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D31.11146432.log
D17010D398	11146435	00:08:41	118.76 GB	1	16	00:19:18	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D398.11146435.log
D17010D64	11147233	00:06:57	138.60 GB	1	16	00:18:06	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D64.11147233.log
D17010D8	11147236	00:06:38	123.70 GB	1	16	00:13:41	COMPLETED	Duke_short/2.1_kraken2/logs/D17010D8.11147236.log
D17010PRE	11147380	00:06:10	95.89 GB	1	16	00:07:30	COMPLETED	Duke_short/2.1_kraken2/logs/D17010PRE.11147380.log
D18423D109	11147383	00:12:24	114.68 GB	1	16	00:32:23	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D109.11147383.log
D18423D13	11147945	00:03:39	154.96 GB	1	16	00:06:34	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D13.11147945.log
D18423D180	11147386	00:06:44	131.20 GB	1	16	00:10:19	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D180.11147386.log
D18423D19	11147389	00:08:29	118.41 GB	1	16	00:17:35	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D19.11147389.log
D18423D28	11147392	00:10:20	151.03 GB	1	16	00:19:49	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D28.11147392.log
D18423D354	11147395	00:09:28	159.84 GB	1	16	00:18:33	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D354.11147395.log
D18423D5	11147398	00:07:53	96.72 GB	1	16	00:13:41	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D5.11147398.log
D18423D54	11147984	00:09:46	137.26 GB	1	16	00:22:28	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D54.11147984.log
D18423D92	11147401	00:07:32	137.75 GB	1	16	00:12:16	COMPLETED	Duke_short/2.1_kraken2/logs/D18423D92.11147401.log
D18423PRE	11147404	00:08:40	85.21 GB	1	16	00:16:47	COMPLETED	Duke_short/2.1_kraken2/logs/D18423PRE.11147404.log
D18594D5	11147407	00:09:01	121.41 GB	1	16	00:16:06	COMPLETED	Duke_short/2.1_kraken2/logs/D18594D5.11147407.log
