SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	11889082	00:00:05	208.83 MB	1	16	00:00:07	FAILED	Duke_short/2.3_metaphlan4/logs/D13004D15.11889082.log
D13004D15	11890635	00:10:58	38.47 GB	1	16	02:27:52	COMPLETED	Duke_short/2.3_metaphlan4/logs/D13004D15.11890635.log
D13004D384	11889083	00:00:04	207.55 MB	1	16	00:00:07	FAILED	Duke_short/2.3_metaphlan4/logs/D13004D384.11889083.log
D13004D384	11890636	00:10:17	51.28 GB	1	16	02:11:08	COMPLETED	Duke_short/2.3_metaphlan4/logs/D13004D384.11890636.log
D13004D46	11889084	00:00:04	189.21 MB	1	16	00:00:07	FAILED	Duke_short/2.3_metaphlan4/logs/D13004D46.11889084.log
D13004D46	11890637	00:13:20	51.31 GB	1	16	02:59:40	COMPLETED	Duke_short/2.3_metaphlan4/logs/D13004D46.11890637.log
D13004D7	11889085	00:00:03	2.88 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D13004D7.11889085.log
D13004D7	11890638	00:09:15	38.13 GB	1	16	02:01:21	COMPLETED	Duke_short/2.3_metaphlan4/logs/D13004D7.11890638.log
D17010D15	11889086	00:00:03	2.03 MB	1	16	00:00:07	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D15.11889086.log
D17010D15	11890639	00:10:32	38.38 GB	1	16	02:21:26	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D15.11890639.log
D17010D2	11889087	00:00:03	1.52 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D2.11889087.log
D17010D2	11890640	00:13:09	63.62 GB	1	16	02:54:51	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D2.11890640.log
D17010D22	11889088	00:00:03	2.29 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D22.11889088.log
D17010D22	11890641	00:25:20	44.40 GB	1	16	06:10:08	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D22.11890641.log
D17010D31	11889089	00:00:04	202.13 MB	1	16	00:00:07	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D31.11889089.log
D17010D31	11890642	00:12:26	49.12 GB	1	16	02:45:40	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D31.11890642.log
D17010D398	11889090	00:00:04	202.76 MB	1	16	00:00:07	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D398.11889090.log
D17010D398	11890643	00:13:05	54.06 GB	1	16	02:56:09	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D398.11890643.log
D17010D64	11889091	00:00:04	203.25 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D64.11889091.log
D17010D64	11890644	00:11:50	51.43 GB	1	16	02:34:55	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D64.11890644.log
D17010D8	11889092	00:00:03	1.80 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D17010D8.11889092.log
D17010D8	11890645	00:10:01	50.20 GB	1	16	02:06:34	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010D8.11890645.log
D17010PRE	11889093	00:00:03	2.25 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D17010PRE.11889093.log
D17010PRE	11890646	00:09:20	49.57 GB	1	16	01:52:59	COMPLETED	Duke_short/2.3_metaphlan4/logs/D17010PRE.11890646.log
D18423D109	11889094	00:00:03	2.43 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D18423D109.11889094.log
D18423D109	11890647	00:19:05	54.91 GB	1	16	04:31:03	COMPLETED	Duke_short/2.3_metaphlan4/logs/D18423D109.11890647.log
D18423D13	11889281	00:00:02	1.66 MB	1	16	00:00:06	FAILED	Duke_short/2.3_metaphlan4/logs/D18423D13.11889281.log
D18423D13	11890834	00:08:44	37.45 GB	1	16	01:47:36	COMPLETED	Duke_short/2.3_metaphlan4/logs/D18423D13.11890834.log
