SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	12351863	00:07:20	2.74 GB	1	16	00:11:42	COMPLETED	Duke_short/3.1_binning/logs/D13004D15.12351863.log
D13004D384	13111520	00:37:18	52.95 GB	1	16	05:55:52	COMPLETED	Duke_short/3.1_binning/logs/D13004D384.13111520.log
D13004D46	13111524	00:25:17	46.23 GB	1	16	02:10:18	COMPLETED	Duke_short/3.1_binning/logs/D13004D46.13111524.log
D13004D7	13111528	00:13:52	38.74 GB	1	16	01:03:59	COMPLETED	Duke_short/3.1_binning/logs/D13004D7.13111528.log
D17010D15	13111532	00:19:52	54.37 GB	1	16	02:17:06	COMPLETED	Duke_short/3.1_binning/logs/D17010D15.13111532.log
D17010D2	13111536	00:23:57	50.74 GB	1	16	01:55:25	COMPLETED	Duke_short/3.1_binning/logs/D17010D2.13111536.log
D17010D22	13111540	01:01:34	49.05 GB	1	16	05:28:46	COMPLETED	Duke_short/3.1_binning/logs/D17010D22.13111540.log
D17010D31	13111544	00:25:12	44.53 GB	1	16	02:06:45	COMPLETED	Duke_short/3.1_binning/logs/D17010D31.13111544.log
D17010D398	13111548	00:33:03	23.15 GB	1	16	04:33:37	COMPLETED	Duke_short/3.1_binning/logs/D17010D398.13111548.log
D17010D64	13111552	00:27:00	51.98 GB	1	16	03:56:50	COMPLETED	Duke_short/3.1_binning/logs/D17010D64.13111552.log
D17010D8	13111556	00:17:32	40.74 GB	1	16	01:26:36	COMPLETED	Duke_short/3.1_binning/logs/D17010D8.13111556.log
D17010PRE	13111560	00:09:16	30.35 GB	1	16	00:34:02	COMPLETED	Duke_short/3.1_binning/logs/D17010PRE.13111560.log
D18423D109	13111564	00:43:28	52.39 GB	1	16	03:48:10	COMPLETED	Duke_short/3.1_binning/logs/D18423D109.13111564.log
D18423D13	13112325	00:10:43	19.33 GB	1	16	00:41:02	COMPLETED	Duke_short/3.1_binning/logs/D18423D13.13112325.log
D18423D180	13111568	00:26:26	43.24 GB	1	16	03:23:13	COMPLETED	Duke_short/3.1_binning/logs/D18423D180.13111568.log
D18423D19	13111572	00:17:27	49.57 GB	1	16	02:00:48	COMPLETED	Duke_short/3.1_binning/logs/D18423D19.13111572.log
D18423D28	13111576	00:23:58	34.62 GB	1	16	02:00:51	COMPLETED	Duke_short/3.1_binning/logs/D18423D28.13111576.log
D18423D354	13111580	01:09:16	43.05 GB	1	16	08:15:35	COMPLETED	Duke_short/3.1_binning/logs/D18423D354.13111580.log
D18423D5	13111584	00:18:39	57.42 GB	1	16	01:22:04	COMPLETED	Duke_short/3.1_binning/logs/D18423D5.13111584.log
D18423D54	13112377	00:32:45	46.68 GB	1	16	02:46:30	COMPLETED	Duke_short/3.1_binning/logs/D18423D54.13112377.log
D18423D92	13111588	00:29:47	54.89 GB	1	16	04:10:28	COMPLETED	Duke_short/3.1_binning/logs/D18423D92.13111588.log
D18423PRE	13111592	00:33:15	53.87 GB	1	16	02:42:19	COMPLETED	Duke_short/3.1_binning/logs/D18423PRE.13111592.log
D18594D5	13111596	00:15:52	55.25 GB	1	16	01:07:24	COMPLETED	Duke_short/3.1_binning/logs/D18594D5.13111596.log
D18594PRE	13111600	00:26:53	27.85 GB	1	16	02:11:49	COMPLETED	Duke_short/3.1_binning/logs/D18594PRE.13111600.log
D19688D14	13111604	00:15:34	36.26 GB	1	16	00:57:05	COMPLETED	Duke_short/3.1_binning/logs/D19688D14.13111604.log
D19688D180	13111608	00:30:13	52.39 GB	1	16	03:56:56	COMPLETED	Duke_short/3.1_binning/logs/D19688D180.13111608.log
D19688D20	13111612	00:14:53	49.20 GB	1	16	01:20:22	COMPLETED	Duke_short/3.1_binning/logs/D19688D20.13111612.log
D19688D29	13111616	00:18:11	34.80 GB	1	16	01:18:26	COMPLETED	Duke_short/3.1_binning/logs/D19688D29.13111616.log
D19688D364	13111620	00:48:42	82.57 GB	1	16	05:56:00	COMPLETED	Duke_short/3.1_binning/logs/D19688D364.13111620.log
D19688D5	13111624	00:27:37	53.58 GB	1	16	02:02:42	COMPLETED	Duke_short/3.1_binning/logs/D19688D5.13111624.log
D19688D63	13111628	00:32:01	53.51 GB	1	16	03:51:36	COMPLETED	Duke_short/3.1_binning/logs/D19688D63.13111628.log
D19688D96	13111632	00:57:55	76.20 GB	1	16	07:33:31	COMPLETED	Duke_short/3.1_binning/logs/D19688D96.13111632.log
D19688PRE	13111636	00:53:46	50.90 GB	1	16	07:55:47	COMPLETED	Duke_short/3.1_binning/logs/D19688PRE.13111636.log
D19754D110	13111648	00:12:39	33.23 GB	1	16	01:21:17	COMPLETED	Duke_short/3.1_binning/logs/D19754D110.13111648.log
D19754D-1	13111640	00:22:43	62.75 GB	1	16	01:36:14	COMPLETED	Duke_short/3.1_binning/logs/D19754D-1.13111640.log
D19754D12	13111652	00:13:32	44.59 GB	1	16	00:39:23	COMPLETED	Duke_short/3.1_binning/logs/D19754D12.13111652.log
D19754D171	13111656	00:14:35	34.68 GB	1	16	00:47:00	COMPLETED	Duke_short/3.1_binning/logs/D19754D171.13111656.log
D19754D19	13111660	00:39:40	111.73 GB	1	16	03:57:12	COMPLETED	Duke_short/3.1_binning/logs/D19754D19.13111660.log
D19754D26	13111664	00:18:09	48.15 GB	1	16	01:56:09	COMPLETED	Duke_short/3.1_binning/logs/D19754D26.13111664.log
D19754D384	13111668	00:03:17	8.79 GB	1	16	00:12:12	COMPLETED	Duke_short/3.1_binning/logs/D19754D384.13111668.log
D19754D55	13111672	00:12:17	41.60 GB	1	16	00:38:08	COMPLETED	Duke_short/3.1_binning/logs/D19754D55.13111672.log
D19754D8	13111676	00:12:52	39.41 GB	1	16	00:42:43	COMPLETED	Duke_short/3.1_binning/logs/D19754D8.13111676.log
D19754D-9	13111644	00:27:20	51.20 GB	1	16	03:50:55	COMPLETED	Duke_short/3.1_binning/logs/D19754D-9.13111644.log
D19836D0	13111680	00:20:38	47.55 GB	1	16	02:30:53	COMPLETED	Duke_short/3.1_binning/logs/D19836D0.13111680.log
D19836D13	13111684	00:13:33	31.97 GB	1	16	01:08:49	COMPLETED	Duke_short/3.1_binning/logs/D19836D13.13111684.log
D19836D189	13111688	00:41:07	37.07 GB	1	16	05:29:36	COMPLETED	Duke_short/3.1_binning/logs/D19836D189.13111688.log
D19836D21	13111692	00:17:31	46.33 GB	1	16	01:53:43	COMPLETED	Duke_short/3.1_binning/logs/D19836D21.13111692.log
D19836D29	13112329	00:35:58	60.65 GB	1	16	04:53:33	COMPLETED	Duke_short/3.1_binning/logs/D19836D29.13112329.log
D19836D365	13111696	00:56:27	52.61 GB	1	16	04:12:37	COMPLETED	Duke_short/3.1_binning/logs/D19836D365.13111696.log
D19836D56	13111700	00:22:49	60.28 GB	1	16	02:13:17	COMPLETED	Duke_short/3.1_binning/logs/D19836D56.13111700.log
D19836D8	13112373	00:07:19	15.74 GB	1	16	00:34:21	COMPLETED	Duke_short/3.1_binning/logs/D19836D8.13112373.log
D19836D92	13111704	00:19:07	47.64 GB	1	16	01:45:47	COMPLETED	Duke_short/3.1_binning/logs/D19836D92.13111704.log
D19836PRE	13111708	00:18:06	38.43 GB	1	16	01:09:01	COMPLETED	Duke_short/3.1_binning/logs/D19836PRE.13111708.log
D19840D106	13111712	00:31:11	67.51 GB	1	16	02:03:21	COMPLETED	Duke_short/3.1_binning/logs/D19840D106.13111712.log
D19840D12	13111716	00:21:03	41.17 GB	1	16	01:15:24	COMPLETED	Duke_short/3.1_binning/logs/D19840D12.13111716.log
D19840D15	13112333	00:18:50	49.47 GB	1	16	02:34:56	COMPLETED	Duke_short/3.1_binning/logs/D19840D15.13112333.log
D19840D19	13111720	00:15:34	40.26 GB	1	16	01:41:19	COMPLETED	Duke_short/3.1_binning/logs/D19840D19.13111720.log
D19840D196	13111724	00:24:26	31.02 GB	1	16	01:47:29	COMPLETED	Duke_short/3.1_binning/logs/D19840D196.13111724.log
D19840D368	13111728	00:47:06	51.24 GB	1	16	03:41:43	COMPLETED	Duke_short/3.1_binning/logs/D19840D368.13111728.log
D19840D6	13112337	00:15:49	34.56 GB	1	16	01:22:03	COMPLETED	Duke_short/3.1_binning/logs/D19840D6.13112337.log
D19840D63	13111732	00:28:58	39.23 GB	1	16	01:52:34	COMPLETED	Duke_short/3.1_binning/logs/D19840D63.13111732.log
D19840D767	13111736	00:50:45	42.53 GB	1	16	03:55:58	COMPLETED	Duke_short/3.1_binning/logs/D19840D767.13111736.log
D19840PRE	13111740	00:55:59	53.48 GB	1	16	06:54:32	COMPLETED	Duke_short/3.1_binning/logs/D19840PRE.13111740.log
D20117D108	13111744	01:05:01	32.22 GB	1	16	08:36:22	COMPLETED	Duke_short/3.1_binning/logs/D20117D108.13111744.log
