SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	12431755	00:40:51	36.25 GB	1	48	01:21:23	COMPLETED	Duke_short/3.2_refine_bins/logs/D13004D15.12431755.log
D13004D384	13111521	01:03:54	36.88 GB	1	48	04:35:43	COMPLETED	Duke_short/3.2_refine_bins/logs/D13004D384.13111521.log
D13004D46	13111525	01:05:41	35.85 GB	1	48	05:00:20	COMPLETED	Duke_short/3.2_refine_bins/logs/D13004D46.13111525.log
D13004D7	13111529	00:45:41	35.05 GB	1	48	01:59:26	COMPLETED	Duke_short/3.2_refine_bins/logs/D13004D7.13111529.log
D17010D15	13111533	00:52:48	36.42 GB	1	48	03:13:18	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D15.13111533.log
D17010D2	13111537	01:06:42	36.10 GB	1	48	05:28:12	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D2.13111537.log
D17010D22	13111541	01:21:29	37.43 GB	1	48	07:29:36	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D22.13111541.log
D17010D31	13111545	01:05:25	35.96 GB	1	48	04:44:57	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D31.13111545.log
D17010D398	13111549	01:08:47	35.93 GB	1	48	05:16:05	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D398.13111549.log
D17010D64	13111553	01:10:27	35.90 GB	1	48	04:58:52	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D64.13111553.log
D17010D8	13111557	00:46:45	35.17 GB	1	48	02:38:38	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010D8.13111557.log
D17010PRE	13111561	00:39:57	34.63 GB	1	48	01:30:38	COMPLETED	Duke_short/3.2_refine_bins/logs/D17010PRE.13111561.log
D18423D109	13111565	01:19:41	36.23 GB	1	48	06:10:35	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D109.13111565.log
D18423D13	13112326	00:43:18	34.86 GB	1	48	01:48:11	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D13.13112326.log
D18423D180	13111569	01:08:32	37.09 GB	1	48	05:12:31	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D180.13111569.log
D18423D19	13111573	00:48:05	35.12 GB	1	48	02:30:15	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D19.13111573.log
D18423D28	13111577	00:55:42	35.44 GB	1	48	03:27:02	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D28.13111577.log
D18423D354	13111581	01:15:14	36.48 GB	1	48	05:29:38	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D354.13111581.log
D18423D5	13111585	00:47:30	36.66 GB	1	48	02:34:33	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D5.13111585.log
D18423D54	13112378	01:29:59	36.06 GB	1	48	06:56:16	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D54.13112378.log
D18423D92	13111589	01:03:51	36.43 GB	1	48	04:17:34	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423D92.13111589.log
D18423PRE	13111593	01:16:35	36.87 GB	1	48	06:02:33	COMPLETED	Duke_short/3.2_refine_bins/logs/D18423PRE.13111593.log
D18594D5	13111597	00:36:55	35.69 GB	1	48	01:30:35	COMPLETED	Duke_short/3.2_refine_bins/logs/D18594D5.13111597.log
D18594PRE	13111601	01:14:56	37.16 GB	1	48	05:32:55	COMPLETED	Duke_short/3.2_refine_bins/logs/D18594PRE.13111601.log
D19688D14	13111605	00:40:45	34.76 GB	1	48	01:32:17	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D14.13111605.log
D19688D180	13111609	01:17:43	36.40 GB	1	48	06:20:13	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D180.13111609.log
D19688D20	13111613	00:41:46	35.09 GB	1	48	01:38:01	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D20.13111613.log
D19688D29	13111617	00:52:25	36.30 GB	1	48	03:10:38	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D29.13111617.log
D19688D364	13111621	01:33:10	36.92 GB	1	48	07:48:12	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D364.13111621.log
D19688D5	13111625	00:55:58	35.51 GB	1	48	03:25:41	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D5.13111625.log
D19688D63	13111629	01:09:14	36.24 GB	1	48	05:09:09	COMPLETED	Duke_short/3.2_refine_bins/logs/D19688D63.13111629.log
