SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	11146287	00:45:17	4.86 GB	1	24	00:44:50	COMPLETED	Duke_short/5.3_shortbred/logs/D13004D15.11146287.log
D13004D384	11146290	00:50:57	4.71 GB	1	24	00:50:33	COMPLETED	Duke_short/5.3_shortbred/logs/D13004D384.11146290.log
D13004D46	11146293	01:02:15	5.81 GB	1	24	01:01:35	COMPLETED	Duke_short/5.3_shortbred/logs/D13004D46.11146293.log
D13004D7	11146296	00:41:36	4.65 GB	1	24	00:41:16	COMPLETED	Duke_short/5.3_shortbred/logs/D13004D7.11146296.log
D13004PRE	11146299	01:07:01	5.92 GB	1	24	01:06:19	COMPLETED	Duke_short/5.3_shortbred/logs/D13004PRE.11146299.log
D17010D15	11146424	00:50:44	4.37 GB	1	24	00:49:16	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D15.11146424.log
D17010D2	11146427	00:50:39	4.77 GB	1	24	00:49:08	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D2.11146427.log
D17010D22	11146430	02:12:47	10.01 GB	1	24	02:08:53	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D22.11146430.log
D17010D31	11146433	01:01:59	5.61 GB	1	24	01:00:04	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D31.11146433.log
D17010D398	11146436	01:02:22	5.03 GB	1	24	01:00:52	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D398.11146436.log
D17010D64	11147234	00:53:53	3.57 GB	1	24	00:52:13	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D64.11147234.log
D17010D8	11147237	00:47:01	4.20 GB	1	24	00:45:54	COMPLETED	Duke_short/5.3_shortbred/logs/D17010D8.11147237.log
D17010PRE	11147381	00:29:28	3.41 GB	1	24	00:28:24	COMPLETED	Duke_short/5.3_shortbred/logs/D17010PRE.11147381.log
D18423D109	11147384	01:34:31	4.72 GB	1	24	01:31:17	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D109.11147384.log
D18423D13	11147946	00:29:17	3.29 GB	1	24	00:28:45	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D13.11147946.log
D18423D180	11147387	00:41:23	4.17 GB	1	24	00:39:44	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D180.11147387.log
D18423D19	11147390	00:45:51	4.40 GB	1	24	00:44:19	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D19.11147390.log
D18423D28	11147393	01:01:13	5.53 GB	1	24	00:59:00	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D28.11147393.log
D18423D354	11147396	00:54:56	4.80 GB	1	24	00:52:44	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D354.11147396.log
D18423D5	11147399	00:58:20	5.43 GB	1	24	00:56:18	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D5.11147399.log
D18423D54	11147985	01:16:17	6.76 GB	1	24	01:15:45	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D54.11147985.log
D18423D92	11147402	00:53:29	4.26 GB	1	24	00:51:10	COMPLETED	Duke_short/5.3_shortbred/logs/D18423D92.11147402.log
D18423PRE	11147405	00:44:49	5.57 GB	1	24	00:42:39	COMPLETED	Duke_short/5.3_shortbred/logs/D18423PRE.11147405.log
D18594D5	11147408	00:36:06	4.94 GB	1	24	00:34:22	COMPLETED	Duke_short/5.3_shortbred/logs/D18594D5.11147408.log
D18594PRE	11147411	00:54:32	4.62 GB	1	24	00:52:42	COMPLETED	Duke_short/5.3_shortbred/logs/D18594PRE.11147411.log
D19688D14	11147414	00:55:49	3.31 GB	1	24	00:53:52	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D14.11147414.log
D19688D180	11147417	00:49:51	4.70 GB	1	24	00:48:03	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D180.11147417.log
D19688D20	11147420	00:51:46	4.56 GB	1	24	00:49:35	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D20.11147420.log
D19688D29	11147423	00:49:42	4.59 GB	1	24	00:47:45	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D29.11147423.log
D19688D364	11147426	01:21:20	4.25 GB	1	24	01:18:36	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D364.11147426.log
D19688D5	11147429	01:08:47	5.88 GB	1	24	01:07:00	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D5.11147429.log
D19688D63	11147432	01:01:51	4.32 GB	1	24	01:00:09	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D63.11147432.log
D19688D96	11147435	01:23:21	6.38 GB	1	24	01:21:21	COMPLETED	Duke_short/5.3_shortbred/logs/D19688D96.11147435.log
D19688PRE	11147438	00:42:31	5.58 GB	1	24	00:40:43	COMPLETED	Duke_short/5.3_shortbred/logs/D19688PRE.11147438.log
D19754D110	11147447	00:28:51	3.49 GB	1	24	00:27:55	COMPLETED	Duke_short/5.3_shortbred/logs/D19754D110.11147447.log
D19754D-1	11147441	01:01:16	3.96 GB	1	24	00:59:15	COMPLETED	Duke_short/5.3_shortbred/logs/D19754D-1.11147441.log
D19754D12	11147450	00:42:20	4.19 GB	1	24	00:40:47	COMPLETED	Duke_short/5.3_shortbred/logs/D19754D12.11147450.log
D19754D171	11147453	00:41:39	4.48 GB	1	24	00:40:15	COMPLETED	Duke_short/5.3_shortbred/logs/D19754D171.11147453.log
D19754D19	11147456	01:55:01	9.91 GB	1	24	01:52:28	COMPLETED	Duke_short/5.3_shortbred/logs/D19754D19.11147456.log
