SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D13004D15	14975626							Duke_short/5.4_rgi_bwt/logs/D13004D15.14975626.log
D13004D15	15356302							Duke_short/5.4_rgi_bwt/logs/D13004D15.15356302.log
D13004D15	15613022							Duke_short/5.4_rgi_bwt/logs/D13004D15.15613022.log
D13004D15	15617245							Duke_short/5.4_rgi_bwt/logs/D13004D15.15617245.log
D13004D384	15085892							Duke_short/5.4_rgi_bwt/logs/D13004D384.15085892.log
D13004D384	15617254							Duke_short/5.4_rgi_bwt/logs/D13004D384.15617254.log
D13004D46	15085893							Duke_short/5.4_rgi_bwt/logs/D13004D46.15085893.log
D13004D46	15617428							Duke_short/5.4_rgi_bwt/logs/D13004D46.15617428.log
D13004D7	14970208							Duke_short/5.4_rgi_bwt/logs/D13004D7.14970208.log
D13004D7	15617431							Duke_short/5.4_rgi_bwt/logs/D13004D7.15617431.log
D13004D7	15828332							Duke_short/5.4_rgi_bwt/logs/D13004D7.15828332.log
D13004D7	15854652							Duke_short/5.4_rgi_bwt/logs/D13004D7.15854652.log
D17010D15	15085894							Duke_short/5.4_rgi_bwt/logs/D17010D15.15085894.log
D17010D15	15617434							Duke_short/5.4_rgi_bwt/logs/D17010D15.15617434.log
D17010D2	15085895							Duke_short/5.4_rgi_bwt/logs/D17010D2.15085895.log
D17010D2	15617436							Duke_short/5.4_rgi_bwt/logs/D17010D2.15617436.log
D17010D22	15314927							Duke_short/5.4_rgi_bwt/logs/D17010D22.15314927.log
D17010D22	15667104							Duke_short/5.4_rgi_bwt/logs/D17010D22.15667104.log
D17010D31	15085897							Duke_short/5.4_rgi_bwt/logs/D17010D31.15085897.log
D17010D31	15617440							Duke_short/5.4_rgi_bwt/logs/D17010D31.15617440.log
D17010D398	15085898							Duke_short/5.4_rgi_bwt/logs/D17010D398.15085898.log
D17010D398	15617442							Duke_short/5.4_rgi_bwt/logs/D17010D398.15617442.log
D17010D64	15085899							Duke_short/5.4_rgi_bwt/logs/D17010D64.15085899.log
D17010D64	15617444							Duke_short/5.4_rgi_bwt/logs/D17010D64.15617444.log
D17010D8	14975823							Duke_short/5.4_rgi_bwt/logs/D17010D8.14975823.log
D17010D8	15617446							Duke_short/5.4_rgi_bwt/logs/D17010D8.15617446.log
D17010PRE	14975825							Duke_short/5.4_rgi_bwt/logs/D17010PRE.14975825.log
D17010PRE	15617448							Duke_short/5.4_rgi_bwt/logs/D17010PRE.15617448.log
D18423D109	15085900							Duke_short/5.4_rgi_bwt/logs/D18423D109.15085900.log
D18423D109	15617450							Duke_short/5.4_rgi_bwt/logs/D18423D109.15617450.log
D18423D13	15174318							Duke_short/5.4_rgi_bwt/logs/D18423D13.15174318.log
D18423D13	15617828							Duke_short/5.4_rgi_bwt/logs/D18423D13.15617828.log
D18423D180	15085901							Duke_short/5.4_rgi_bwt/logs/D18423D180.15085901.log
D18423D180	15617452							Duke_short/5.4_rgi_bwt/logs/D18423D180.15617452.log
D18423D19	14975828							Duke_short/5.4_rgi_bwt/logs/D18423D19.14975828.log
D18423D19	15617454							Duke_short/5.4_rgi_bwt/logs/D18423D19.15617454.log
D18423D19	15667105							Duke_short/5.4_rgi_bwt/logs/D18423D19.15667105.log
D18423D19	15823574							Duke_short/5.4_rgi_bwt/logs/D18423D19.15823574.log
D18423D19	15828333							Duke_short/5.4_rgi_bwt/logs/D18423D19.15828333.log
D18423D28	15085902							Duke_short/5.4_rgi_bwt/logs/D18423D28.15085902.log
D18423D28	15617457							Duke_short/5.4_rgi_bwt/logs/D18423D28.15617457.log
D18423D28	15667106							Duke_short/5.4_rgi_bwt/logs/D18423D28.15667106.log
D18423D28	15823575							Duke_short/5.4_rgi_bwt/logs/D18423D28.15823575.log
D18423D354	15085903							Duke_short/5.4_rgi_bwt/logs/D18423D354.15085903.log
D18423D354	15617460							Duke_short/5.4_rgi_bwt/logs/D18423D354.15617460.log
D18423D5	14975842							Duke_short/5.4_rgi_bwt/logs/D18423D5.14975842.log
D18423D5	15617462							Duke_short/5.4_rgi_bwt/logs/D18423D5.15617462.log
D18423D54	15174331							Duke_short/5.4_rgi_bwt/logs/D18423D54.15174331.log
D18423D54	15617876							Duke_short/5.4_rgi_bwt/logs/D18423D54.15617876.log
D18423D92	14975843							Duke_short/5.4_rgi_bwt/logs/D18423D92.14975843.log
D18423D92	15617464							Duke_short/5.4_rgi_bwt/logs/D18423D92.15617464.log
D18423PRE	15085904							Duke_short/5.4_rgi_bwt/logs/D18423PRE.15085904.log
D18423PRE	15617466							Duke_short/5.4_rgi_bwt/logs/D18423PRE.15617466.log
D18594D5	14975845							Duke_short/5.4_rgi_bwt/logs/D18594D5.14975845.log
D18594D5	15617468							Duke_short/5.4_rgi_bwt/logs/D18594D5.15617468.log
D18594PRE	15085905							Duke_short/5.4_rgi_bwt/logs/D18594PRE.15085905.log
D18594PRE	15617470							Duke_short/5.4_rgi_bwt/logs/D18594PRE.15617470.log
D19688D14	14975847							Duke_short/5.4_rgi_bwt/logs/D19688D14.14975847.log
D19688D14	15617472							Duke_short/5.4_rgi_bwt/logs/D19688D14.15617472.log
D19688D180	15085906							Duke_short/5.4_rgi_bwt/logs/D19688D180.15085906.log
D19688D180	15617474							Duke_short/5.4_rgi_bwt/logs/D19688D180.15617474.log
D19688D20	14975849							Duke_short/5.4_rgi_bwt/logs/D19688D20.14975849.log
D19688D20	15617477							Duke_short/5.4_rgi_bwt/logs/D19688D20.15617477.log
D19688D29	15085907							Duke_short/5.4_rgi_bwt/logs/D19688D29.15085907.log
D19688D29	15617479							Duke_short/5.4_rgi_bwt/logs/D19688D29.15617479.log
D19688D364	15085908							Duke_short/5.4_rgi_bwt/logs/D19688D364.15085908.log
D19688D364	15617482							Duke_short/5.4_rgi_bwt/logs/D19688D364.15617482.log
D19688D5	15085909							Duke_short/5.4_rgi_bwt/logs/D19688D5.15085909.log
D19688D5	15617484							Duke_short/5.4_rgi_bwt/logs/D19688D5.15617484.log
D19688D63	15085910							Duke_short/5.4_rgi_bwt/logs/D19688D63.15085910.log
D19688D63	15617486							Duke_short/5.4_rgi_bwt/logs/D19688D63.15617486.log
D19688D96	15314928							Duke_short/5.4_rgi_bwt/logs/D19688D96.15314928.log
D19688D96	15617488							Duke_short/5.4_rgi_bwt/logs/D19688D96.15617488.log
D19688PRE	15085912							Duke_short/5.4_rgi_bwt/logs/D19688PRE.15085912.log
D19688PRE	15617491							Duke_short/5.4_rgi_bwt/logs/D19688PRE.15617491.log
D19754D110	14975858							Duke_short/5.4_rgi_bwt/logs/D19754D110.14975858.log
D19754D110	15617497							Duke_short/5.4_rgi_bwt/logs/D19754D110.15617497.log
D19754D-1	14975856							Duke_short/5.4_rgi_bwt/logs/D19754D-1.14975856.log
D19754D-1	15617493							Duke_short/5.4_rgi_bwt/logs/D19754D-1.15617493.log
D19754D12	14975859							Duke_short/5.4_rgi_bwt/logs/D19754D12.14975859.log
D19754D12	15617499							Duke_short/5.4_rgi_bwt/logs/D19754D12.15617499.log
D19754D171	14975860							Duke_short/5.4_rgi_bwt/logs/D19754D171.14975860.log
D19754D171	15617501							Duke_short/5.4_rgi_bwt/logs/D19754D171.15617501.log
D19754D19	15085913							Duke_short/5.4_rgi_bwt/logs/D19754D19.15085913.log
D19754D19	15617503							Duke_short/5.4_rgi_bwt/logs/D19754D19.15617503.log
D19754D26	14975862							Duke_short/5.4_rgi_bwt/logs/D19754D26.14975862.log
D19754D26	15617505							Duke_short/5.4_rgi_bwt/logs/D19754D26.15617505.log
D19754D384	14975863							Duke_short/5.4_rgi_bwt/logs/D19754D384.14975863.log
D19754D384	15617507							Duke_short/5.4_rgi_bwt/logs/D19754D384.15617507.log
D19754D55	14975864							Duke_short/5.4_rgi_bwt/logs/D19754D55.14975864.log
