SampleID	JobID	WallTime	MemUsed	State	Log
BMT101D1	10914703	00:05:37	24.56 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT101D1.10914703.log
BMT101D14	10914696	00:04:38	28.70 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT101D14.10914696.log
BMT101D30	10914711	00:05:37	24.81 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT101D30.10914711.log
BMT101D-7	10914689	00:06:11	26.03 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT101D-7.10914689.log
BMT101D7	10914718	00:04:53	23.59 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT101D7.10914718.log
BMT102D10	10920351	00:03:55	19.01 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT102D10.10920351.log
BMT102D14	10920358	00:03:25	16.43 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT102D14.10920358.log
BMT102D28	10920365	00:06:28	26.64 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT102D28.10920365.log
BMT102D3	10920372	00:04:00	22.21 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT102D3.10920372.log
BMT102D-9	10920344	00:06:17	26.13 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT102D-9.10920344.log
BMT103D-1	10920422	00:05:03	23.06 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT103D-1.10920422.log
BMT103D14	10920451	00:03:56	22.12 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT103D14.10920451.log
BMT103D24	10920458	00:03:36	23.18 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT103D24.10920458.log
BMT103D27	10920465	00:06:51	30.45 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT103D27.10920465.log
BMT103D-8	10920429	00:04:45	20.00 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT103D-8.10920429.log
BMT103D8	10923798	00:04:35	20.15 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT103D8.10923798.log
BMT104D0	10923812	00:03:52	22.02 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT104D0.10923812.log
BMT104D14	10923819	00:04:59	20.33 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT104D14.10923819.log
BMT104D24	10923826	00:04:55	19.87 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT104D24.10923826.log
BMT104D29	10931910	00:02:24	12.19 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT104D29.10931910.log
BMT104D-53	10923805	00:05:25	18.28 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT104D-53.10923805.log
BMT104D7	10931917	00:05:08	22.96 GB	COMPLETED	UNC_short/0.1_pre_qc/logs/BMT104D7.10931917.log
