SampleID	JobID	WallTime	MemUsed	State	Log
BMT101D1	10914704	00:15:22	27.53 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT101D1.10914704.log
BMT101D14	10914697	00:16:37	8.68 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT101D14.10914697.log
BMT101D30	10914712	00:19:52	27.68 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT101D30.10914712.log
BMT101D-7	10914690	00:21:21	30.09 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT101D-7.10914690.log
BMT101D7	10914719	00:17:19	8.55 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT101D7.10914719.log
BMT102D10	10920352	00:14:45	7.63 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT102D10.10920352.log
BMT102D14	10920359	00:12:31	7.72 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT102D14.10920359.log
BMT102D28	10920366	00:23:25	9.30 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT102D28.10920366.log
BMT102D3	10920373	00:15:36	8.59 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT102D3.10920373.log
BMT102D-9	10920345	00:23:24	9.47 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT102D-9.10920345.log
BMT103D-1	10920423	00:19:14	8.41 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT103D-1.10920423.log
BMT103D14	10920452	00:14:54	7.91 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT103D14.10920452.log
BMT103D24	10920459	00:13:55	7.61 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT103D24.10920459.log
BMT103D27	10920466	00:26:21	35.91 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT103D27.10920466.log
BMT103D-8	10920430	00:17:57	22.84 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT103D-8.10920430.log
BMT103D8	10923799	00:16:00	20.71 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT103D8.10923799.log
BMT104D0	10923813	00:13:33	8.26 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT104D0.10923813.log
BMT104D14	10923820	00:18:03	25.18 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT104D14.10923820.log
BMT104D24	10923827	00:18:24	24.25 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT104D24.10923827.log
BMT104D29	10931911	00:09:14	6.70 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT104D29.10931911.log
BMT104D-53	10923806	00:20:27	7.87 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT104D-53.10923806.log
BMT104D7	10931918	00:19:49	8.48 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT104D7.10931918.log
BMT105D-1	10931925	00:20:24	8.40 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT105D-1.10931925.log
BMT105D7	10931939	00:18:28	25.38 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT105D7.10931939.log
BMT105D-8	10931932	00:16:34	8.21 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT105D-8.10931932.log
BMT106D0	10931949	00:18:55	24.20 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT106D0.10931949.log
BMT106D14	10931956	00:15:46	20.54 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT106D14.10931956.log
BMT106PRE	10931963	00:17:05	8.51 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT106PRE.10931963.log
