SampleID	JobID	WallTime	MemUsed	State	Log
BMT101D1	10914705	00:39:24	9.33 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT101D1.10914705.log
BMT101D14	10914698	00:40:33	6.39 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT101D14.10914698.log
BMT101D30	10914713	00:49:14	6.25 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT101D30.10914713.log
BMT101D-7	10914691	00:54:14	10.47 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT101D-7.10914691.log
BMT101D7	10914720	00:44:26	10.67 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT101D7.10914720.log
BMT102D10	10920353	00:36:32	7.05 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT102D10.10920353.log
BMT102D14	10920360	00:32:10	6.17 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT102D14.10920360.log
BMT102D28	10920367	00:57:21	7.26 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT102D28.10920367.log
BMT102D3	10920374	00:49:41	9.57 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT102D3.10920374.log
BMT102D-9	10920346	00:59:10	11.45 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT102D-9.10920346.log
BMT103D-1	10920424	00:50:20	9.29 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT103D-1.10920424.log
BMT103D14	10920453	00:38:14	9.16 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT103D14.10920453.log
BMT103D24	10920460	00:43:42	8.51 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT103D24.10920460.log
BMT103D27	10920467	01:03:01	9.85 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT103D27.10920467.log
BMT103D-8	10920431	00:45:52	8.74 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT103D-8.10920431.log
BMT103D8	10923800	00:42:14	5.68 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT103D8.10923800.log
BMT104D0	10923814	00:40:50	5.48 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT104D0.10923814.log
BMT104D14	10923821	00:40:46	7.74 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT104D14.10923821.log
BMT104D24	10923828	00:44:47	3.91 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT104D24.10923828.log
BMT104D29	10931912	00:23:58	3.70 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT104D29.10931912.log
BMT104D-53	10923807	00:50:30	9.83 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT104D-53.10923807.log
BMT104D7	10931919	00:45:57	9.10 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT104D7.10931919.log
BMT105D-1	10931926	00:50:57	9.86 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT105D-1.10931926.log
BMT105D7	10931940	00:41:39	8.61 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT105D7.10931940.log
BMT105D-8	10931933	00:38:56	6.47 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT105D-8.10931933.log
BMT106D0	10931950	00:46:29	9.08 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT106D0.10931950.log
BMT106D14	10931957	00:39:23	7.58 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT106D14.10931957.log
BMT106PRE	10931964	00:40:14	8.36 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT106PRE.10931964.log
BMT108D0	10931979	00:48:15	9.26 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT108D0.10931979.log
BMT108D-33	10931971	00:33:18	4.25 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT108D-33.10931971.log
BMT108PRE	10932003	00:43:03	8.65 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT108PRE.10932003.log
BMT109D0	10932018	00:59:54	10.88 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT109D0.10932018.log
BMT109D14	10932026	00:32:22	6.76 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT109D14.10932026.log
BMT109d29	10932033	00:22:50	3.02 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT109d29.10932033.log
BMT109D-6	10932010	00:30:57	6.56 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT109D-6.10932010.log
BMT110D15	11058512	00:30:08	6.78 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT110D15.11058512.log
BMT110D24	11058519	00:37:26	5.55 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT110D24.11058519.log
BMT110D4	11058526	00:32:48	3.74 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT110D4.11058526.log
BMT110D-9	11058505	00:34:19	4.51 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT110D-9.11058505.log
