SampleID	JobID	WallTime	MemUsed	State	Log
BMT101D1	10914706	00:30:34	58.66 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT101D1.10914706.log
BMT101D14	10914699	00:30:31	62.90 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT101D14.10914699.log
BMT101D30	10914714	00:30:10	52.75 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT101D30.10914714.log
BMT101D-7	10914692	00:33:38	62.79 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT101D-7.10914692.log
BMT101D7	10914721	00:33:59	36.50 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT101D7.10914721.log
BMT102D10	10920354	00:22:30	46.33 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT102D10.10920354.log
BMT102D14	10920361	00:19:27	36.70 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT102D14.10920361.log
BMT102D28	10920368	00:35:44	49.35 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT102D28.10920368.log
BMT102D3	10920375	00:30:57	60.80 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT102D3.10920375.log
BMT102D-9	10920347	00:37:29	73.16 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT102D-9.10920347.log
BMT103D-1	10920425	00:30:30	57.13 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT103D-1.10920425.log
BMT103D14	10920454	00:28:58	56.82 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT103D14.10920454.log
BMT103D24	10920461	00:27:25	53.24 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT103D24.10920461.log
BMT103D27	10920468	00:39:06	79.80 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT103D27.10920468.log
BMT103D-8	10920432	00:22:41	57.12 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT103D-8.10920432.log
BMT103D8	10923801	00:26:17	51.79 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT103D8.10923801.log
BMT104D0	10923815	00:27:11	51.95 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT104D0.10923815.log
BMT104D14	10923822	00:26:29	53.80 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT104D14.10923822.log
BMT104D24	10923829	00:29:03	41.14 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT104D24.10923829.log
BMT104D29	10931913	00:15:21	28.16 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT104D29.10931913.log
BMT104D-53	10923808	00:31:45	60.83 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT104D-53.10923808.log
BMT104D7	10931920	00:30:11	59.25 GB	COMPLETED	UNC_short/0.4_host_decontamination/logs/BMT104D7.10931920.log
