SampleID	JobID	WallTime	MemUsed	State	Log
BMT101D1	11165335	00:12:22	88.48 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT101D1.11165335.log
BMT101D14	11165332	00:12:16	116.48 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT101D14.11165332.log
BMT101D30	11165338	00:10:22	118.12 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT101D30.11165338.log
BMT101D-7	11165329	00:11:21	98.34 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT101D-7.11165329.log
BMT101D7	11165341	00:12:04	113.20 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT101D7.11165341.log
BMT102D10	11165347	00:10:21	124.78 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT102D10.11165347.log
BMT102D14	11165350	00:09:03	132.89 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT102D14.11165350.log
BMT102D28	11165353	00:10:16	164.81 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT102D28.11165353.log
BMT102D3	11165356	00:10:30	112.06 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT102D3.11165356.log
BMT102D-9	11165344	00:10:41	167.28 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT102D-9.11165344.log
BMT103D-1	11165359	00:10:10	108.32 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT103D-1.11165359.log
BMT103D14	11165365	00:10:28	99.23 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT103D14.11165365.log
BMT103D24	11165368	00:09:52	112.18 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT103D24.11165368.log
BMT103D27	11165371	00:12:03	101.88 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT103D27.11165371.log
BMT103D-8	11165362	00:09:36	117.42 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT103D-8.11165362.log
BMT103D8	11165374	00:10:22	107.33 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT103D8.11165374.log
BMT104D0	11165380	00:10:06	153.78 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT104D0.11165380.log
BMT104D14	11165383	00:10:27	125.28 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT104D14.11165383.log
BMT104D24	11165386	00:05:45	107.45 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT104D24.11165386.log
BMT104D29	11165389	00:04:35	88.26 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT104D29.11165389.log
BMT104D-53	11165377	00:13:03	93.61 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT104D-53.11165377.log
BMT104D7	11165392	00:07:49	98.06 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT104D7.11165392.log
BMT105D-1	11165395	00:07:59	139.25 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT105D-1.11165395.log
BMT105D7	11165401	00:07:40	126.38 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT105D7.11165401.log
BMT105D-8	11165398	00:06:35	88.50 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT105D-8.11165398.log
BMT106D0	11165404	00:07:19	129.87 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT106D0.11165404.log
BMT106D14	11165407	00:04:49	84.87 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT106D14.11165407.log
BMT106PRE	11165410	00:05:12	84.04 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT106PRE.11165410.log
BMT108D0	11165416	00:07:41	100.82 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT108D0.11165416.log
BMT108D-33	11165413	00:05:59	128.21 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT108D-33.11165413.log
BMT108PRE	11165419	00:07:22	105.12 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT108PRE.11165419.log
BMT109D0	11165425	00:08:10	112.35 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT109D0.11165425.log
BMT109D14	11165428	00:04:08	85.21 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT109D14.11165428.log
BMT109d29	11165431	00:03:05	79.26 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT109d29.11165431.log
BMT109D-6	11165422	00:08:38	148.98 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT109D-6.11165422.log
BMT110D15	11165437	00:05:41	99.86 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT110D15.11165437.log
BMT110D24	11165440	00:06:50	91.75 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT110D24.11165440.log
BMT110D4	11165443	00:05:52	124.47 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT110D4.11165443.log
BMT110D-9	11165434	00:03:49	80.06 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT110D-9.11165434.log
BMT111D21	11165449	00:05:38	80.97 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT111D21.11165449.log
BMT111D3	11165452	00:06:10	94.99 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT111D3.11165452.log
BMT111D6	11165455	00:06:20	93.45 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT111D6.11165455.log
BMT111D-8	11165446	00:05:45	82.25 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT111D-8.11165446.log
BMT112D15	11165461	00:11:53	104.69 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT112D15.11165461.log
BMT112D19	11165464	00:05:19	87.09 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT112D19.11165464.log
BMT112D-6	11165458	00:06:35	96.21 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT112D-6.11165458.log
BMT112D7	11165467	00:05:01	96.30 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT112D7.11165467.log
BMT113D-12	11165470	00:04:46	79.15 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT113D-12.11165470.log
BMT114D25	11165476	00:05:22	89.16 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT114D25.11165476.log
BMT114D28	11165479	00:04:48	88.98 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT114D28.11165479.log
BMT114D-36	11165473	00:05:18	106.19 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT114D-36.11165473.log
BMT115D18	11165482	00:05:18	86.69 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT115D18.11165482.log
BMT115D4	11165737	00:08:18	132.25 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT115D4.11165737.log
BMT115pre	11165485	00:07:08	109.84 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT115pre.11165485.log
BMT116D1	11165491	00:04:32	78.63 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT116D1.11165491.log
BMT116D-3	11165488	00:03:53	78.52 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT116D-3.11165488.log
BMT118D10	11165497	00:04:26	79.68 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT118D10.11165497.log
BMT118D4	11165500	00:04:59	90.62 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT118D4.11165500.log
BMT118D-9	11165494	00:05:14	88.33 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT118D-9.11165494.log
BMT119D1	11165506	00:05:16	88.56 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT119D1.11165506.log
BMT119D-7	11165503	00:04:54	84.68 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT119D-7.11165503.log
BMT119D9	11165509	00:03:50	76.78 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT119D9.11165509.log
BMT120D0	11165515	00:07:58	104.87 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT120D0.11165515.log
BMT120D23	11165518	00:05:30	102.42 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT120D23.11165518.log
BMT120D-5	11165512	00:02:05	60.70 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT120D-5.11165512.log
BMT120D6	11165521	00:05:56	89.21 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT120D6.11165521.log
BMT121D0	11165527	00:04:45	82.31 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT121D0.11165527.log
BMT121D15	11165530	00:09:46	103.89 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT121D15.11165530.log
BMT121D22	11165533	00:04:22	83.38 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT121D22.11165533.log
BMT121D26	11165536	00:04:32	79.43 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT121D26.11165536.log
BMT121D-6	11165524	00:08:16	101.04 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT121D-6.11165524.log
BMT123D0	11165542	00:05:59	92.26 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT123D0.11165542.log
BMT123D-8	11165539	00:01:42	73.51 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT123D-8.11165539.log
BMT124D0	11165548	00:05:34	101.77 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT124D0.11165548.log
BMT124D-13	11165545	00:07:33	96.16 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT124D-13.11165545.log
BMT124D17	11165551	00:03:27	78.83 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT124D17.11165551.log
BMT124D7	11165554	00:04:51	87.61 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT124D7.11165554.log
BMT125D0	11165560	00:05:00	92.44 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT125D0.11165560.log
BMT125D-14	11165557	00:04:10	82.38 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT125D-14.11165557.log
BMT125D21	11165563	00:09:02	97.44 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT125D21.11165563.log
BMT125D7	11165566	00:03:16	82.42 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT125D7.11165566.log
BMT126d1	11165578	00:05:35	117.08 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT126d1.11165578.log
BMT126D-12	11165569	00:17:07	114.05 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT126D-12.11165569.log
BMT126D21	11165572	00:08:00	104.07 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT126D21.11165572.log
BMT126D2	11165740	00:11:39	117.52 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT126D2.11165740.log
BMT126D8	11165575	00:05:23	153.31 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT126D8.11165575.log
BMT127D1	11165584	00:05:01	103.16 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT127D1.11165584.log
BMT127D-13	11165581	00:09:08	92.92 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT127D-13.11165581.log
BMT127D21	11165587	00:09:31	98.92 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT127D21.11165587.log
BMT127D6	11165590	00:07:44	89.32 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT127D6.11165590.log
BMT128D-14	11165593	00:10:13	111.61 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT128D-14.11165593.log
BMT129D0	11165599	00:09:24	97.39 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT129D0.11165599.log
BMT129D15	11165602	00:05:58	98.69 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT129D15.11165602.log
BMT129D23	11165605	00:05:40	105.84 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT129D23.11165605.log
BMT129D28	11165608	00:04:36	80.65 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT129D28.11165608.log
BMT129D-6	11165596	00:07:53	107.94 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT129D-6.11165596.log
BMT130D0	11165614	00:08:32	97.93 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT130D0.11165614.log
BMT130D20	11165617	00:04:27	90.82 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT130D20.11165617.log
BMT130D25	11165620	00:07:33	102.70 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT130D25.11165620.log
BMT130D-4	11165611	00:04:57	89.70 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT130D-4.11165611.log
BMT130D7	11165623	00:06:35	91.18 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT130D7.11165623.log
BMT131D0	11165629	00:09:14	101.31 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT131D0.11165629.log
BMT131D14	11165632	00:05:41	96.40 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT131D14.11165632.log
BMT131D22	11165635	00:03:16	80.39 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT131D22.11165635.log
BMT131D267	11165743	00:09:12	93.90 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT131D267.11165743.log
BMT131D-6	11165626	00:04:50	157.88 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT131D-6.11165626.log
BMT131D7	11165638	00:04:54	94.48 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT131D7.11165638.log
BMT132D3	11165641	00:03:18	86.53 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT132D3.11165641.log
BMT132PRE	11165746	00:08:52	94.60 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT132PRE.11165746.log
BMT133D1	11165650	00:05:09	85.77 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT133D1.11165650.log
BMT133D15	11165647	00:06:37	97.59 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT133D15.11165647.log
BMT133D26	11165653	00:05:47	100.16 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT133D26.11165653.log
BMT133D-6	11165644	00:04:20	81.73 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT133D-6.11165644.log
BMT134D15	11165656	00:07:57	94.32 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT134D15.11165656.log
BMT134D186	11165749	00:07:51	101.39 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT134D186.11165749.log
BMT134D2	11165659	00:05:07	86.26 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT134D2.11165659.log
BMT134D8	11165662	00:09:04	103.50 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT134D8.11165662.log
BMT134pre	11165665	00:06:58	165.71 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT134pre.11165665.log
BMT138D5	11165668	00:05:52	85.87 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT138D5.11165668.log
BMT138pre	11165671	00:07:56	109.60 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT138pre.11165671.log
BMT140D13	11165674	00:03:47	87.78 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT140D13.11165674.log
BMT140D14	11165677	00:08:08	95.16 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT140D14.11165677.log
BMT140D62	11165680	00:06:46	81.87 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT140D62.11165680.log
BMT140D75	11165683	00:09:42	99.64 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT140D75.11165683.log
BMT140D87	11165752	00:16:04	107.91 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT140D87.11165752.log
BMT140pre	11165686	00:10:57	110.31 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT140pre.11165686.log
BMT141D14	11165755	00:11:55	111.30 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT141D14.11165755.log
BMT141D163	11165758	00:12:40	104.01 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT141D163.11165758.log
BMT141pre	11165689	00:07:41	101.71 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT141pre.11165689.log
BMT142D1	11165761	00:06:44	158.28 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT142D1.11165761.log
BMT142D8	11165692	00:05:35	90.13 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT142D8.11165692.log
BMT142pre	11165695	00:06:23	93.46 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT142pre.11165695.log
BMT144D207	11165764	00:07:53	117.61 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT144D207.11165764.log
BMT144PRE	11165767	00:16:09	133.69 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT144PRE.11165767.log
BMT146D142	11165770	00:12:12	91.53 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146D142.11165770.log
BMT146D2	11165698	00:05:19	97.93 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146D2.11165698.log
BMT146D42	11165701	00:04:51	84.00 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146D42.11165701.log
BMT146D52	11165704	00:01:44	74.76 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146D52.11165704.log
BMT146D57	11165773	00:08:29	151.19 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146D57.11165773.log
BMT146D69	11165776	00:13:02	107.18 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146D69.11165776.log
BMT146pre	11165707	00:03:11	75.23 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT146pre.11165707.log
BMT148D67	11165779	00:09:25	99.47 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT148D67.11165779.log
BMT148PRE	11165782	00:12:42	154.84 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT148PRE.11165782.log
BMT149D12	11165710	00:05:04	103.22 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT149D12.11165710.log
BMT149D17	11165713	00:05:18	97.53 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT149D17.11165713.log
BMT149D24	11165718	00:04:24	157.11 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT149D24.11165718.log
BMT149D28	11165785	00:10:30	109.79 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT149D28.11165785.log
BMT149pre	11165722	00:06:32	122.23 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT149pre.11165722.log
BMT151D1	11165725	00:05:19	130.70 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT151D1.11165725.log
BMT151D114	11165788	00:08:29	102.81 GB	COMPLETED	UNC_short/2.1_kraken2/logs/BMT151D114.11165788.log
