SampleID	JobID	WallTime	MemUsed	State	Log
BMT101D1	11165336	00:50:03	4.36 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT101D1.11165336.log
BMT101D14	11165333	00:50:14	4.04 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT101D14.11165333.log
BMT101D30	11165339	00:49:19	4.66 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT101D30.11165339.log
BMT101D-7	11165330	00:55:12	5.08 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT101D-7.11165330.log
BMT101D7	11165342	00:54:14	5.16 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT101D7.11165342.log
BMT102D10	11165348	00:36:49	3.78 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT102D10.11165348.log
BMT102D14	11165351	00:22:12	3.67 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT102D14.11165351.log
BMT102D28	11165354	00:43:15	4.83 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT102D28.11165354.log
BMT102D3	11165357	00:47:54	4.30 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT102D3.11165357.log
BMT102D-9	11165345	01:04:20	5.69 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT102D-9.11165345.log
BMT103D-1	11165360	00:48:06	4.82 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT103D-1.11165360.log
BMT103D14	11165366	00:53:02	4.03 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT103D14.11165366.log
BMT103D24	11165369	00:45:54	4.39 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT103D24.11165369.log
BMT103D27	11165372	01:09:52	5.67 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT103D27.11165372.log
BMT103D-8	11165363	00:49:08	3.26 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT103D-8.11165363.log
BMT103D8	11165375	00:40:28	4.26 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT103D8.11165375.log
BMT104D0	11165381	00:43:29	3.99 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT104D0.11165381.log
BMT104D14	11165384	00:44:23	4.08 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT104D14.11165384.log
