SampleID	Actinomycetes	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus_Nanoperiomorbia	Candidatus_Nanosyncoccalia	Candidatus_Saccharimonadia	CFGB10055	CFGB1011	CFGB1012	CFGB10197	CFGB10318	CFGB1126	CFGB11479	CFGB11739	CFGB11916	CFGB1192	CFGB1201	CFGB12107	CFGB1211	CFGB1217	CFGB1218	CFGB1258	CFGB1260	CFGB1262	CFGB1292	CFGB1296	CFGB1298	CFGB1306	CFGB1320	CFGB1347	CFGB1354	CFGB1359	CFGB1374	CFGB1380	CFGB14224	CFGB1473	CFGB14936	CFGB15212	CFGB1539	CFGB1670	CFGB1765	CFGB1780	CFGB1781	CFGB2106	CFGB2164	CFGB2378	CFGB2403	CFGB2404	CFGB2834	CFGB28369	CFGB2838	CFGB28386	CFGB2839	CFGB2840	CFGB2844	CFGB2845	CFGB2846	CFGB2875	CFGB2880	CFGB2881	CFGB2889	CFGB2890	CFGB2893	CFGB28941	CFGB2906	CFGB2915	CFGB2917	CFGB2918	CFGB2919	CFGB2920	CFGB2930	CFGB2932	CFGB2937	CFGB2949	CFGB2952	CFGB2959	CFGB2960	CFGB2979	CFGB2982	CFGB2984	CFGB2992	CFGB2997	CFGB2999	CFGB3002	CFGB3004	CFGB3009	CFGB3012	CFGB3023	CFGB30287	CFGB30328	CFGB3034	CFGB3038	CFGB3043	CFGB3047	CFGB3048	CFGB3054	CFGB3057	CFGB3062	CFGB3070	CFGB31223	CFGB31455	CFGB3230	CFGB32310	CFGB36777	CFGB38642	CFGB39998	CFGB40326	CFGB41334	CFGB41726	CFGB42704	CFGB4355	CFGB4405	CFGB45503	CFGB4605	CFGB4616	CFGB48199	CFGB49155	CFGB49665	CFGB49681	CFGB52309	CFGB529	CFGB628	CFGB629	CFGB658	CFGB667	CFGB67123	CFGB72728	CFGB72924	CFGB72939	CFGB73062	CFGB73144	CFGB73178	CFGB73497	CFGB73902	CFGB77202	CFGB77220	CFGB77385	CFGB77988	CFGB78183	CFGB78699	CFGB78785	CFGB79291	CFGB79315	CFGB79330	CFGB79760	CFGB8179	CFGB81848	CFGB82250	CFGB82363	CFGB8271	CFGB8301	CFGB84092	CFGB84123	CFGB84435	CFGB84486	CFGB88346	CFGB88349	CFGB88367	CFGB88381	CFGB88483	CFGB88649	CFGB89158	CFGB90573	CFGB9115	CFGB9119	CFGB91940	CFGB92029	CFGB92040	CFGB92044	CFGB9272	CFGB9345	CFGB93743	CFGB93792	CFGB93799	CFGB93803	CFGB93863	CFGB94449	CFGB94475	CFGB94479	CFGB94545	CFGB94585	CFGB94588	CFGB94700	CFGB94728	CFGB94730	CFGB94733	CFGB94768	CFGB94810	CFGB94833	CFGB9491	CFGB95106	CFGB9512	CFGB95121	CFGB95179	CFGB9644	CFGB9718	CFGB9989	Clostridia	Coriobacteriia	Cyanophyceae	Desulfovibrionia	Epsilonproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Lentisphaeria	Negativicutes	Opitutia	Synergistia	Tissierellia	Unclassified	UNCLASSIFIED	Verrucomicrobiia
BMT101D-7	10527	1329794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9337144	12907	0	0	0	0	0	31999486	0	1547281	0	0	0	0	5211114	10574
BMT101D1	120484	1889653	18140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2737991	36781	0	0	0	0	0	32493336	0	355838	0	0	0	0	6680104	0
BMT101D14	181579	1543593	25103	12966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13110420	8706	0	0	0	0	0	22754589	0	1411560	0	0	0	0	7138120	0
BMT101D30	216615	1461304	15954445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19806286	6736	0	0	0	8982	0	3507956	0	249348	0	0	0	0	3755477	8586
BMT101D7	93142	5777113	415917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11173191	93076	0	0	0	23527	0	24629633	0	1257511	0	0	0	0	6698883	0
BMT102D-9	344268	1543065	9444879	0	0	0	0	0	0	0	0	0	16999	0	0	0	0	0	0	0	0	0	0	0	0	25803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415773	323135	0	0	0	0	121577	0	0	0	0	1404094	0	0	0	0	0	0	0	0	0	0	96066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7507	0	0	42103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44761	0	0	0	0	0	0	0	0	0	0	0	0	0	60111	0	0	14918	0	0	0	0	27611775	2632128	0	534938	11861	1326796	0	800293	0	20881	0	0	82011	5316	6319489	9929
BMT102D10	46252	160344	8706998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18076952	0	0	0	0	4006931	0	0	0	378340	0	0	0	5085	1909972	0
BMT102D14	6096573	8033055	26404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10784	0	0	0	0	0	5139	0	5046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4507626	2419835	0	0	0	999727	45434	0	0	771946	0	0	42099	64451	4980380	0
BMT102D28	2643088	12749214	3667349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187339	0	0	0	0	0	0	0	0	0	4222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21140418	5065796	0	1260271	10536	2702513	0	0	0	584347	0	0	58852	0	1974986	0
BMT102D3	258720	1684269	2773002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17991	0	0	0	0	0	0	0	0	9284	0	0	0	0	0	0	0	0	4522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29737479	0	0	15470	14424	5006520	0	145741	0	311941	0	0	50112	4062	4635091	0
