SampleID	Actinomycetes	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus_Nanoperiomorbia	Candidatus_Nanosyncoccalia	Candidatus_Saccharimonadia	CFGB10055	CFGB1011	CFGB1012	CFGB10197	CFGB10318	CFGB1126	CFGB11479	CFGB11739	CFGB11916	CFGB1192	CFGB1201	CFGB12107	CFGB1211	CFGB1217	CFGB1218	CFGB1258	CFGB1260	CFGB1262	CFGB1292	CFGB1296	CFGB1298	CFGB1306	CFGB1320	CFGB1347	CFGB1354	CFGB1359	CFGB1374	CFGB1380	CFGB14224	CFGB1473	CFGB14936	CFGB15212	CFGB1539	CFGB1670	CFGB1765	CFGB1780	CFGB1781	CFGB2106	CFGB2164	CFGB2378	CFGB2403	CFGB2404	CFGB2834	CFGB28369	CFGB2838	CFGB28386	CFGB2839	CFGB2840	CFGB2844	CFGB2845	CFGB2846	CFGB2875	CFGB2880	CFGB2881	CFGB2889	CFGB2890	CFGB2893	CFGB28941	CFGB2906	CFGB2915	CFGB2917	CFGB2918	CFGB2919	CFGB2920	CFGB2930	CFGB2932	CFGB2937	CFGB2949	CFGB2952	CFGB2959	CFGB2960	CFGB2979	CFGB2982	CFGB2984	CFGB2992	CFGB2997	CFGB2999	CFGB3002	CFGB3004	CFGB3009	CFGB3012	CFGB3023	CFGB30287	CFGB30328	CFGB3034	CFGB3038	CFGB3043	CFGB3047	CFGB3048	CFGB3054	CFGB3057	CFGB3062	CFGB3070	CFGB31223	CFGB31455	CFGB3230	CFGB32310	CFGB36777	CFGB38642	CFGB39998	CFGB40326	CFGB41334	CFGB41726	CFGB42704	CFGB4355	CFGB4405	CFGB45503	CFGB4605	CFGB4616	CFGB48199	CFGB49155	CFGB49665	CFGB49681	CFGB52309	CFGB529	CFGB628	CFGB629	CFGB658	CFGB667	CFGB67123	CFGB72728	CFGB72924	CFGB72939	CFGB73062	CFGB73144	CFGB73178	CFGB73497	CFGB73902	CFGB77202	CFGB77220	CFGB77385	CFGB77988	CFGB78183	CFGB78699	CFGB78785	CFGB79291	CFGB79315	CFGB79330	CFGB79760	CFGB8179	CFGB81848	CFGB82250	CFGB82363	CFGB8271	CFGB8301	CFGB84092	CFGB84123	CFGB84435	CFGB84486	CFGB88346	CFGB88349	CFGB88367	CFGB88381	CFGB88483	CFGB88649	CFGB89158	CFGB90573	CFGB9115	CFGB9119	CFGB91940	CFGB92029	CFGB92040	CFGB92044	CFGB9272	CFGB9345	CFGB93743	CFGB93792	CFGB93799	CFGB93803	CFGB93863	CFGB94449	CFGB94475	CFGB94479	CFGB94545	CFGB94585	CFGB94588	CFGB94700	CFGB94728	CFGB94730	CFGB94733	CFGB94768	CFGB94810	CFGB94833	CFGB9491	CFGB95106	CFGB9512	CFGB95121	CFGB95179	CFGB9644	CFGB9718	CFGB9989	Clostridia	Coriobacteriia	Cyanophyceae	Desulfovibrionia	Epsilonproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Lentisphaeria	Negativicutes	Opitutia	Synergistia	Tissierellia	Unclassified	UNCLASSIFIED	Verrucomicrobiia
BMT101D14	0.555841452583817	6.68181537538608	0.0005833608674162	0.0004480887822183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.1553571721309	0.0217534422008998	0	0	0	0	0	37.8550729556376	0	6.27418140114729	0	0	0	0	15.45495	0
BMT101D1	0.174381877729089	10.7318745429546	0.0003652065430718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06016282498187	0.249843741338234	0	0	0	0	0	62.8037963330995	0	1.9113381692804	0	0	0	0	15.06825	0
BMT101D30	1.0431235608552	8.83287805982404	37.6854231656981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3611404429211	0.0246446831301367	0	0	0	0.0171202187010395	0	8.37059549489875	0	1.31375682532148	0	0	0	0	8.35001	0.0013014299012567
BMT101D-7	0.0032296407662478	6.18260599139604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.4195029375535	0.0504217599960468	0	0	0	0	0	53.2103982361688	0	6.59565110091653	0	0	0	0	10.53627	0.0019234702624467
BMT101D7	0.236845476185526	21.9322463413326	0.6368617593045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5473791263816	0.501547480848697	0	0	0	0.0583210865266059	0	34.9606883907523	0	4.77160238219402	0	0	0	0	13.3545	0
BMT102D10	0.0825397292057462	0.913904089397886	18.3523732002316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0848586845945783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.8058500513311	0	0	0	0	12.8063557216417	0	0	0	2.19012139168098	0	0	0	0.0304669260841676	5.73352	0
BMT102D14	17.5558400527444	28.4739726775471	0.0046948641216445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447368751065986	0	0	0	0	0	0.0043166438946819	0	0.0182779035769102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114123842396542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7628251830391	12.2183879876693	0	0	0	2.48196335111709	0.131094419536778	0	0	3.00749213430278	0	0	0.178043060753223	0.328739154661281	17.77821	0
BMT102D28	6.13639001075915	28.9580368834632	4.4178898942629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543905961094852	0	0	0	0	0	0	0	0	0	0.0001348447574876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9389694745087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.7047062815463	8.5091665223539	0	1.9786638125319	0.01565162363696	4.93266938774041	0	0	0	1.9799833648016	0	0	0.201506226528518	0	3.68232	0
BMT102D3	0.637897951556111	4.46957876528342	3.89523489146022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0559268713937888	0	0	0	0	0	0	0	0	0.0004122814237362	0	0	0	0	0	0	0	0	0.005494098103268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117858711350692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048398254090778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.2903667287919	0	0	0.0102174091969421	0.0408785994274151	10.7024672546075	0	0.176384748241949	0	1.18979041306498	0	0	0.127269482979455	0.0078423096906354	10.3736	0
BMT102D-9	0.79313342244951	3.79691550775776	12.3210264291127	0	0	0	0	0	0	0	0	0	0.0396430102363336	0	0	0	0	0	0	0	0	0	0	0	0	0.0805287204378346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18876149859419	0.723242566252506	0	0	0	0	0.304496745365738	0	0	0	0	3.83148195643426	0	0	0	0	0	0	0	0	0	0	0.264774413855032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049972402854604	0	0	0.113367728028003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164459442198751	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159647284886827	0	0	0.0250831496515352	0	0	0	0	54.5552511757938	4.84877730026014	0	0.918690186306071	0.0247658645540456	2.89223874659081	0	1.00693951078282	0	0.0167367888925739	0	0	0.186969057170649	0.0179618619078808	11.86525	0.0028820063021967
