Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT101D-7_deduped_R1	56.75856201851816	50.0	151.0	151	45.45454545454545	26329731.0
BMT101D-7_deduped_R2	55.648685856226074	49.0	151.0	151	45.45454545454545	26329731.0
BMT101D14_deduped_R1	44.921201193930884	47.0	151.0	151	36.36363636363637	25626625.0
BMT101D14_deduped_R2	44.72459024599023	46.0	151.0	151	36.36363636363637	25626625.0
BMT101D1_deduped_R1	62.373692537612165	54.0	151.0	151	45.45454545454545	23256910.0
BMT101D1_deduped_R2	60.70771893325084	53.0	151.0	151	45.45454545454545	23256910.0
BMT101D30_deduped_R1	47.81938313414944	47.0	151.0	151	27.27272727272727	24992340.0
BMT101D30_deduped_R2	47.01961121605677	47.0	151.0	151	27.27272727272727	24992340.0
BMT101D7_deduped_R1	52.47085829546862	46.0	151.0	151	45.45454545454545	26284986.0
BMT101D7_deduped_R2	51.42765356190818	46.0	151.0	151	45.45454545454545	26284986.0
BMT102D-9_deduped_R1	23.617937932991893	48.0	151.0	151	27.27272727272727	28449451.0
BMT102D-9_deduped_R2	22.439515280783354	47.0	151.0	151	27.27272727272727	28449451.0
BMT102D10_deduped_R1	30.381665726243995	45.0	151.0	151	27.27272727272727	18121247.0
BMT102D10_deduped_R2	30.070725728524735	45.0	151.0	151	27.27272727272727	18121247.0
BMT102D14_deduped_R1	28.955616693726228	45.0	151.0	151	27.27272727272727	14547089.0
BMT102D14_deduped_R2	27.56560148908295	45.0	151.0	151	27.27272727272727	14547089.0
BMT102D28_deduped_R1	35.887508746920744	46.0	151.0	151	27.27272727272727	30083162.0
BMT102D28_deduped_R2	35.60601019579478	45.0	151.0	151	27.27272727272727	30083162.0
BMT102D3_deduped_R1	37.898837770949946	43.0	151.0	151	27.27272727272727	23236536.0
BMT102D3_deduped_R2	36.31273508256771	42.0	151.0	151	27.27272727272727	23236536.0
BMT103D-1_deduped_R1	20.323316477117615	45.0	151.0	151	27.27272727272727	23117877.0
BMT103D-1_deduped_R2	19.74339118187403	45.0	151.0	151	27.27272727272727	23117877.0
BMT103D-8_deduped_R1	21.039674970444565	47.0	151.0	151	27.27272727272727	21491446.0
BMT103D-8_deduped_R2	20.496783008775537	46.0	151.0	151	27.27272727272727	21491446.0
BMT103D14_deduped_R1	25.98805695969652	46.0	151.0	151	27.27272727272727	23179387.0
BMT103D14_deduped_R2	25.220420391300024	46.0	151.0	151	27.27272727272727	23179387.0
BMT103D24_deduped_R1	28.237674281764626	44.0	151.0	151	27.27272727272727	20629778.0
BMT103D24_deduped_R2	25.99419381326436	44.0	151.0	151	27.27272727272727	20629778.0
BMT103D27_deduped_R1	25.343033884883653	46.0	151.0	151	27.27272727272727	33336087.0
BMT103D27_deduped_R2	24.691233624372188	45.0	151.0	151	27.27272727272727	33336087.0
BMT103D8_deduped_R1	25.823821873137803	46.0	151.0	151	27.27272727272727	20430677.0
BMT103D8_deduped_R2	24.36602135967682	45.0	151.0	151	27.27272727272727	20430677.0
BMT104D-53_deduped_R1	24.59896791568646	50.0	151.0	151	27.27272727272727	24511917.0
BMT104D-53_deduped_R2	25.085024935901373	50.0	151.0	151	27.27272727272727	24511917.0
BMT104D0_deduped_R1	29.857783249789094	48.0	151.0	151	27.27272727272727	20250354.0
BMT104D0_deduped_R2	28.35053947879541	47.0	151.0	151	27.27272727272727	20250354.0
BMT104D14_deduped_R1	24.794216125227834	48.0	151.0	151	27.27272727272727	22194115.0
BMT104D14_deduped_R2	24.03122264789772	47.0	151.0	151	27.27272727272727	22194115.0
BMT104D24_deduped_R1	27.664027988055466	48.0	151.0	151	27.27272727272727	21246868.0
BMT104D24_deduped_R2	26.66154706071903	47.0	151.0	151	27.27272727272727	21246868.0
BMT104D29_deduped_R1	15.175993669007028	48.0	151.0	151	18.181818181818183	10548106.0
BMT104D29_deduped_R2	14.516996732298665	48.0	151.0	151	27.27272727272727	10548106.0
BMT104D7_deduped_R1	32.48613367198374	45.0	151.0	151	27.27272727272727	23922286.0
BMT104D7_deduped_R2	30.76964130585202	45.0	151.0	151	27.27272727272727	23922286.0
BMT105D-1_deduped_R1	27.984473280399953	45.0	151.0	151	27.27272727272727	24787004.0
BMT105D-1_deduped_R2	27.649064624176347	44.0	151.0	151	27.27272727272727	24787004.0
BMT105D-8_deduped_R1	20.101466157460052	45.0	151.0	151	27.27272727272727	20295031.0
BMT105D-8_deduped_R2	19.576167011475007	44.0	151.0	151	27.27272727272727	20295031.0
BMT105D7_deduped_R1	36.690953140727736	45.0	151.0	151	18.181818181818183	23518930.0
BMT105D7_deduped_R2	36.06116798679544	44.0	151.0	151	27.27272727272727	23518930.0
BMT106D0_deduped_R1	32.31894739737413	46.0	151.0	151	27.27272727272727	21778283.0
BMT106D0_deduped_R2	31.873465744972634	45.0	151.0	151	27.27272727272727	21778283.0
BMT106D14_deduped_R1	19.960029736399804	47.0	151.0	151	27.27272727272727	17496254.0
BMT106D14_deduped_R2	17.90313293333871	46.0	151.0	151	27.27272727272727	17496254.0
BMT106PRE_deduped_R1	14.342680885843833	50.0	151.0	151	27.27272727272727	20681518.0
BMT106PRE_deduped_R2	14.323737966989768	50.0	151.0	151	27.27272727272727	20681518.0
BMT108D-33_deduped_R1	11.32659891822189	48.0	151.0	151	27.27272727272727	17121805.0
BMT108D-33_deduped_R2	11.432432750937949	47.0	151.0	151	27.27272727272727	17121805.0
BMT108D0_deduped_R1	27.464809709322992	50.0	151.0	151	27.27272727272727	22275359.0
BMT108D0_deduped_R2	25.7567589518288	50.0	151.0	151	27.27272727272727	22275359.0
BMT108PRE_deduped_R1	16.48236672440767	47.0	151.0	151	27.27272727272727	21593841.0
BMT108PRE_deduped_R2	15.698902513775664	47.0	151.0	151	27.27272727272727	21593841.0
BMT109D-6_deduped_R1	17.70627665319759	47.0	151.0	151	27.27272727272727	17022407.0
BMT109D-6_deduped_R2	16.464313390502227	45.0	151.0	151	27.27272727272727	17022407.0
BMT109D0_deduped_R1	35.937844578822876	45.0	151.0	151	18.181818181818183	28097602.0
BMT109D0_deduped_R2	34.2644110084336	45.0	151.0	151	18.181818181818183	28097602.0
BMT109D14_deduped_R1	18.948710311970686	46.0	151.0	151	27.27272727272727	15896774.0
BMT109D14_deduped_R2	18.893077259166006	45.0	151.0	151	27.27272727272727	15896774.0
BMT109d29_deduped_R1	10.28378922946446	47.0	151.0	151	27.27272727272727	11440031.0
BMT109d29_deduped_R2	9.854453583084023	46.0	151.0	151	27.27272727272727	11440031.0
BMT110D-9_deduped_R1	23.04299205704676	44.0	151.0	151	27.27272727272727	15777970.0
BMT110D-9_deduped_R2	21.88820947531346	44.0	151.0	151	27.27272727272727	15777970.0
BMT110D15_deduped_R1	24.47018810356745	49.0	151.0	151	27.27272727272727	19975158.0
BMT110D15_deduped_R2	25.083449553782714	47.0	151.0	151	27.27272727272727	19975158.0
