Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT101D-7_trimmed_1	53.53413301019338	49.0	137.24762385504349	151	36.36363636363637	26324362.0
BMT101D-7_trimmed_2	52.41273171409737	49.0	137.22934303213123	151	36.36363636363637	26324362.0
BMT101D14_trimmed_1	40.23485535053426	45.0	129.98649335148994	151	27.27272727272727	25621530.0
BMT101D14_trimmed_2	39.98066380272666	45.0	130.01956979149958	151	27.27272727272727	25621530.0
BMT101D1_trimmed_1	59.81173586829308	53.0	140.06847413695826	151	36.36363636363637	23253568.0
BMT101D1_trimmed_2	58.129333745493355	53.0	140.03406634199104	151	36.36363636363637	23253568.0
BMT101D30_trimmed_1	42.882472395106895	46.0	130.57168139765355	151	18.181818181818183	24986106.0
BMT101D30_trimmed_2	42.04402121467351	46.0	130.58274266506353	151	18.181818181818183	24986106.0
BMT101D7_trimmed_1	50.05284011279606	46.0	140.42241825241942	151	36.36363636363637	26279738.0
BMT101D7_trimmed_2	49.00848871689883	46.0	140.39389528921484	151	27.27272727272727	26279738.0
BMT102D-9_trimmed_1	21.906971441045584	47.0	137.5553925750383	151	18.181818181818183	28441709.0
BMT102D-9_trimmed_2	20.722641372522588	47.0	137.55532172838136	151	18.181818181818183	28441709.0
BMT102D10_trimmed_1	27.698145587661443	43.0	133.72844359946825	151	18.181818181818183	18116487.0
BMT102D10_trimmed_2	27.335150098536943	43.0	133.72892995203762	151	18.181818181818183	18116487.0
BMT102D14_trimmed_1	28.263954574186442	45.0	145.45957699563232	151	27.27272727272727	14542734.0
BMT102D14_trimmed_2	26.90950996915565	45.0	145.44208289858014	151	27.27272727272727	14542734.0
BMT102D28_trimmed_1	31.86503728913476	43.0	127.7529010989011	151	27.27272727272727	30075500.0
BMT102D28_trimmed_2	31.599381070675236	43.0	127.84152256820336	151	27.27272727272727	30075500.0
BMT102D3_trimmed_1	36.547793078176646	42.0	142.06515987152608	151	18.181818181818183	23228683.0
BMT102D3_trimmed_2	34.95296297910751	42.0	142.04999947693977	151	18.181818181818183	23228683.0
BMT103D-1_trimmed_1	19.678790740049266	45.0	143.28561568227818	151	18.181818181818183	23111336.0
BMT103D-1_trimmed_2	19.08326095678663	45.0	143.27372684123497	151	18.181818181818183	23111336.0
BMT103D-8_trimmed_1	20.033924803896554	46.0	141.20445074381135	151	18.181818181818183	21485757.0
BMT103D-8_trimmed_2	19.47783710660744	46.0	141.17360570539824	151	18.181818181818183	21485757.0
