SampleID	Acidaminococcaceae	Acidilutibacteraceae	Actinomycetaceae	Acutalibacteraceae	Aerococcaceae	Akkermansiaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Beduinellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	Campylobacteraceae	Candidatus_Nanogingivalaceae	Candidatus_Nanoperiomorbaceae	Candidatus_Nanosynbacteraceae	Candidatus_Nanosyncoccaceae	Carnobacteriaceae	Cellulosilyticaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Dethiosulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_incertae_sedis	Feifaniaceae	FGB10055	FGB1011	FGB1012	FGB10197	FGB10318	FGB1126	FGB11479	FGB11739	FGB11916	FGB1192	FGB1201	FGB12107	FGB1211	FGB1217	FGB1218	FGB1258	FGB1260	FGB1262	FGB1292	FGB1296	FGB1298	FGB1306	FGB1320	FGB1347	FGB1354	FGB1359	FGB1374	FGB1380	FGB14224	FGB1473	FGB14936	FGB15212	FGB1539	FGB1670	FGB1765	FGB1780	FGB1781	FGB2106	FGB2164	FGB2378	FGB2403	FGB2404	FGB2834	FGB28369	FGB2838	FGB28386	FGB2839	FGB2840	FGB2844	FGB2845	FGB2846	FGB2875	FGB2880	FGB2881	FGB2889	FGB2890	FGB2893	FGB28941	FGB2906	FGB2915	FGB2917	FGB2918	FGB2919	FGB2920	FGB2930	FGB2932	FGB2937	FGB2949	FGB2952	FGB2959	FGB2960	FGB2979	FGB2982	FGB2984	FGB2992	FGB2997	FGB2999	FGB3002	FGB3004	FGB3009	FGB3012	FGB3023	FGB30287	FGB30328	FGB3034	FGB3038	FGB3043	FGB3047	FGB3048	FGB3054	FGB3057	FGB3062	FGB3070	FGB31223	FGB31455	FGB3230	FGB32310	FGB36777	FGB38642	FGB39998	FGB40326	FGB41334	FGB41726	FGB42704	FGB4355	FGB4405	FGB45503	FGB4605	FGB4616	FGB48199	FGB49155	FGB49665	FGB49681	FGB52309	FGB529	FGB628	FGB629	FGB658	FGB667	FGB67123	FGB72728	FGB72924	FGB72939	FGB73062	FGB73144	FGB73178	FGB73497	FGB73902	FGB77202	FGB77220	FGB77385	FGB77988	FGB78183	FGB78699	FGB78785	FGB79291	FGB79315	FGB79330	FGB79760	FGB8179	FGB81848	FGB82250	FGB82363	FGB8271	FGB8301	FGB84092	FGB84123	FGB84435	FGB84486	FGB88346	FGB88349	FGB88367	FGB88381	FGB88483	FGB88649	FGB89158	FGB90573	FGB9115	FGB9119	FGB91940	FGB92029	FGB92040	FGB92044	FGB9272	FGB9345	FGB93743	FGB93792	FGB93799	FGB93803	FGB93863	FGB94449	FGB94475	FGB94479	FGB94545	FGB94585	FGB94588	FGB94700	FGB94728	FGB94730	FGB94733	FGB94768	FGB94810	FGB94833	FGB9491	FGB95106	FGB9512	FGB95121	FGB95179	FGB9644	FGB9718	FGB9989	Fusobacteriaceae	Gemellaceae	Hafniaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Listeriaceae	Lysobacteraceae	Maliibacteriaceae	Micrococcaceae	Monoglobaceae	Morganellaceae	Muribaculaceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Rikenellaceae	Selenomonadaceae	Sirenicapillariaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Tropherymataceae	Turicibacteraceae	Unclassified	UNCLASSIFIED	Veillonellaceae	Victivallaceae	Yeguiaceae
BMT101D-7	0	0	10527	0	0	10574	0	0	12907	0	0	0	0	0	0	0	0	0	0	0	0	0	55488	0	0	9315847	0	0	0	0	0	0	31759841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8263	216767	21297	77976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22878	0	0	0	0	0	0	0	0	0	0	0	0	1188067	0	0	0	0	0	0	0	5211114	1547281	0	0
BMT101D1	0	0	108580	0	0	0	0	26383	36781	0	18140	0	0	0	4904	0	0	0	0	0	0	0	249105	0	0	2655930	0	0	0	0	0	0	32493336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31648	0	11124	20991	0	0	0	0	0	7000	0	0	0	0	0	0	0	0	0	0	44554	0	0	0	0	0	0	0	0	0	0	1587909	0	0	0	0	0	0	0	6680104	355838	0	0
BMT101D14	0	0	139117	0	0	0	0	16067	8706	0	13123	0	0	0	31399	12966	0	0	0	0	0	0	64606	0	0	8383142	0	0	0	0	0	0	21670799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33899	17473	9892	66555	0	0	0	0	0	0	0	989319	0	0	0	0	0	0	76998	0	4701319	0	0	0	11063	0	0	0	0	0	0	1378533	0	0	0	11980	0	0	0	7138120	1411560	0	0
BMT101D30	0	0	195151	0	0	8586	0	12723	6736	0	13951	0	0	0	14497	0	0	0	0	0	0	0	18653	0	0	340750	0	0	0	0	0	0	2628619	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15696	0	18779816	54396	0	0	0	0	0	6967	0	879337	0	0	0	0	0	0	0	0	672997	0	0	0	0	0	0	0	0	0	0	1372559	0	0	0	15940494	0	0	0	3755477	249348	0	0
BMT101D7	0	0	59356	0	0	0	0	21009	93076	0	0	0	0	0	33786	0	0	0	0	0	0	0	187270	0	0	10948958	0	0	0	0	0	0	24116050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13788	67198	30334	100952	0	0	0	0	0	0	0	371790	0	0	0	0	0	0	74595	0	172890	0	0	0	0	0	0	0	0	0	0	5475103	0	0	0	415917	0	23527	0	6698883	1257511	0	0
BMT102D-9	0	0	155194	1129980	0	9929	0	15119	11243	0	9210547	0	0	0	179129	0	47011	11861	0	0	0	0	0	0	46327	633039	437346	0	0	534938	0	2620885	800293	1283003	840620	398643	208650	1319222	0	0	0	0	0	0	16999	0	0	0	0	0	0	0	0	0	0	0	0	25803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415773	323135	0	0	0	0	121577	0	0	0	0	1404094	0	0	0	0	0	0	0	0	0	0	96066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7507	0	0	42103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44761	0	0	0	0	0	0	0	0	0	0	0	0	0	60111	0	0	14918	0	0	0	0	0	14553	0	19044007	0	0	0	0	0	0	0	0	0	0	0	0	3731921	0	0	0	65621	716622	27624	13234	0	9945	0	0	0	8496	0	0	245509	0	0	0	193474	0	48830	342940	6319489	12385	0	0
BMT102D10	0	0	46252	0	0	0	0	0	0	0	8694711	0	0	0	0	0	175195	0	0	0	0	0	0	0	0	199972	2924254	0	0	0	0	0	0	0	1082677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36939	0	14116089	0	0	0	0	0	0	0	0	0	0	0	0	2913511	0	0	0	0	672185	0	0	0	0	0	0	0	0	0	0	123405	0	0	0	12287	0	0	5085	1909972	378340	0	0
BMT102D14	0	0	3524027	0	0	0	0	613581	2376633	0	26404	0	0	0	2215297	0	0	0	0	0	0	0	417925	0	0	64148	629876	0	0	0	0	43202	0	39640	369851	0	36909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10784	0	0	0	0	0	5139	0	5046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45434	241865	0	500292	41517	0	0	0	0	0	357249	0	0	0	0	0	24114	0	0	0	42099	3268582	0	0	0	0	0	0	0	0	0	7141	7284967	0	0	0	0	0	0	64451	4980380	771946	0	0
BMT102D28	0	0	48619	0	0	0	0	20858	46696	0	3667349	0	0	0	2583154	0	0	10536	0	0	0	0	26401	0	156474	5768963	2693893	0	0	1260271	0	5019100	0	12383062	8620	116315	6187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187339	0	0	0	0	0	0	0	0	0	4222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5244	0	4203881	113467	0	0	0	0	0	0	0	0	0	0	0	4529158	0	10119	0	58852	6338582	0	0	11315	0	0	0	0	0	0	11383	199538	0	0	0	0	0	0	0	1974986	584347	0	0
BMT102D3	0	0	248735	26112	0	0	0	10865	0	0	2766748	0	0	0	0	0	75582	14424	0	0	0	0	12215	0	0	191848	3688376	0	0	15470	0	0	145741	1420593	1280169	0	6456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17991	0	0	0	0	0	0	0	0	9284	0	0	0	0	0	0	0	0	4522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42235	0	26523285	6881	0	0	0	0	0	0	0	0	0	0	0	2060842	0	0	0	50112	838247	6254	0	0	9985	0	0	0	0	0	0	202345	0	0	0	0	0	37975	8304	4635091	311941	0	0
