SampleID	Acidaminococcaceae	Acidilutibacteraceae	Actinomycetaceae	Acutalibacteraceae	Aerococcaceae	Akkermansiaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Beduinellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	Campylobacteraceae	Candidatus_Nanogingivalaceae	Candidatus_Nanoperiomorbaceae	Candidatus_Nanosynbacteraceae	Candidatus_Nanosyncoccaceae	Carnobacteriaceae	Cellulosilyticaceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Dethiosulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_incertae_sedis	Feifaniaceae	FGB10055	FGB1011	FGB1012	FGB10197	FGB10318	FGB1126	FGB11479	FGB11739	FGB11916	FGB1192	FGB1201	FGB12107	FGB1211	FGB1217	FGB1218	FGB1258	FGB1260	FGB1262	FGB1292	FGB1296	FGB1298	FGB1306	FGB1320	FGB1347	FGB1354	FGB1359	FGB1374	FGB1380	FGB14224	FGB1473	FGB14936	FGB15212	FGB1539	FGB1670	FGB1765	FGB1780	FGB1781	FGB2106	FGB2164	FGB2378	FGB2403	FGB2404	FGB2834	FGB28369	FGB2838	FGB28386	FGB2839	FGB2840	FGB2844	FGB2845	FGB2846	FGB2875	FGB2880	FGB2881	FGB2889	FGB2890	FGB2893	FGB28941	FGB2906	FGB2915	FGB2917	FGB2918	FGB2919	FGB2920	FGB2930	FGB2932	FGB2937	FGB2949	FGB2952	FGB2959	FGB2960	FGB2979	FGB2982	FGB2984	FGB2992	FGB2997	FGB2999	FGB3002	FGB3004	FGB3009	FGB3012	FGB3023	FGB30287	FGB30328	FGB3034	FGB3038	FGB3043	FGB3047	FGB3048	FGB3054	FGB3057	FGB3062	FGB3070	FGB31223	FGB31455	FGB3230	FGB32310	FGB36777	FGB38642	FGB39998	FGB40326	FGB41334	FGB41726	FGB42704	FGB4355	FGB4405	FGB45503	FGB4605	FGB4616	FGB48199	FGB49155	FGB49665	FGB49681	FGB52309	FGB529	FGB628	FGB629	FGB658	FGB667	FGB67123	FGB72728	FGB72924	FGB72939	FGB73062	FGB73144	FGB73178	FGB73497	FGB73902	FGB77202	FGB77220	FGB77385	FGB77988	FGB78183	FGB78699	FGB78785	FGB79291	FGB79315	FGB79330	FGB79760	FGB8179	FGB81848	FGB82250	FGB82363	FGB8271	FGB8301	FGB84092	FGB84123	FGB84435	FGB84486	FGB88346	FGB88349	FGB88367	FGB88381	FGB88483	FGB88649	FGB89158	FGB90573	FGB9115	FGB9119	FGB91940	FGB92029	FGB92040	FGB92044	FGB9272	FGB9345	FGB93743	FGB93792	FGB93799	FGB93803	FGB93863	FGB94449	FGB94475	FGB94479	FGB94545	FGB94585	FGB94588	FGB94700	FGB94728	FGB94730	FGB94733	FGB94768	FGB94810	FGB94833	FGB9491	FGB95106	FGB9512	FGB95121	FGB95179	FGB9644	FGB9718	FGB9989	Fusobacteriaceae	Gemellaceae	Hafniaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Listeriaceae	Lysobacteraceae	Maliibacteriaceae	Micrococcaceae	Monoglobaceae	Morganellaceae	Muribaculaceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Rikenellaceae	Selenomonadaceae	Sirenicapillariaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Tropherymataceae	Turicibacteraceae	Unclassified	UNCLASSIFIED	Veillonellaceae	Victivallaceae	Yeguiaceae
BMT101D14	0	0	0.396888297970868	0	0	0	0	0.0722099299797456	0.0217534422008998	0	0.0001099085692233	0	0	0	0.154675174918563	0.0004480887822183	0	0	0	0	0	0	0.31209806406771	0	0	20.8820955186024	0	0	0	0	0	0	35.1549998625594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173824629479402	0.0133834819292749	0.0005410883407919	0.238239505549614	0	0	0	0	0	0	0	2.3583166243309	0	0	0	0	0	0	0.328381441323417	0	12.2005021807027	0	0	0	0.004277979694386	0	0	0	0	0	0	5.95766163079467	0	0	0	0.0004734522981929	0	0	0	15.45495	6.27418140114729	0	0
BMT101D1	0	0	0.165956647712176	0	0	0	0	0.167230624025217	0.249843741338234	0	0.0003652065430718	0	0	0	0.0020893211533876	0	0	0	0	0	0	0	1.51602331934369	0	0	8.73830544925512	0	0	0	0	0	0	62.8037963330995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191877819094856	0	0.0032613793613856	0.0357732548701988	0	0	0	0	0	0.0063359088635252	0	0	0	0	0	0	0	0	0	0	0.151356879164723	0	0	0	0	0	0	0	0	0	0	8.98820014964588	0	0	0	0	0	0	0	15.06825	1.9113381692804	0	0
BMT101D30	0	0	0.948788223012698	0	0	0.0013014299012567	0	0.0667120299383656	0.0246446831301367	0	0.0022637548282423	0	0	0	0.0854636185156284	0	0	0	0	0	0	0	0.10924679171113	0	0	0.990305669862649	0	0	0	0	0	0	5.62651221810027	0	0.0171202187010395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909534530990988	0	31.3565603908872	0.14433957404854	0	0	0	0	0	0.008871719326877	0	2.74408327679848	0	0	0	0	0	0	0	0	1.94755318723352	0	0	0	0	0	0	0	0	0	0	8.48834740596457	0	0	0	37.6831685758692	0	0	0	8.35001	1.31375682532148	0	0
BMT101D-7	0	0	0.0032296407662478	0	0	0.0019234702624467	0	0	0.0504217599960468	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276621862859788	0	0	23.4142156309251	0	0	0	0	0	0	52.6959101996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219633464851481	0.421669413394903	0.0052873066284002	0.234806513991527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0928096767563856	0	0	0	0	0	0	0	0	0	0	0	0	5.64921426805957	0	0	0	0	0	0	0	10.53627	6.59565110091653	0	0
BMT101D7	0	0	0.0868881081100585	0	0	0	0	0.0929186349593406	0.501547480848697	0	0	0	0	0	0.149957368075467	0	0	0	0	0	0	0	0.794435266892207	0	0	23.02711621738	0	0	0	0	0	0	33.8361337661624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0512161554685436	0.0793932722988099	0.0041676485840584	0.36359917917137	0	0	0	0	0	0	0	0.763910056992751	0	0	0	0	0	0	0.281242630748344	0	0.423176625458243	0	0	0	0	0	0	0	0	0	0	20.7229957398004	0	0	0	0.6368617593045	0	0.0583210865266059	0	13.3545	4.77160238219402	0	0
BMT102D10	0	0	0.0825397292057462	0	0	0	0	0	0	0	18.3519584277231	0	0	0	0	0	0.752595290155226	0	0	0	0	0	0	0	0	0.349031065962992	10.0341199674764	0	0	0	0	0	0	0	2.77224518081328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0848586845945783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228520798927101	0	46.443388088822	0	0	0	0	0	0	0	0	0	0	0	0	9.79516386929951	0	0	0	0	2.46567173709134	0	0	0	0	0	0	0	0	0	0	0.685383290470785	0	0	0	0.0004147725085715	0	0	0.0304669260841676	5.73352	2.19012139168098	0	0
BMT102D14	0	0	10.3918309568053	0	0	0	0	2.90554533877867	12.0496277668343	0	0.0046948641216445	0	0	0	5.97283737983578	0	0	0	0	0	0	0	1.75760583905292	0	0	0.0928119548250846	1.3737863082955	0	0	0	0	0.168760220834945	0	0.104298338674362	1.10817704282159	0	0.162733363740085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447368751065986	0	0	0	0	0	0.0043166438946819	0	0.0182779035769102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114123842396542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131094419536778	1.10228174058828	0	0.844294434905547	0.0773131476984648	0	0	0	0	0	1.19117171610334	0	0	0	0	0	0.007498627108476	0	0	0	0.178043060753223	13.7499414636813	0	0	0	0	0	0	0	0	0	0.0019486563867421	25.4305331773251	0	0	0	0	0	0	0.328739154661281	17.77821	3.00749213430278	0	0
BMT102D28	0	0	0.0627702346105038	0	0	0	0	0.0682025519835779	0.139631746378468	0	4.4178898942629	0	0	0	6.07022939367467	0	0	0.01565162363696	0	0	0	0	0.065813873422368	0	0.432418241957737	8.23076988875225	4.92791129415478	0	0	1.9786638125319	0	8.36954440774383	0	28.2116615190006	0.0047580935856358	0.181578097725521	0.0055093715202099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543905961094852	0	0	0	0	0	0	0	0	0	0.0001348447574876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9389694745087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025042597819136	0	7.25828876128806	0.187000783330203	0	0	0	0	0	0	0	0	0	0	0	8.66602950238562	0	0.0018492995312592	0	0.201506226528518	9.86190023416489	0	0	0.0034000142423673	0	0	0	0	0	0	0.0079751042285556	0.481222412399876	0	0	0	0	0	0	0	3.68232	1.9799833648016	0	0
BMT102D3	0	0	0.634608662805867	0.0425187624827138	0	0	0	0.0304729747978977	0	0	3.89318244698118	0	0	0	0	0	0.206436478976464	0.0408785994274151	0	0	0	0	0.0175129978691447	0	0	0.26619936013893	8.14971926786871	0	0	0.0102174091969421	0	0	0.176384748241949	3.74451914316568	2.46353387169816	0	0.0108268686929001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0559268713937888	0	0	0	0	0	0	0	0	0.0004122814237362	0	0	0	0	0	0	0	0	0.005494098103268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117858711350692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048398254090778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15311773571979	0	61.3651501773388	0.004293104390645	0	0	0	0	0	0	0	0	0	0	0	4.42494481984415	0	0	0	0.127269482979455	1.94294791047431	0.0020524444790348	0	0	0.0032892887502436	0	0	0	0	0	0	0.550144746777812	0	0	0	0	0	0.0892230776803153	0.0087116857363401	10.3736	1.18979041306498	0	0
BMT102D-9	0	0	0.314923086208242	3.10422925908848	0	0.0028820063021967	0	0.0492320709604623	0.0060901111768133	0	11.9942932864979	0	0	0	0.477628646895871	0	0.0970011050825005	0.0247658645540456	0	0	0	0	0	0	0.133136352296588	1.15826687533547	0.962898576556282	0	0	0.918690186306071	0	4.84268718908333	1.00693951078282	3.17618246841917	1.81848428236165	0.859040587978035	0.48356892899887	3.51693784964802	0	0	0	0	0	0	0.0396430102363336	0	0	0	0	0	0	0	0	0	0	0	0	0.0805287204378346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18876149859419	0.723242566252506	0	0	0	0	0.304496745365738	0	0	0	0	3.83148195643426	0	0	0	0	0	0	0	0	0	0	0.264774413855032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049972402854604	0	0	0.113367728028003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164459442198751	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159647284886827	0	0	0.0250831496515352	0	0	0	0	0	0.0278858346793596	0	34.9168283723535	0	0	0	0	0	0	0	0	0	0	0	0	7.8581823825739	0	0	0	0.121396803689475	1.58092587909128	0.0509947659465153	0.0180147427574624	0	0.0005816893453975	0	0	0	0.0103999004177131	0	0	0.59284720465923	0	0	0	0.25772363391082	0	0.110855887672878	0.881435627775839	11.86525	0.0063280749999305	0	0
