SampleID	Acidaminococcales	Actinomycetales	Aeromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Candidatus_Gastranaerophilales	Candidatus_Nanogingivales	Candidatus_Nanoperiomorbales	Candidatus_Nanosynbacterales	Candidatus_Nanosyncoccales	Christensenellales	Coriobacteriales	Desulfovibrionales	Eggerthellales	Enterobacterales	Erysipelotrichales	Eubacteriales	Fusobacteriales	Lachnospirales	Lactobacillales	Lysobacterales	Micrococcales	Monoglobales	Mycobacteriales	Neisseriales	OFGB10055	OFGB1011	OFGB1012	OFGB10197	OFGB10318	OFGB1126	OFGB11479	OFGB11739	OFGB11916	OFGB1192	OFGB1201	OFGB12107	OFGB1211	OFGB1217	OFGB1218	OFGB1258	OFGB1260	OFGB1262	OFGB1292	OFGB1296	OFGB1298	OFGB1306	OFGB1320	OFGB1347	OFGB1354	OFGB1359	OFGB1374	OFGB1380	OFGB14224	OFGB1473	OFGB14936	OFGB15212	OFGB1539	OFGB1670	OFGB1765	OFGB1780	OFGB1781	OFGB2106	OFGB2164	OFGB2378	OFGB2403	OFGB2404	OFGB2834	OFGB28369	OFGB2838	OFGB28386	OFGB2839	OFGB2840	OFGB2844	OFGB2845	OFGB2846	OFGB2875	OFGB2880	OFGB2881	OFGB2889	OFGB2890	OFGB2893	OFGB28941	OFGB2906	OFGB2915	OFGB2917	OFGB2918	OFGB2919	OFGB2920	OFGB2930	OFGB2932	OFGB2937	OFGB2949	OFGB2952	OFGB2959	OFGB2960	OFGB2979	OFGB2982	OFGB2984	OFGB2992	OFGB2997	OFGB2999	OFGB3002	OFGB3004	OFGB3009	OFGB3012	OFGB3023	OFGB30287	OFGB30328	OFGB3034	OFGB3038	OFGB3043	OFGB3047	OFGB3048	OFGB3054	OFGB3057	OFGB3062	OFGB3070	OFGB31223	OFGB31455	OFGB3230	OFGB32310	OFGB36777	OFGB38642	OFGB39998	OFGB40326	OFGB41334	OFGB41726	OFGB42704	OFGB4355	OFGB4405	OFGB45503	OFGB4605	OFGB4616	OFGB48199	OFGB49155	OFGB49665	OFGB49681	OFGB52309	OFGB529	OFGB628	OFGB629	OFGB658	OFGB667	OFGB67123	OFGB72728	OFGB72924	OFGB72939	OFGB73062	OFGB73144	OFGB73178	OFGB73497	OFGB73902	OFGB77202	OFGB77220	OFGB77385	OFGB77988	OFGB78183	OFGB78699	OFGB78785	OFGB79291	OFGB79315	OFGB79330	OFGB79760	OFGB8179	OFGB81848	OFGB82250	OFGB82363	OFGB8271	OFGB8301	OFGB84092	OFGB84123	OFGB84435	OFGB84486	OFGB88346	OFGB88349	OFGB88367	OFGB88381	OFGB88483	OFGB88649	OFGB89158	OFGB90573	OFGB9115	OFGB9119	OFGB91940	OFGB92029	OFGB92040	OFGB92044	OFGB9272	OFGB9345	OFGB93743	OFGB93792	OFGB93799	OFGB93803	OFGB93863	OFGB94449	OFGB94475	OFGB94479	OFGB94545	OFGB94585	OFGB94588	OFGB94700	OFGB94728	OFGB94730	OFGB94733	OFGB94768	OFGB94810	OFGB94833	OFGB9491	OFGB95106	OFGB9512	OFGB95121	OFGB95179	OFGB9644	OFGB9718	OFGB9989	Oscillatoriales	Pasteurellales	Peptostreptococcales	Propionibacteriales	Pseudomonadales	Puniceicoccales	Selenomonadales	Synergistales	Tissierellales	Unclassified	UNCLASSIFIED	Veillonellales	Verrucomicrobiales	Victivallales
BMT101D14	0	0.396888297970868	0	0.173824629479402	0.0005833608674162	0.154675174918563	0.0004480887822183	0	0	0	0	0	0	0	0.0217534422008998	0	0	37.5266915143142	0	20.8820955186024	0	0.0005410883407919	6.50799074590667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328381441323417	12.2727205651877	0.004277979694386	0	0	0	0	0	0	15.45495	6.27418140114729	0	0
BMT101D1	0	0.165956647712176	0	0.191877819094856	0.0003652065430718	0.0020893211533876	0	0	0	0	0	0	0	0	0.249843741338234	0	0	62.8037963330995	0	8.73830544925512	0	0.0032613793613856	10.5400052170352	0	0.0063359088635252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318587503189941	0	0	0	0	0	0	0	15.06825	1.9113381692804	0	0
BMT101D30	0	0.948788223012698	0	0.0909534530990988	37.6854231656981	0.0854636185156284	0	0	0	0	0	0	0	0	0.0246446831301367	0	0	8.37059549489875	0.0171202187010395	0.990305669862649	0	31.3565603908872	8.74193377172424	0	0.008871719326877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01427438217119	0	0	0	0	0	0	0	8.35001	1.31375682532148	0.0013014299012567	0
BMT101D-7	0	0.0032296407662478	0	0.0219633464851481	0	0	0	0	0	0	0	0	0	0	0.0504217599960468	0	0	53.1175885594125	0	23.4142156309251	0	0.0052873066284002	6.16064264491089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0928096767563856	0	0	0	0	0	0	0	0	10.53627	6.59565110091653	0.0019234702624467	0
BMT101D7	0	0.0868881081100585	0	0.0512161554685436	0.6368617593045	0.149957368075467	0	0	0	0	0	0	0	0	0.501547480848697	0	0	34.6794370954539	0.0583210865266059	23.02711621738	0	0.0041676485840584	21.881030185864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281242630748344	0.516095260417583	0	0	0	0	0	0	0	13.3545	4.77160238219402	0	0
BMT102D10	0	0.0825397292057462	0	0.228520798927101	18.3523732002316	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8063557216417	10.8967902254177	0	46.443388088822	0.685383290470785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0848586845945783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46567173709134	0	0	0	0	0	0	0.0304669260841676	5.73352	2.19012139168098	0	0
BMT102D14	0	10.3918309568053	0	1.10422217479617	0.0046948641216445	5.97283737983578	0	0	0	0	0	0	0	0	12.0496277668343	0	0.168760220834945	0	2.48196335111709	0.263043945673645	0.131094419536778	0.844294434905547	27.3697505027509	0	1.19117171610334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447368751065986	0	0	0	0	0	0.0043166438946819	0	0.0182779035769102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114123842396542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6554868024599	0	0	0	0	0	0.178043060753223	0.328739154661281	17.77821	3.00749213430278	0	0
BMT102D28	0	0.0627702346105038	0	0.0123286635417285	4.4178898942629	6.07022939367467	0	0.01565162363696	0	0	0	0	0	0.432418241957737	0.139631746378468	1.9786638125319	8.36954440774383	0	4.93266938774041	17.0838868603836	0	7.25828876128806	28.9456985881531	0	0.0034000142423673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543905961094852	0	0	0	0	0	0	0	0	0	0.0001348447574876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9389694745087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93010278614847	0	0	0	0	0	0.201506226528518	0	3.68232	1.9799833648016	0	0
BMT102D3	0	0.634608662805867	0	0.15311773571979	3.89523489146022	0	0	0.0408785994274151	0	0	0	0	0	0	0	0.0102174091969421	0	0.176384748241949	10.7024672546075	4.95179566618086	0	61.3651501773388	4.31646102956363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0559268713937888	0	0	0	0	0	0	0	0	0.0004122814237362	0	0	0	0	0	0	0	0	0.005494098103268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117858711350692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048398254090778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97342088527221	0.0032892887502436	0	0	0	0	0.127269482979455	0.0078423096906354	10.3736	1.18979041306498	0	0
BMT102D-9	0	0.314923086208242	0	0.0278858346793596	12.3210264291127	0.477628646895871	0	0.0247658645540456	0	0	0	0	0	0.133136352296588	0.0060901111768133	0.918690186306071	4.84268718908333	1.00693951078282	2.89223874659081	17.8608242312802	0	34.9168283723535	3.7690296730784	0	0	0	0	0	0	0	0	0	0	0.0396430102363336	0	0	0	0	0	0	0	0	0	0	0	0	0.0805287204378346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18876149859419	0.723242566252506	0	0	0	0	0.304496745365738	0	0	0	0	3.83148195643426	0	0	0	0	0	0	0	0	0	0	0.264774413855032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049972402854604	0	0	0.113367728028003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164459442198751	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159647284886827	0	0	0.0250831496515352	0	0	0	0	0	0	1.63015795005174	0.0005816893453975	0	0	0.0103999004177131	0	0.121396803689475	0.0978383852008756	11.86525	0.0063280749999305	0.0028820063021967	0
