SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT101D-7	23434	0	0	0	0	0	0	12214219	0	0	31999486	0	0	0	5211114	10574
BMT101D1	157265	18140	0	0	0	0	0	4983482	0	0	32493336	0	0	0	6680104	0
BMT101D14	190285	25103	0	0	0	0	0	16065573	0	0	22767555	0	0	0	7138120	0
BMT101D30	223351	15954445	0	0	0	0	0	21525920	0	0	3507956	0	0	0	3755477	8586
BMT101D7	186218	415917	0	0	0	0	0	18231342	0	0	24629633	0	0	0	6698883	0
BMT102D-9	2976396	9444879	11861	0	5316	0	0	33157375	0	0	800293	0	534938	0	6319489	9929
BMT102D10	46252	8706998	0	0	5085	0	0	22644069	0	0	0	0	0	0	1909972	0
BMT102D14	8516408	26404	0	0	64451	0	0	14380877	45434	0	0	0	0	0	4980380	0
BMT102D28	7708884	3667349	10536	0	0	0	0	39012316	0	0	0	0	1260271	0	1974986	0
BMT102D3	258720	2773002	14424	0	4062	0	0	36835080	0	0	145741	0	15470	0	4635091	0
BMT103D-1	3278644	12257654	0	0	0	0	0	21982768	31444	0	824965	0	154356	0	6307486	0
BMT103D-8	3750712	5239740	0	0	0	0	0	25524083	8945	0	55701	0	125380	8408	6453717	0
BMT103D14	3381424	240764	0	0	0	0	0	31402282	0	0	0	0	94878	0	7527546	0
BMT103D24	1223063	1352136	0	0	4810	0	0	27792876	15620	0	0	0	224722	7163	7846327	0
BMT103D27	1231458	12550468	0	0	0	0	0	32191304	214701	0	0	0	564848	12185	11040877	12665
BMT103D8	441450	18286475	6607	0	0	0	0	8529397	1352696	0	0	0	1750909	20866	6834853	0
BMT104D-53	6309300	6426186	12152	0	0	0	0	27979014	0	0	0	0	388660	52991	5852927	24450
BMT104D0	6583538	2583395	13905	0	3912	0	0	22563823	0	0	17991	0	202247	27455	6862751	0
BMT104D14	470002	15368827	0	0	0	0	0	16362945	0	0	0	0	169639	10886	6787567	0
BMT104D24	93545	7836964	0	0	0	0	0	24681021	0	0	0	0	421020	29443	4990585	0
BMT104D29	1174524	6998897	0	0	0	0	0	8784470	0	0	0	0	74415	15249	2681623	9542
BMT104D7	406716	7404015	0	0	0	0	0	29225881	0	0	0	0	509224	10802	6467252	0
BMT105D-1	993692	11446338	0	0	18460	0	0	24008476	0	0	280485	0	0	0	9302063	0
BMT105D-8	1133743	2827861	0	0	5654	0	0	30085935	0	0	91122	0	0	0	3857085	0
BMT105D7	22211	19878659	0	0	0	0	0	15235839	0	0	14959	0	0	0	4766048	0
BMT106D0	458586	20145409	14649	0	0	0	0	9578284	0	0	217508	0	14288	12185	9058034	24530
BMT106D14	800630	11006195	0	0	0	0	0	12947392	10119	0	56824	0	89596	7189	5528870	2454159
BMT106PRE	2082824	12960842	0	0	0	0	0	16706191	0	0	17663	0	1006270	74195	5591125	988895
BMT108D-33	2504746	7618218	0	0	0	0	0	13839850	0	0	413856	24207	122051	10709	4904515	90587
BMT108D0	766982	1137141	0	0	9266	0	0	17823852	0	0	9975922	1175760	175084	0	6100919	3973025
BMT108PRE	3717149	10232760	0	0	2451	0	0	19155885	0	0	504072	34057	149679	13004	6477722	131891
BMT109D-6	390694	2535797	0	0	0	0	0	22796131	0	0	0	0	0	0	4593168	0
BMT109D0	1118495	1847078	0	0	0	0	0	42756563	0	0	26480	0	0	10754	7164115	10618
BMT109D14	73670	16880972	0	0	0	0	0	8234691	0	0	0	0	0	0	3647687	1086559
BMT109d29	142214	5965848	0	0	0	0	0	12184112	0	0	0	0	0	0	2400398	22945
BMT110D-9	109477	12688542	0	0	1415	0	0	8824699	0	0	475963	0	0	9222	6932355	0
BMT110D15	622122	12959908	0	0	0	0	0	11164308	0	0	0	0	0	36904	6838884	0
BMT110D24	274670	24215238	0	0	0	0	0	6930710	0	0	0	0	0	9467	7758254	0
BMT110D4	4558089	293457	0	0	3501	0	0	21319448	0	0	1026612	0	0	10299	7666740	8757
BMT111D-8	573610	15889589	4485	22112	0	0	0	13503274	0	0	108094	0	97427	11019	4703751	0
BMT111D21	1235308	1909890	0	0	0	0	0	23063156	0	0	0	0	0	10372	4001561	2788667
BMT111D3	2110649	3044786	0	31240	6000	0	0	37443565	0	0	19428	0	116553	8835	7718458	261464
BMT111D6	864719	11167619	0	0	0	0	0	16701401	0	0	0	0	0	18308	4999054	38922
BMT112D-6	3485666	3770041	0	0	0	0	0	38133148	0	0	153590	0	0	17645	9333450	9576
BMT112D15	1893366	23411048	0	0	0	0	0	26200829	0	0	161556	0	0	31225	8549653	0
BMT112D19	855089	6244220	0	0	0	0	0	19408343	0	0	9653	0	0	31896	5698732	0
BMT112D7	2260918	15295369	0	0	0	0	0	6056849	0	0	0	0	0	0	4536218	0
