Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT101D-7_1	51.79761317410704	49.0	137.2581170647931	151	36.36363636363637	26288382.0
BMT101D-7_2	50.12590661450862	49.0	137.2654344797637	151	36.36363636363637	26288382.0
BMT101D14_1	38.94840304303617	45.0	130.00291553778004	151	27.27272727272727	25595278.0
BMT101D14_2	38.3728346623605	45.0	130.0568592769338	151	27.27272727272727	25595278.0
BMT101D1_1	57.796057049568326	53.0	140.0700178497496	151	36.36363636363637	23245144.0
BMT101D1_2	55.399698857218326	53.0	140.05908773892733	151	36.36363636363637	23245144.0
BMT101D30_1	41.43617654126109	46.0	130.5755530747593	151	18.181818181818183	24968686.0
BMT101D30_2	40.29204174068548	46.0	130.61320203233763	151	18.181818181818183	24968686.0
BMT101D7_1	48.5879109104023	46.0	140.42515838780008	151	27.27272727272727	26264807.0
BMT101D7_2	47.04420217593642	46.0	140.42078116165104	151	27.27272727272727	26264807.0
BMT102D-9_1	21.038901139730854	47.0	137.56597061120556	151	18.181818181818183	28396061.0
BMT102D-9_2	19.566799227582635	47.0	137.58997781417642	151	18.181818181818183	28396061.0
BMT102D10_1	26.62692670158974	43.0	133.73486419267766	151	18.181818181818183	18101859.0
BMT102D10_2	25.926233863096172	43.0	133.76323475947967	151	18.181818181818183	18101859.0
BMT102D14_1	27.63850303716228	45.0	145.5522370539741	151	27.27272727272727	14320553.0
BMT102D14_2	25.94952614367037	45.0	145.55516229017132	151	27.27272727272727	14320553.0
BMT102D28_1	30.884367972665842	43.0	127.75577981164078	151	27.27272727272727	30047692.0
BMT102D28_2	30.48662064770376	43.0	127.87824136376265	151	27.27272727272727	30047692.0
BMT102D3_1	35.28222004655497	42.0	142.0768995177708	151	18.181818181818183	23188767.0
BMT102D3_2	33.26344815236723	42.0	142.08430090310537	151	18.181818181818183	23188767.0
BMT103D-1_1	19.118324465484136	45.0	143.31811710491272	151	18.181818181818183	23071705.0
BMT103D-1_2	18.302169517408245	45.0	143.32885428276757	151	18.181818181818183	23071705.0
BMT103D-8_1	19.390472988011638	46.0	141.20697172767294	151	18.181818181818183	21476513.0
BMT103D-8_2	18.732310206861428	46.0	141.1990086565729	151	18.181818181818183	21476513.0
BMT103D14_1	23.026138393302304	44.0	133.74931341517203	151	18.181818181818183	23155551.0
BMT103D14_2	22.10040012784475	44.0	133.8329968481424	151	18.181818181818183	23155551.0
BMT103D24_1	25.71152185588589	43.0	137.47582261920954	151	18.181818181818183	20558844.0
BMT103D24_2	22.97063502722399	43.0	137.51524472874058	151	18.181818181818183	20558844.0
BMT103D27_1	21.18119591609637	43.0	125.54115486548739	151	18.181818181818183	33252496.0
BMT103D27_2	20.305468405804234	43.0	125.68723749338997	151	18.181818181818183	33252496.0
BMT103D8_1	22.8720434360974	44.0	134.15350129306108	151	18.181818181818183	20282878.0
BMT103D8_2	20.94036299200522	44.0	134.29101200529826	151	18.181818181818183	20282878.0
BMT104D-53_1	22.73238140329717	49.0	139.12852988250285	151	18.181818181818183	24491573.0
BMT104D-53_2	23.010105689393868	49.0	139.14361364212908	151	18.181818181818183	24491573.0
BMT104D0_1	27.730847456449084	47.0	141.92490176514738	151	18.181818181818183	20227546.0
BMT104D0_2	25.969880003359904	47.0	141.92673935829882	151	18.181818181818183	20227546.0
BMT104D14_1	21.22747939712751	46.0	128.99172111626896	151	18.181818181818183	22168206.0
BMT104D14_2	20.119794634496145	46.0	129.17305432834755	151	18.181818181818183	22168206.0
BMT104D24_1	24.239024903725735	46.0	131.36529605242987	151	18.181818181818183	21201346.0
BMT104D24_2	22.937939084856424	46.0	131.3380685358373	151	18.181818181818183	21201346.0
BMT104D29_1	13.196452802854523	47.0	136.26483139897385	151	9.090909090909092	10542077.0
BMT104D29_2	12.325025093116935	47.0	136.2293460766792	151	18.181818181818183	10542077.0
BMT104D7_1	29.27248554409539	44.0	135.85263883008366	151	18.181818181818183	23901880.0
BMT104D7_2	27.089219375353593	44.0	135.89137561564195	151	18.181818181818183	23901880.0
BMT105D-1_1	25.355652037724667	43.0	136.1363147658423	151	18.181818181818183	24722098.0
BMT105D-1_2	24.80562966037209	43.0	136.1697021021436	151	18.181818181818183	24722098.0
BMT105D-8_1	17.987355428133526	43.0	137.08645884096154	151	18.181818181818183	20241192.0
BMT105D-8_2	17.294648679924336	43.0	137.12929940094438	151	18.181818181818183	20241192.0
BMT105D7_1	29.9856121437915	42.0	122.29431700011222	147	9.090909090909092	23490692.0
BMT105D7_2	28.924767875351094	42.0	122.48625178858077	147	18.181818181818183	23490692.0
BMT106D0_1	27.62631449264002	44.0	132.38246327796222	151	18.181818181818183	21754784.0
BMT106D0_2	26.79776485175495	44.0	132.30942623930443	151	18.181818181818183	21754784.0
BMT106D14_1	17.50921288302297	46.0	137.98301372649658	151	18.181818181818183	17480644.0
BMT106D14_2	15.235211904994799	46.0	137.92357684304994	151	18.181818181818183	17480644.0
BMT106PRE_1	12.994304794664515	50.0	140.21956464105503	151	18.181818181818183	20670300.0
BMT106PRE_2	12.869084568777367	50.0	140.22466219648481	151	18.181818181818183	20670300.0
BMT108D-33_1	8.874492278895758	46.0	122.42150584321585	147	18.181818181818183	17103082.0
BMT108D-33_2	8.85656022565253	46.0	122.39633728002941	147	18.181818181818183	17103082.0
BMT108D0_1	24.167112391890043	49.0	135.05409167636202	151	18.181818181818183	22258933.0
BMT108D0_2	22.107845324483648	49.0	135.0011518521575	151	18.181818181818183	22258933.0
