Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT101D-7_cleaned_R1	51.79634428802633	49.0	137.2597466358526	151	36.36363636363637	26289276.0
BMT101D-7_cleaned_R2	50.12530306307518	49.0	137.26606457325033	151	36.36363636363637	26289276.0
BMT101D14_cleaned_R1	38.94834951824057	45.0	130.0070051073878	151	27.27272727272727	25597038.0
BMT101D14_cleaned_R2	38.36999898348863	45.0	130.0580734770953	151	27.27272727272727	25597038.0
BMT101D1_cleaned_R1	57.795576141058525	53.0	140.0708521577977	151	36.36363636363637	23245460.0
BMT101D1_cleaned_R2	55.40018340252181	53.0	140.0596030364639	151	36.36363636363637	23245460.0
BMT101D30_cleaned_R1	41.43332898471258	46.0	130.57913344274903	151	18.181818181818183	24970214.0
BMT101D30_cleaned_R2	40.28995287502472	46.0	130.6149426272438	151	18.181818181818183	24970214.0
BMT101D7_cleaned_R1	48.58357117867119	46.0	140.42614198087736	151	27.27272727272727	26265523.0
BMT101D7_cleaned_R2	47.042192951889405	46.0	140.42141909757518	151	27.27272727272727	26265523.0
BMT102D-9_cleaned_R1	21.038392075715862	47.0	137.5680675779716	151	18.181818181818183	28397301.0
BMT102D-9_cleaned_R2	19.564940834579858	47.0	137.59068846014625	151	18.181818181818183	28397301.0
BMT102D10_cleaned_R1	26.626639322346463	43.0	133.73756410359806	151	18.181818181818183	18103118.0
BMT102D10_cleaned_R2	25.926213238305024	43.0	133.76464921678132	151	18.181818181818183	18103118.0
BMT102D14_cleaned_R1	27.63873018385968	45.0	145.55312942801098	151	27.27272727272727	14320764.0
BMT102D14_cleaned_R2	25.950021143397166	45.0	145.55549138300162	151	27.27272727272727	14320764.0
BMT102D28_cleaned_R1	30.883876150344733	43.0	127.76142278520761	151	27.27272727272727	30049961.0
BMT102D28_cleaned_R2	30.477911259390112	43.0	127.88037954525133	151	27.27272727272727	30049961.0
BMT102D3_cleaned_R1	35.27946130219539	42.0	142.07839961155244	151	18.181818181818183	23189745.0
BMT102D3_cleaned_R2	33.26116855827043	42.0	142.08542081855578	151	18.181818181818183	23189745.0
BMT103D-1_cleaned_R1	19.115863716112415	45.0	143.3195339258087	151	18.181818181818183	23072464.0
BMT103D-1_cleaned_R2	18.30024253399216	45.0	143.32980994140894	151	18.181818181818183	23072464.0
BMT103D-8_cleaned_R1	19.38987536666052	46.0	141.2082675680723	151	18.181818181818183	21477271.0
BMT103D-8_cleaned_R2	18.731590314050763	46.0	141.19996120549953	151	18.181818181818183	21477271.0
BMT103D14_cleaned_R1	23.024377771760342	44.0	133.75401340347514	151	18.181818181818183	23157278.0
BMT103D14_cleaned_R2	22.099184495274343	44.0	133.83457334666016	151	18.181818181818183	23157278.0
BMT103D24_cleaned_R1	25.70855406526364	43.0	137.47818438911057	151	18.181818181818183	20559956.0
BMT103D24_cleaned_R2	22.966749598727546	43.0	137.51642741842443	151	18.181818181818183	20559956.0
BMT103D27_cleaned_R1	21.17898793860492	43.0	125.54684786866575	151	18.181818181818183	33255483.0
BMT103D27_cleaned_R2	20.30423430162935	43.0	125.68905936503764	151	18.181818181818183	33255483.0
BMT103D8_cleaned_R1	22.87218352604549	44.0	134.1573911754395	151	18.181818181818183	20284047.0
BMT103D8_cleaned_R2	20.936853217845737	44.0	134.2919383888235	151	18.181818181818183	20284047.0
BMT104D-53_cleaned_R1	22.728545077991086	49.0	139.13132466112685	151	18.181818181818183	24492498.0
BMT104D-53_cleaned_R2	23.010599346420406	49.0	139.14502020169604	151	18.181818181818183	24492498.0
BMT104D0_cleaned_R1	27.72702912017465	47.0	141.9259552651935	151	18.181818181818183	20228231.0
BMT104D0_cleaned_R2	25.968016161542963	47.0	141.92743260644	151	18.181818181818183	20228231.0
BMT104D14_cleaned_R1	21.22656569415095	46.0	128.9972842066794	151	18.181818181818183	22169581.0
BMT104D14_cleaned_R2	20.115791459658837	46.0	129.17420762259783	151	18.181818181818183	22169581.0
BMT104D24_cleaned_R1	24.238320110670003	46.0	131.3683661907422	151	18.181818181818183	21202524.0
BMT104D24_cleaned_R2	22.937126754953894	46.0	131.33841975606302	151	18.181818181818183	21202524.0
BMT104D29_cleaned_R1	13.19594573695258	47.0	136.2676829437179	151	9.090909090909092	10542532.0
BMT104D29_cleaned_R2	12.325380497034175	47.0	136.23069021749234	151	18.181818181818183	10542532.0
BMT104D7_cleaned_R1	29.271906693193102	44.0	135.85466632255594	151	18.181818181818183	23903159.0
BMT104D7_cleaned_R2	27.08525008420706	44.0	135.892474588819	151	18.181818181818183	23903159.0
BMT105D-1_cleaned_R1	25.353777931766018	43.0	136.1389553068339	151	18.181818181818183	24723489.0
BMT105D-1_cleaned_R2	24.80352992164073	43.0	136.17108976811485	151	18.181818181818183	24723489.0
BMT105D-8_cleaned_R1	17.986810360970367	43.0	137.0891441686155	151	18.181818181818183	20242457.0
BMT105D-8_cleaned_R2	17.293011399285817	43.0	137.13095149467281	151	18.181818181818183	20242457.0
BMT105D7_cleaned_R1	29.98026814900213	42.0	122.30076253417897	147	9.090909090909092	23493242.0
BMT105D7_cleaned_R2	28.923348056676502	42.0	122.48885304974085	147	18.181818181818183	23493242.0
BMT106D0_cleaned_R1	27.62367004986062	44.0	132.38488616193808	151	18.181818181818183	21756168.0
BMT106D0_cleaned_R2	26.79663722995126	44.0	132.31075523042477	151	18.181818181818183	21756168.0
BMT106D14_cleaned_R1	17.507574959636855	46.0	137.98493062865327	151	18.181818181818183	17481353.0
BMT106D14_cleaned_R2	15.23532811475306	46.0	137.92443273698552	151	18.181818181818183	17481353.0
BMT106PRE_cleaned_R1	12.993221673797933	50.0	140.221345702875	151	18.181818181818183	20670774.0
BMT106PRE_cleaned_R2	12.868914043947825	50.0	140.2252962080665	151	18.181818181818183	20670774.0
