Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT101D-7_1	57.93517686764479	50.0	151.0	151	45.45454545454545	31248614.0
BMT101D-7_2	56.24656446974573	50.0	151.0	151	45.45454545454545	31248614.0
BMT101D14_1	46.25277842741231	47.0	151.0	151	36.36363636363637	28898441.0
BMT101D14_2	45.766428447835985	46.0	151.0	151	36.36363636363637	28898441.0
BMT101D1_1	62.98439184239434	54.0	151.0	151	45.45454545454545	28420001.0
BMT101D1_2	60.55600064114962	54.0	151.0	151	45.45454545454545	28420001.0
BMT101D30_1	49.084889350283554	47.0	151.0	151	27.27272727272727	28173493.0
BMT101D30_2	47.92353804465706	47.0	151.0	151	27.27272727272727	28173493.0
BMT101D7_1	53.90708699316557	47.0	151.0	151	45.45454545454545	30469647.0
BMT101D7_2	52.453013523831906	46.0	151.0	151	45.45454545454545	30469647.0
BMT102D-9_1	26.298209366366947	48.0	151.0	151	27.27272727272727	31004427.0
BMT102D-9_2	24.73217262448837	47.0	151.0	151	27.27272727272727	31004427.0
BMT102D10_1	31.994091848558995	45.0	151.0	151	27.27272727272727	19706207.0
BMT102D10_2	31.428386424209336	45.0	151.0	151	27.27272727272727	19706207.0
BMT102D14_1	33.77134641729336	45.0	151.0	151	27.27272727272727	16695120.0
BMT102D14_2	31.903608106231772	45.0	151.0	151	27.27272727272727	16695120.0
BMT102D28_1	38.25961353596726	45.0	151.0	151	27.27272727272727	33902316.0
BMT102D28_2	37.83863334384121	45.0	151.0	151	27.27272727272727	33902316.0
BMT102D3_1	39.82773231847345	43.0	151.0	151	27.27272727272727	26140001.0
BMT102D3_2	37.7060593902793	42.0	151.0	151	27.27272727272727	26140001.0
BMT103D-1_1	24.910416434721185	45.0	151.0	151	27.27272727272727	25951953.0
BMT103D-1_2	24.070839299477356	45.0	151.0	151	27.27272727272727	25951953.0
BMT103D-8_1	24.13502048132368	47.0	151.0	151	27.27272727272727	23523722.0
