SampleID	R1	R2	Total
BMT101D-7	26288382	26288382	52576764
BMT101D14	25595278	25595278	51190556
BMT101D1	23245144	23245144	46490288
BMT101D30	24968686	24968686	49937372
BMT101D7	26264807	26264807	52529614
BMT102D-9	28396061	28396061	56792122
BMT102D10	18101859	18101859	36203718
BMT102D14	14320553	14320553	28641106
BMT102D28	30047692	30047692	60095384
BMT102D3	23188767	23188767	46377534
BMT103D-1	23071705	23071705	46143410
BMT103D-8	21476513	21476513	42953026
BMT103D14	23155551	23155551	46311102
BMT103D24	20558844	20558844	41117688
BMT103D27	33252496	33252496	66504992
BMT103D8	20282878	20282878	40565756
BMT104D-53	24491573	24491573	48983146
BMT104D0	20227546	20227546	40455092
BMT104D14	22168206	22168206	44336412
BMT104D24	21201346	21201346	42402692
BMT104D29	10542077	10542077	21084154
BMT104D7	23901880	23901880	47803760
BMT105D-1	24722098	24722098	49444196
BMT105D-8	20241192	20241192	40482384
BMT105D7	23490692	23490692	46981384
BMT106D0	21754784	21754784	43509568
BMT106D14	17480644	17480644	34961288
BMT106PRE	20670300	20670300	41340600
BMT108D-33	17103082	17103082	34206164
BMT108D0	22258933	22258933	44517866
BMT108PRE	21576666	21576666	43153332
BMT109D-6	17002051	17002051	34004102
BMT109D0	28079698	28079698	56159396
BMT109D14	15882619	15882619	31765238
BMT109d29	11423356	11423356	22846712
BMT110D-9	15764123	15764123	31528246
BMT110D15	19931563	19931563	39863126
BMT110D24	21429005	21429005	42858010
BMT110D4	19174284	19174284	38348568
BMT111D-8	20525969	20525969	41051938
BMT111D21	17398714	17398714	34797428
BMT111D3	27164271	27164271	54328542
BMT111D6	18835579	18835579	37671158
BMT112D-6	29082906	29082906	58165812
BMT112D15	35633674	35633674	71267348
BMT112D19	17818632	17818632	35637264
BMT112D7	16050475	16050475	32100950
BMT113D-12	15643689	15643689	31287378
BMT114D-36	16491162	16491162	32982324
BMT114D25	14676971	14676971	29353942
BMT114D28	13154892	13154892	26309784
BMT115D18	23111913	23111913	46223826
BMT115pre	21316320	21316320	42632640
BMT116D-3	15121873	15121873	30243746
BMT116D1	15902553	15902553	31805106
BMT118D-9	20482893	20482893	40965786
BMT118D10	14076206	14076206	28152412
BMT118D4	15834085	15834085	31668170
BMT119D-7	14409873	14409873	28819746
BMT119D1	25060963	25060963	50121926
BMT119D9	15430508	15430508	30861016
BMT120D-5	6663858	6663858	13327716
BMT120D0	27542885	27542885	55085770
BMT120D23	15293324	15293324	30586648
BMT120D6	21847778	21847778	43695556
BMT121D-6	20285799	20285799	40571598
BMT121D0	14792752	14792752	29585504
BMT121D15	30791822	30791822	61583644
BMT121D22	17909417	17909417	35818834
BMT121D26	15033201	15033201	30066402
BMT123D-8	6040740	6040740	12081480
BMT123D0	25176108	25176108	50352216
BMT124D-13	27909114	27909114	55818228
BMT124D0	17562803	17562803	35125606
BMT124D17	14099105	14099105	28198210
BMT124D7	16820921	16820921	33641842
BMT125D-14	13280879	13280879	26561758
BMT125D0	18778329	18778329	37556658
BMT125D21	34069627	34069627	68139254
BMT125D7	11314735	11314735	22629470
BMT126D-12	76612119	76612119	153224238
BMT126D21	30657683	30657683	61315366
BMT126D8	17464582	17464582	34929164
BMT126d1	17063615	17063615	34127230
BMT127D-13	33042720	33042720	66085440
BMT127D1	15014389	15014389	30028778
BMT127D21	35754373	35754373	71508746
BMT127D6	30360763	30360763	60721526
BMT128D-14	36365550	36365550	72731100
BMT129D-6	25398690	25398690	50797380
BMT129D0	36984300	36984300	73968600
BMT129D15	21359317	21359317	42718634
BMT129D23	17746122	17746122	35492244
BMT129D28	17660386	17660386	35320772
BMT130D-4	16493044	16493044	32986088
BMT130D0	31150049	31150049	62300098
BMT130D20	16071791	16071791	32143582
BMT130D25	26947917	26947917	53895834
BMT130D7	23923479	23923479	47846958
