	SampleID	Num_AMR_Hits
0	BMT101D-7	119
1	BMT101D1	98
2	BMT102D14	46
3	BMT133D1	55
4	BMT104D29	58
5	BMT102D10	49
6	BMT101D30	115
7	BMT102D3	115
8	BMT103D-8	58
9	BMT103D-1	111
10	BMT103D14	68
11	BMT101D14	115
12	BMT103D8	46
13	BMT104D0	66
14	BMT103D24	52
15	BMT102D-9	144
16	BMT104D14	85
17	BMT104D24	85
18	BMT104D7	64
19	BMT104D-53	71
20	BMT105D-8	107
21	BMT106D14	67
22	BMT102D28	115
23	BMT105D7	44
24	BMT106D0	68
25	BMT109d29	62
26	BMT108D-33	146
27	BMT109D-6	82
28	BMT106PRE	70
29	BMT105D-1	101
30	BMT103D27	86
31	BMT110D-9	117
32	BMT108PRE	149
33	BMT108D0	161
34	BMT110D15	73
35	BMT109D14	56
36	BMT111D6	49
37	BMT109D0	108
38	BMT110D4	143
39	BMT112D7	38
40	BMT111D21	59
41	BMT113D-12	59
42	BMT110D24	48
43	BMT111D-8	95
44	BMT112D19	47
45	BMT114D-36	28
46	BMT114D28	30
47	BMT111D3	82
48	BMT114D25	42
49	BMT118D10	39
50	BMT116D-3	88
51	BMT120D-5	71
52	BMT129D23	59
53	BMT118D-9	85
54	BMT123D-8	40
55	BMT115D18	67
56	BMT118D4	44
57	BMT119D-7	91
58	BMT115pre	120
59	BMT116D1	110
60	BMT119D9	47
61	BMT120D23	68
62	BMT112D15	68
63	BMT121D0	51
64	BMT121D-6	88
65	BMT121D22	57
66	BMT120D6	58
67	BMT121D26	42
68	BMT124D17	51
69	BMT124D7	44
70	BMT120D0	120
71	BMT131D0	86
72	BMT125D7	46
73	BMT124D0	56
74	BMT125D-14	99
75	BMT125D0	104
76	BMT119D1	120
77	BMT123D0	81
78	BMT126D8	83
79	BMT124D-13	109
80	BMT127D1	115
81	BMT121D15	67
82	BMT126d1	99
83	BMT138D5	57
84	BMT130D20	53
85	BMT130D-4	55
86	BMT126D21	68
87	BMT129D28	70
88	BMT129D-6	75
89	BMT127D-13	107
90	BMT127D21	71
91	BMT129D15	67
92	BMT130D25	58
93	BMT131D-6	56
94	BMT131D22	60
95	BMT127D6	72
96	BMT130D0	87
97	BMT128D-14	122
98	BMT130D7	57
99	BMT129D0	90
100	BMT133D-6	94
101	BMT131D14	84
102	BMT132D3	69
103	BMT140D13	18
104	BMT131D7	81
105	BMT134D2	59
106	BMT133D26	51
107	BMT133D15	41
108	BMT146D52	23
109	BMT140D62	126
110	BMT141pre	106
111	BMT134D8	58
112	BMT146D2	84
113	BMT146D42	37
114	BMT149D12	29
115	BMT146pre	47
116	BMT134pre	130
117	BMT134D15	63
118	BMT142D8	78
119	BMT149D17	42
120	BMT126D-12	142
121	BMT140D14	73
122	BMT151D1	65
123	BMT151pre	68
124	BMT140pre	117
125	BMT152PRE	62
126	BMT149pre	70
127	BMT149D24	54
128	BMT142pre	110
129	BMT138pre	142
130	BMT115D4	72
131	BMT142D1	124
132	BMT131D267	120
133	BMT132PRE	70
134	BMT134D186	140
135	BMT141D163	123
136	BMT153pre	78
137	BMT126D2	129
138	BMT141D14	69
139	BMT140D87	77
140	BMT144D207	68
141	BMT146D57	66
142	BMT149D28	109
143	BMT148D67	106
144	BMT146D69	103
145	BMT146D142	98
146	BMT144PRE	77
147	BMT148PRE	138
148	BMT151D15	56
149	BMT164D7	76
150	BMT153D99	78
151	BMT165D1	116
152	BMT165D22	87
153	BMT165D8	84
154	BMT164D9	68
155	BMT151D43	127
156	BMT165D29	98
157	BMT165PRE	132
158	BMT153D183	115
159	BMT151D114	124
160	BMT153D1	61
161	BMT153D73	127
162	BMT170D27	59
163	BMT164D183	111
164	BMT169D7	70
165	BMT168D18	51
166	BMT140D75	156
167	BMT168D11	57
168	BMT170D2	67
169	BMT169PRE	92
170	BMT153D142	129
171	BMT164D26	139
172	BMT168PRE	92
173	BMT170PRE	135
174	BMT166D5	136
175	BMT171D0	88
176	BMT170D135	85
177	BMT173D2	74
178	BMT170D55	65
179	BMT171D23	94
180	BMT166PRE	113
181	BMT173PRE	85
182	BMT173D37	61
183	BMT181D3	147
184	BMT174D7	83
185	BMT173D69	136
186	BMT180D-6	124
187	BMT180D0	125
188	BMT185PRE	149
189	BMT185D0	152
190	BMT183D5	128
191	BMT183D7	121
192	BMT184PRE	123
193	BMT171PRE	165
194	BMT181PRE	145
195	BMT182D-13	122
196	BMT182D-12	148
197	BMT101D7	134
198	BMT112D-6	140
199	BMT125D21	136
